name	id	state	createdAt	model	algorithm	group_size	dataset	max_steps	lr	final_reward
scale_gsm8k_llama-8b-inst	3t9z44iz	finished	2026-04-18T15:38:18Z	meta-llama/Llama-3.1-8B-Instruct			gsm8k	30	3e-05	
moe_gsm8k_qwen3-30b-moe	8nhyfstb	finished	2026-04-18T15:38:18Z	Qwen/Qwen3-30B-A3B			gsm8k	30	3e-05	
scale_gsm8k_qwen3.5-4b	8plw10xc	finished	2026-04-18T15:38:18Z	Qwen/Qwen3.5-4B			gsm8k	30	3e-05	
scale_gsm8k_qwen3.5-27b	9fc17bqu	finished	2026-04-18T15:38:18Z	Qwen/Qwen3.5-27B			gsm8k	30	3e-05	
frontier_gsm8k_nemotron-120b	ax59u2zl	finished	2026-04-18T15:38:18Z	nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16			gsm8k	20	1e-05	
moe_gsm8k_qwen3-30b-inst	cv7gscq3	finished	2026-04-18T15:38:18Z	Qwen/Qwen3-30B-A3B-Instruct-2507			gsm8k	30	3e-05	
frontier_gsm8k_qwen3-235b	u6lrpz38	finished	2026-04-18T15:38:18Z	Qwen/Qwen3-235B-A22B-Instruct-2507			gsm8k	20	1e-05	
scale_gsm8k_qwen3-8b	vv6uu72m	finished	2026-04-18T15:38:18Z	Qwen/Qwen3-8B			gsm8k	30	3e-05	
frontier_gsm8k_deepseek-v3.1	r28pjkud	finished	2026-04-18T15:38:20Z	deepseek-ai/DeepSeek-V3.1			gsm8k	20	1e-05	
test-ping	rjxty3l2	finished	2026-04-18T15:41:21Z							
scale_gsm8k_qwen3.5-27b	0mfjudrf	finished	2026-04-18T15:41:41Z	Qwen/Qwen3.5-27B			gsm8k	30	3e-05	
scale_gsm8k_qwen3.5-4b	ek7eb7n5	finished	2026-04-18T15:41:41Z	Qwen/Qwen3.5-4B			gsm8k	30	3e-05	
scale_gsm8k_qwen3-32b	ggvjyshv	finished	2026-04-18T15:41:41Z	Qwen/Qwen3-32B			gsm8k	30	3e-05	
frontier_gsm8k_qwen3-235b	mo7naiuq	finished	2026-04-18T15:41:41Z	Qwen/Qwen3-235B-A22B-Instruct-2507			gsm8k	20	1e-05	
scale_gsm8k_llama-8b-inst	o97uim72	finished	2026-04-18T15:41:41Z	meta-llama/Llama-3.1-8B-Instruct			gsm8k	30	3e-05	
scale_gsm8k_qwen3-8b	wbue9ji9	finished	2026-04-18T15:41:41Z	Qwen/Qwen3-8B			gsm8k	30	3e-05	
frontier_gsm8k_nemotron-120b	m0h1kht3	finished	2026-04-18T15:42:04Z	nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16			gsm8k	20	1e-05	
frontier_gsm8k_deepseek-v3.1	utte4kz0	finished	2026-04-18T15:42:04Z	deepseek-ai/DeepSeek-V3.1			gsm8k	20	1e-05	
cross_tool_qwen3-32b	hjv0ekv6	finished	2026-04-18T15:42:05Z	Qwen/Qwen3-32B			tool_use	30	3e-05	
moe_gsm8k_qwen3-30b-moe	95y69d53	finished	2026-04-18T15:42:06Z	Qwen/Qwen3-30B-A3B			gsm8k	30	3e-05	
moe_gsm8k_qwen3-30b-inst	jzv13ldt	finished	2026-04-18T15:42:06Z	Qwen/Qwen3-30B-A3B-Instruct-2507			gsm8k	30	3e-05	
cross_tool_llama-8b-inst	sfeza59k	finished	2026-04-18T15:42:26Z	meta-llama/Llama-3.1-8B-Instruct			tool_use	30	3e-05	
arch_gsm8k_gpt-oss-20b	8tg4wv64	finished	2026-04-18T15:42:27Z	openai/gpt-oss-20b			gsm8k	30	3e-05	
arch_gsm8k_kimi-k2	d3bvb4db	crashed	2026-04-18T15:42:33Z	moonshotai/Kimi-K2-Thinking			gsm8k	20	1e-05	
kl_track_Qwen3-8B_s42	fbfie2nd	finished	2026-04-18T15:42:49Z	Qwen/Qwen3-8B			kl_tracking	30		
humaneval_Qwen3-8B	jt87etzq	finished	2026-04-18T15:42:49Z	Qwen/Qwen3-8B			humaneval			
ppo_gsm8k_Qwen3-8B_s42	ri2pajjl	finished	2026-04-18T15:42:49Z	Qwen/Qwen3-8B	ppo_reinforce		gsm8k	30		
