name	id	state	createdAt	model	algorithm	group_size	dataset	max_steps	lr	final_metric
Qwen3-8B-tool_use-20260329-211346	tfb2qsru	failed	2026-03-29T21:13:47Z	Qwen/Qwen3-8B	grpo	8		2	3e-05	
Qwen3-8B-tool_use-20260329-211710	as3gfob0	failed	2026-03-29T21:17:12Z	Qwen/Qwen3-8B	grpo	8		2	3e-05	
Qwen3-8B-tool_use-20260329-212008	68h67x6y	finished	2026-03-29T21:20:09Z	Qwen/Qwen3-8B	grpo	8		2	3e-05	
