seed	step	reward_mean	zvf	frac_all_zero	frac_all_one	pcd	mean_len	n_groups	loss
0	0	0.8203125	0.8125	0.125	0.6875	0.0299072265625	353.671875	16	None
0	1	0.8515625	0.75	0.0	0.75	0.0401611328125	354.7109375	16	None
0	2	0.828125	0.8125	0.125	0.6875	0.025634765625	385.0546875	16	None
0	3	0.78125	0.75	0.125	0.625	0.042724609375	404.0703125	16	None
0	4	0.7734375	0.625	0.0625	0.5625	0.0709228515625	387.96875	16	None
0	5	0.65625	0.5	0.125	0.375	0.068359375	413.0	16	None
0	6	0.796875	0.625	0.0	0.625	0.05810546875	384.8671875	16	None
0	7	0.7265625	0.75	0.125	0.625	0.0401611328125	395.3671875	16	None
0	8	0.8515625	0.875	0.0625	0.8125	0.0196533203125	354.6640625	16	None
0	9	0.8046875	0.5625	0.0625	0.5	0.0675048828125	363.6015625	16	None
0	10	0.8359375	0.75	0.0625	0.6875	0.0350341796875	376.6015625	16	None
0	11	0.765625	0.75	0.125	0.625	0.049560546875	399.3828125	16	None
0	12	0.8515625	0.625	0.0625	0.5625	0.0504150390625	381.125	16	None
0	13	0.6484375	0.625	0.1875	0.4375	0.0521240234375	409.671875	16	None
0	14	0.78125	0.6875	0.0625	0.625	0.046142578125	372.3125	16	None
0	15	0.71875	0.75	0.1875	0.5625	0.041015625	390.3671875	16	None
1	0	0.5859375	0.4375	0.1875	0.25	0.1033935546875	429.203125	16	None
1	1	0.9140625	0.6875	0.0	0.6875	0.0452880859375	390.5	16	None
1	2	0.8984375	0.6875	0.0	0.6875	0.0538330078125	382.2890625	16	None
1	3	0.875	0.75	0.0	0.75	0.052978515625	386.078125	16	None
1	4	0.8046875	0.625	0.0625	0.5625	0.0606689453125	382.21875	16	None
1	5	0.6953125	0.625	0.125	0.5	0.0709228515625	407.0703125	16	None
1	6	0.7421875	0.6875	0.0625	0.625	0.0555419921875	417.6640625	16	None
1	7	0.7890625	0.5625	0.0	0.5625	0.0760498046875	393.890625	16	None
1	8	0.609375	0.5	0.1875	0.3125	0.083740234375	420.8125	16	None
1	9	0.9609375	0.75	0.0	0.75	0.0281982421875	382.671875	16	None
1	10	0.921875	0.6875	0.0	0.6875	0.0478515625	370.59375	16	None
1	11	0.859375	0.625	0.0	0.625	0.052978515625	384.0859375	16	None
1	12	0.8359375	0.625	0.0625	0.5625	0.0606689453125	383.03125	16	None
1	13	0.703125	0.625	0.125	0.5	0.063232421875	396.1953125	16	None
1	14	0.7578125	0.75	0.125	0.625	0.0435791015625	401.5078125	16	None
1	15	0.8046875	0.5	0.0	0.5	0.0794677734375	376.1875	16	None
