arm	step	G	reward_mean	zvf	cum_rollouts	loss	step_seconds
A	0	4	0.765625	0.812500	64	None	21.6
A	1	4	0.812500	0.812500	128	None	19.5
A	2	4	0.953125	0.875000	192	None	22.7
A	3	4	0.843750	0.812500	256	None	17.4
A	4	4	0.812500	0.750000	320	None	19.9
A	5	4	0.890625	0.812500	384	None	23.6
A	6	4	0.968750	0.875000	448	None	17.8
A	7	4	0.937500	0.750000	512	None	23.5
A	8	4	0.859375	0.750000	576	None	20.5
A	9	4	0.828125	0.812500	640	None	19.2
A	10	4	0.921875	0.937500	704	None	15.9
A	11	4	0.796875	0.750000	768	None	20.3
A	12	4	0.796875	0.750000	832	None	18.6
A	13	4	0.859375	0.812500	896	None	15.2
A	14	4	0.968750	0.875000	960	None	16.8
A	15	4	0.906250	0.687500	1024	None	17.6
B	0	4	0.843750	0.750000	64	None	103.7
B	1	6	0.812500	0.750000	160	None	48.2
B	2	8	0.914062	0.875000	288	None	27.3
B	3	8	0.812500	0.750000	416	None	59.5
B	4	8	0.796875	0.500000	544	None	32.3
B	5	8	0.859375	0.687500	672	None	50.0
B	6	8	0.937500	0.812500	800	None	61.3
B	7	8	0.867188	0.562500	928	None	66.0
B	8	8	0.828125	0.687500	1056	None	68.0
B	9	8	0.828125	0.875000	1184	None	76.9
B	10	8	0.937500	0.875000	1312	None	72.1
B	11	8	0.812500	0.750000	1440	None	42.4
B	12	8	0.835938	0.500000	1568	None	31.0
B	13	8	0.851562	0.750000	1696	None	62.8
B	14	8	0.968750	0.812500	1824	None	51.9
B	15	8	0.890625	0.750000	1952	None	71.4
