model	cap	n	accuracy	mean_len
Qwen/Qwen3.5-4B	64	25	0.0000	64.0
Qwen/Qwen3.5-4B	64	50	0.0000	64.0
Qwen/Qwen3.5-4B	64	75	0.0133	64.0
Qwen/Qwen3.5-4B	64	100	0.0200	64.0
Qwen/Qwen3.5-4B	64	125	0.0320	64.0
Qwen/Qwen3.5-4B	64	150	0.0267	64.0
Qwen/Qwen3.5-4B	64	175	0.0229	64.0
Qwen/Qwen3.5-4B	64	200	0.0250	64.0
Qwen/Qwen3.5-4B	128	25	0.0000	128.0
Qwen/Qwen3.5-4B	128	50	0.0000	128.0
Qwen/Qwen3.5-4B	128	75	0.0000	128.0
Qwen/Qwen3.5-4B	128	100	0.0100	128.0
Qwen/Qwen3.5-4B	128	125	0.0080	128.0
Qwen/Qwen3.5-4B	128	150	0.0067	128.0
Qwen/Qwen3.5-4B	128	175	0.0057	128.0
Qwen/Qwen3.5-4B	128	200	0.0050	128.0
Qwen/Qwen3.5-4B	256	25	0.0000	256.0
Qwen/Qwen3.5-4B	256	50	0.0200	256.0
Qwen/Qwen3.5-4B	256	75	0.0133	256.0
Qwen/Qwen3.5-4B	256	100	0.0100	256.0
Qwen/Qwen3.5-4B	256	125	0.0080	256.0
Qwen/Qwen3.5-4B	256	150	0.0067	256.0
Qwen/Qwen3.5-4B	256	175	0.0057	256.0
Qwen/Qwen3.5-4B	256	200	0.0050	256.0
Qwen/Qwen3.5-4B	512	25	0.1200	512.0
Qwen/Qwen3.5-4B	512	50	0.1200	512.0
Qwen/Qwen3.5-4B	512	75	0.1200	512.0
Qwen/Qwen3.5-4B	512	100	0.1100	512.0
Qwen/Qwen3.5-4B	512	125	0.1040	512.0
Qwen/Qwen3.5-4B	512	150	0.1200	512.0
Qwen/Qwen3.5-4B	512	175	0.1086	512.0
Qwen/Qwen3.5-4B	512	200	0.1250	512.0
