name	id	state	createdAt	model	algorithm	group_size	dataset	max_steps	lr	final_metric
multistep-tool-math-qwen8b-wandb-smoke-trainer-rb8q	wp8xfjx6	finished	2026-04-22T03:15:25Z							0.09375
multistep-tool-math-qwen8b-wandb-smoke-env-2026-04-22-vodqtp	yr1c1g9r	finished	2026-04-22T03:15:25Z			4				
multihop-react-qwen8b-wandb-smoke-trainer-rkl7	2xcmnv8j	finished	2026-04-22T03:16:37Z							0.0375
multihop-react-qwen8b-wandb-smoke-env-2026-04-22-hslihh	1f6h86vf	finished	2026-04-22T03:16:38Z			4				
browser-control-kimi-agent-browser-smoke	4xs74oii	failed	2026-04-22T03:23:51Z							
browser-control-kimi-agent-browser-smoke	bb2oudtv	failed	2026-04-22T03:24:24Z							
browser-control-kimi-agent-browser-smoke	67sqcop4	finished	2026-04-22T03:25:49Z							
browser-control-qwen3-32b-agent-browser-smoke	jbvo9pg8	finished	2026-04-22T03:26:56Z							
browsergym-miniwob-qwen8b-smoke-trainer-vqoz	779whzpj	finished	2026-04-22T03:56:18Z							0
browsergym-miniwob-qwen8b-smoke-env-2026-04-22-raqdxw	0gruv67o	crashed	2026-04-22T03:56:19Z			2				
