probe,base_regime,policy,rank_by_auc,auc_per_token_mean,prior_strength,learning_rate_multiplier
low_learning_gain,transitional,stateful_bandit_diagnostic,1,0.7572656767141008,4.0,0.5
low_learning_gain,transitional,boundary_aware,2,0.7570453893777621,4.0,0.5
low_learning_gain,transitional,full_triage,3,0.7565082572288616,4.0,0.5
low_learning_gain,transitional,static_g8,4,0.7529764885550096,4.0,0.5
low_learning_gain,transitional,failure_only,5,0.7527636910849309,4.0,0.5
low_learning_gain,transitional,symmetric_zvf,6,0.7499565003704266,4.0,0.5
low_learning_gain,transitional,static_g16,7,0.6616878078432304,4.0,0.5
high_learning_gain,transitional,full_triage,1,0.8782040793795267,4.0,1.5
high_learning_gain,transitional,stateful_bandit_diagnostic,2,0.8780663261262598,4.0,1.5
high_learning_gain,transitional,boundary_aware,3,0.8775970801813615,4.0,1.5
high_learning_gain,transitional,static_g8,4,0.8742378148681161,4.0,1.5
high_learning_gain,transitional,failure_only,5,0.8734015021752674,4.0,1.5
high_learning_gain,transitional,symmetric_zvf,6,0.8711715989664942,4.0,1.5
high_learning_gain,transitional,static_g16,7,0.8167950283834092,4.0,1.5
uninformative_prior,mostly_wrong,static_g8,1,0.40251491895424424,0.1,1.0
uninformative_prior,mostly_wrong,stateful_bandit_diagnostic,2,0.3906027867990482,0.1,1.0
uninformative_prior,mostly_wrong,failure_only,3,0.3861930470195321,0.1,1.0
uninformative_prior,mostly_wrong,full_triage,4,0.38386406799695394,0.1,1.0
uninformative_prior,mostly_wrong,boundary_aware,5,0.38019921321554945,0.1,1.0
uninformative_prior,mostly_wrong,symmetric_zvf,6,0.3784934116489795,0.1,1.0
uninformative_prior,mostly_wrong,static_g16,7,0.20206936638472342,0.1,1.0
strong_e1_prior,mostly_wrong,static_g8,1,0.39962489534077705,16.0,1.0
strong_e1_prior,mostly_wrong,boundary_aware,2,0.3868441959668894,16.0,1.0
strong_e1_prior,mostly_wrong,failure_only,3,0.38551285461014523,16.0,1.0
strong_e1_prior,mostly_wrong,stateful_bandit_diagnostic,4,0.38532987705559596,16.0,1.0
strong_e1_prior,mostly_wrong,symmetric_zvf,5,0.384986882542038,16.0,1.0
strong_e1_prior,mostly_wrong,full_triage,6,0.3829503754511347,16.0,1.0
strong_e1_prior,mostly_wrong,static_g16,7,0.2014903843372717,16.0,1.0
clean_verifier,noisy_verifier,full_triage,1,0.8419113899891576,4.0,1.0
clean_verifier,noisy_verifier,boundary_aware,2,0.841732729825987,4.0,1.0
clean_verifier,noisy_verifier,stateful_bandit_diagnostic,3,0.841684215362642,4.0,1.0
clean_verifier,noisy_verifier,failure_only,4,0.8373388605014338,4.0,1.0
clean_verifier,noisy_verifier,static_g8,5,0.8373178184881911,4.0,1.0
clean_verifier,noisy_verifier,symmetric_zvf,6,0.8345198828059243,4.0,1.0
clean_verifier,noisy_verifier,static_g16,7,0.7642896159228405,4.0,1.0
severe_verifier_noise,noisy_verifier,failure_only,1,0.7292502734908747,4.0,1.0
severe_verifier_noise,noisy_verifier,full_triage,2,0.7292189438869474,4.0,1.0
severe_verifier_noise,noisy_verifier,boundary_aware,3,0.7292085053440496,4.0,1.0
severe_verifier_noise,noisy_verifier,static_g8,4,0.7289622929883869,4.0,1.0
severe_verifier_noise,noisy_verifier,symmetric_zvf,5,0.728773739735466,4.0,1.0
severe_verifier_noise,noisy_verifier,stateful_bandit_diagnostic,6,0.7286601199590965,4.0,1.0
severe_verifier_noise,noisy_verifier,static_g16,7,0.6341632247576028,4.0,1.0
harder_shift,distribution_shift,full_triage,1,0.6786100817002342,4.0,1.0
harder_shift,distribution_shift,stateful_bandit_diagnostic,2,0.6780084307334806,4.0,1.0
harder_shift,distribution_shift,boundary_aware,3,0.6776164307067329,4.0,1.0
harder_shift,distribution_shift,symmetric_zvf,4,0.6759840400738396,4.0,1.0
harder_shift,distribution_shift,failure_only,5,0.6748374981555633,4.0,1.0
harder_shift,distribution_shift,static_g8,6,0.6743822008149333,4.0,1.0
harder_shift,distribution_shift,static_g16,7,0.5225224508352212,4.0,1.0
