tag,block,framework,model_short,status,started_at,finished_at,returncode,result_json,command
audit_trl_qwen3-8b_G4_easy_s42,audit,TRL,qwen3-8b,failed,2026-06-14T16:09:58.509997+00:00,2026-06-14T16:09:58.592862+00:00,2,/Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/results/audit_trl_qwen3-8b_G4_easy_s42.json,"python3 /Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/cell_runner.py --tag audit_trl_qwen3-8b_G4_easy_s42 --model ""Qwen/Qwen3-8B"" --task gsm8k --loss importance_sampling --seed 42 --group-size 4 --lr 1e-05 --steps 30 --rank 32 --difficulty easy --clip-low 0.2 --clip-high 0.2 --importance-level token --dynamic-sampling false --out /Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/results/audit_trl_qwen3-8b_G4_easy_s42.json"
audit_trl_qwen3-8b_G2_hard_s42,audit,TRL,qwen3-8b,failed,2026-06-14T16:09:58.509009+00:00,2026-06-14T16:09:58.592989+00:00,2,/Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/results/audit_trl_qwen3-8b_G2_hard_s42.json,"python3 /Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/cell_runner.py --tag audit_trl_qwen3-8b_G2_hard_s42 --model ""Qwen/Qwen3-8B"" --task gsm8k --loss importance_sampling --seed 42 --group-size 2 --lr 1e-05 --steps 30 --rank 32 --difficulty hard --clip-low 0.2 --clip-high 0.2 --importance-level token --dynamic-sampling false --out /Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/results/audit_trl_qwen3-8b_G2_hard_s42.json"
audit_trl_qwen3-8b_G2_medium_s42,audit,TRL,qwen3-8b,failed,2026-06-14T16:09:58.508951+00:00,2026-06-14T16:09:58.594217+00:00,2,/Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/results/audit_trl_qwen3-8b_G2_medium_s42.json,"python3 /Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/cell_runner.py --tag audit_trl_qwen3-8b_G2_medium_s42 --model ""Qwen/Qwen3-8B"" --task gsm8k --loss importance_sampling --seed 42 --group-size 2 --lr 1e-05 --steps 30 --rank 32 --difficulty medium --clip-low 0.2 --clip-high 0.2 --importance-level token --dynamic-sampling false --out /Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/results/audit_trl_qwen3-8b_G2_medium_s42.json"
audit_trl_qwen3-8b_G2_easy_s42,audit,TRL,qwen3-8b,failed,2026-06-14T16:09:58.508885+00:00,2026-06-14T16:09:58.596443+00:00,2,/Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/results/audit_trl_qwen3-8b_G2_easy_s42.json,"python3 /Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/cell_runner.py --tag audit_trl_qwen3-8b_G2_easy_s42 --model ""Qwen/Qwen3-8B"" --task gsm8k --loss importance_sampling --seed 42 --group-size 2 --lr 1e-05 --steps 30 --rank 32 --difficulty easy --clip-low 0.2 --clip-high 0.2 --importance-level token --dynamic-sampling false --out /Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/results/audit_trl_qwen3-8b_G2_easy_s42.json"
audit_trl_qwen3-8b_G8_medium_s42,audit,TRL,qwen3-8b,failed,2026-06-14T16:09:58.596559+00:00,2026-06-14T16:09:58.668826+00:00,2,/Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/results/audit_trl_qwen3-8b_G8_medium_s42.json,"python3 /Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/cell_runner.py --tag audit_trl_qwen3-8b_G8_medium_s42 --model ""Qwen/Qwen3-8B"" --task gsm8k --loss importance_sampling --seed 42 --group-size 8 --lr 1e-05 --steps 30 --rank 32 --difficulty medium --clip-low 0.2 --clip-high 0.2 --importance-level token --dynamic-sampling false --out /Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/results/audit_trl_qwen3-8b_G8_medium_s42.json"
audit_trl_qwen3-8b_G4_medium_s42,audit,TRL,qwen3-8b,failed,2026-06-14T16:09:58.592942+00:00,2026-06-14T16:09:58.671070+00:00,2,/Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/results/audit_trl_qwen3-8b_G4_medium_s42.json,"python3 /Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/cell_runner.py --tag audit_trl_qwen3-8b_G4_medium_s42 --model ""Qwen/Qwen3-8B"" --task gsm8k --loss importance_sampling --seed 42 --group-size 4 --lr 1e-05 --steps 30 --rank 32 --difficulty medium --clip-low 0.2 --clip-high 0.2 --importance-level token --dynamic-sampling false --out /Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/results/audit_trl_qwen3-8b_G4_medium_s42.json"
audit_trl_qwen3-8b_G8_easy_s42,audit,TRL,qwen3-8b,failed,2026-06-14T16:09:58.594347+00:00,2026-06-14T16:09:58.671978+00:00,2,/Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/results/audit_trl_qwen3-8b_G8_easy_s42.json,"python3 /Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/cell_runner.py --tag audit_trl_qwen3-8b_G8_easy_s42 --model ""Qwen/Qwen3-8B"" --task gsm8k --loss importance_sampling --seed 42 --group-size 8 --lr 1e-05 --steps 30 --rank 32 --difficulty easy --clip-low 0.2 --clip-high 0.2 --importance-level token --dynamic-sampling false --out /Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/results/audit_trl_qwen3-8b_G8_easy_s42.json"
audit_trl_qwen3-8b_G4_hard_s42,audit,TRL,qwen3-8b,failed,2026-06-14T16:09:58.593005+00:00,2026-06-14T16:09:58.673400+00:00,2,/Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/results/audit_trl_qwen3-8b_G4_hard_s42.json,"python3 /Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/cell_runner.py --tag audit_trl_qwen3-8b_G4_hard_s42 --model ""Qwen/Qwen3-8B"" --task gsm8k --loss importance_sampling --seed 42 --group-size 4 --lr 1e-05 --steps 30 --rank 32 --difficulty hard --clip-low 0.2 --clip-high 0.2 --importance-level token --dynamic-sampling false --out /Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/results/audit_trl_qwen3-8b_G4_hard_s42.json"
audit_trl_qwen3-8b_G16_easy_s42,audit,TRL,qwen3-8b,failed,2026-06-14T16:09:58.671101+00:00,2026-06-14T16:09:58.747379+00:00,2,/Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/results/audit_trl_qwen3-8b_G16_easy_s42.json,"python3 /Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/cell_runner.py --tag audit_trl_qwen3-8b_G16_easy_s42 --model ""Qwen/Qwen3-8B"" --task gsm8k --loss importance_sampling --seed 42 --group-size 16 --lr 1e-05 --steps 30 --rank 32 --difficulty easy --clip-low 0.2 --clip-high 0.2 --importance-level token --dynamic-sampling false --out /Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/results/audit_trl_qwen3-8b_G16_easy_s42.json"
audit_trl_qwen3-8b_G8_hard_s42,audit,TRL,qwen3-8b,failed,2026-06-14T16:09:58.668898+00:00,2026-06-14T16:09:58.747477+00:00,2,/Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/results/audit_trl_qwen3-8b_G8_hard_s42.json,"python3 /Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/cell_runner.py --tag audit_trl_qwen3-8b_G8_hard_s42 --model ""Qwen/Qwen3-8B"" --task gsm8k --loss importance_sampling --seed 42 --group-size 8 --lr 1e-05 --steps 30 --rank 32 --difficulty hard --clip-low 0.2 --clip-high 0.2 --importance-level token --dynamic-sampling false --out /Users/arvind/Developer/tinker-rl-lab/experiments/tinker-runs/results/audit_trl_qwen3-8b_G8_hard_s42.json"
