rate_pct	obs_rate_pct	tree	cohort	calibration	n_total	n_pos	n_strata_used	global_ece	worst_cell_ece	mean_cell_ece	brier
1.44	1.44	XGB-20raw	v_mean	raw	10000	144	5	0.133115	0.166002	0.133429	0.036729
1.44	1.44	XGB-20raw	v_mean	iso_per_cohort	10000	144	5	0.95758	0.990204	0.9583	0.959308
1.44	1.44	XGB-20raw	amount	raw	10000	144	5	0.133115	0.212214	0.133257	0.036729
1.44	1.44	XGB-20raw	amount	iso_per_cohort	10000	144	5	0.928311	0.984583	0.929916	0.919563
1.44	1.44	XGB-20raw	time	raw	10000	144	3	0.133115	0.166753	0.133298	0.036729
1.44	1.44	XGB-20raw	time	iso_per_cohort	10000	144	3	0.936698	0.981462	0.937742	0.939081
1.44	1.44	XGB-24full	v_mean	raw	10000	144	5	0.127192	0.172105	0.127713	0.034044
1.44	1.44	XGB-24full	v_mean	iso_per_cohort	10000	144	5	0.969573	0.987276	0.970586	0.971459
1.44	1.44	XGB-24full	amount	raw	10000	144	5	0.127192	0.167808	0.127583	0.034044
1.44	1.44	XGB-24full	amount	iso_per_cohort	10000	144	5	0.966455	0.984458	0.967087	0.967522
1.44	1.44	XGB-24full	time	raw	10000	144	3	0.127192	0.146866	0.127297	0.034044
1.44	1.44	XGB-24full	time	iso_per_cohort	10000	144	3	0.963345	0.979312	0.963719	0.964597
1.0	1.0044	XGB-20raw	v_mean	raw	9956	100	5	0.134292	0.168344	0.134556	0.036751
1.0	1.0044	XGB-20raw	v_mean	iso_per_cohort	9956	100	5	0.963034	0.990981	0.963518	0.964674
1.0	1.0044	XGB-20raw	amount	raw	9956	100	5	0.134292	0.213351	0.134403	0.036751
1.0	1.0044	XGB-20raw	amount	iso_per_cohort	9956	100	5	0.927124	0.990122	0.92797	0.915062
1.0	1.0044	XGB-20raw	time	raw	9956	100	3	0.134292	0.167491	0.13441	0.036751
1.0	1.0044	XGB-20raw	time	iso_per_cohort	9956	100	3	0.941136	0.987526	0.942189	0.942647
1.0	1.0044	XGB-24full	v_mean	raw	9956	100	5	0.128348	0.17428	0.128689	0.034057
1.0	1.0044	XGB-24full	v_mean	iso_per_cohort	9956	100	5	0.977791	0.989999	0.978591	0.979439
1.0	1.0044	XGB-24full	amount	raw	9956	100	5	0.128348	0.168515	0.128574	0.034057
1.0	1.0044	XGB-24full	amount	iso_per_cohort	9956	100	5	0.971938	0.989955	0.972594	0.973107
1.0	1.0044	XGB-24full	time	raw	9956	100	3	0.128348	0.147597	0.128349	0.034057
1.0	1.0044	XGB-24full	time	iso_per_cohort	9956	100	3	0.968013	0.986538	0.968473	0.969292
0.5	0.5047	XGB-20raw	v_mean	raw	9906	50	5	0.13588	0.169238	0.13598	0.036664
0.5	0.5047	XGB-20raw	v_mean	iso_per_cohort	9906	50	5	0.98566	0.995823	0.986192	0.985885
0.5	0.5047	XGB-20raw	amount	raw	9906	50	5	0.13588	0.217641	0.135927	0.036664
0.5	0.5047	XGB-20raw	amount	iso_per_cohort	9906	50	5	0.883702	0.993942	0.884252	0.818314
0.5	0.5047	XGB-20raw	time	raw	9906	50	3	0.13588	0.170471	0.13594	0.036664
0.5	0.5047	XGB-20raw	time	iso_per_cohort	9906	50	3	0.877751	0.990742	0.878177	0.817552
0.5	0.5047	XGB-24full	v_mean	raw	9906	50	5	0.129735	0.175229	0.129897	0.034053
0.5	0.5047	XGB-24full	v_mean	iso_per_cohort	9906	50	5	0.959526	0.995305	0.959943	0.945005
0.5	0.5047	XGB-24full	amount	raw	9906	50	5	0.129735	0.171924	0.129829	0.034053
0.5	0.5047	XGB-24full	amount	iso_per_cohort	9906	50	5	0.962684	0.993942	0.962988	0.953226
0.5	0.5047	XGB-24full	time	raw	9906	50	3	0.129735	0.149986	0.129735	0.034053
0.5	0.5047	XGB-24full	time	iso_per_cohort	9906	50	3	0.96479	0.991264	0.964978	0.955122
0.1	0.1014	XGB-20raw	v_mean	raw	9866	10	5	0.137008	0.170572	0.137014	0.036676
0.1	0.1014	XGB-20raw	v_mean	iso_per_cohort	9866	10	5	0.575068	0.897364	0.575331	0.514085
0.1	0.1014	XGB-20raw	amount	raw	9866	10	5	0.137008	0.218352	0.13702	0.036676
0.1	0.1014	XGB-20raw	amount	iso_per_cohort	9866	10	5	0.398467	0.997973	0.398675	0.29802
0.1	0.1014	XGB-20raw	time	raw	9866	10	3	0.137008	0.172081	0.137017	0.036676
0.1	0.1014	XGB-20raw	time	iso_per_cohort	9866	10	3	0.621058	0.994906	0.621215	0.599769
0.1	0.1014	XGB-24full	v_mean	raw	9866	10	5	0.13084	0.176494	0.130871	0.034049
0.1	0.1014	XGB-24full	v_mean	iso_per_cohort	9866	10	5	0.585121	0.824361	0.585572	0.513661
