method	step	zvf_obs	y_obs	delta_div	deg_g8_iid	deg_g16	saved_at_g16	p_hat_extreme
grpo	0	0.687500	0.312500	0.092160	11	11	1	11
grpo	1	0.500000	0.500000	0.078408	8	8	2	8
grpo	2	0.687500	0.312500	0.055955	11	11	2	11
grpo	3	0.750000	0.250000	0.055467	12	12	2	12
grpo	4	0.687500	0.312500	0.040738	11	11	3	11
grpo	5	0.687500	0.312500	0.050186	11	11	1	11
grpo	6	0.812500	0.187500	0.029213	13	13	1	13
grpo	7	0.687500	0.312500	0.071173	11	11	1	11
grpo	8	0.562500	0.437500	0.079902	9	9	2	9
grpo	9	0.687500	0.312500	0.056947	11	11	2	11
grpo	10	0.687500	0.312500	0.056947	11	11	2	11
grpo	11	0.687500	0.312500	0.050186	11	11	1	11
grpo	12	0.812500	0.187500	0.013996	13	13	2	13
grpo	13	0.562500	0.437500	0.094128	9	9	1	9
grpo	14	0.750000	0.250000	0.049697	12	12	1	12
grpo	15	0.750000	0.250000	0.024923	12	12	0	12
grpo	16	0.625000	0.375000	0.038430	10	10	2	10
grpo	17	0.500000	0.500000	0.085169	8	8	3	8
grpo	18	0.562500	0.437500	0.023701	9	9	3	9
grpo	19	0.625000	0.375000	0.088862	10	10	0	10
grpo	20	0.625000	0.375000	0.042218	10	10	3	10
grpo	21	0.750000	0.250000	0.045910	12	12	0	12
grpo	22	0.750000	0.250000	0.030693	12	12	1	12
grpo	23	0.875000	0.125000	0.027734	14	14	1	14
grpo	24	0.812500	0.187500	0.064427	13	13	0	13
grpo	25	0.562500	0.437500	0.074132	9	9	1	9
grpo	26	0.812500	0.187500	0.049209	13	13	1	13
grpo	27	0.937500	0.062500	0.000488	15	15	0	15
grpo	28	0.812500	0.187500	0.044431	13	13	0	13
grpo	29	0.812500	0.187500	0.043439	13	13	0	13
grpo	30	0.812500	0.187500	0.049209	13	13	1	13
grpo	31	0.750000	0.250000	0.070685	12	12	1	12
grpo	32	0.687500	0.312500	0.035959	11	11	2	11
grpo	33	0.687500	0.312500	0.072164	11	11	1	11
grpo	34	0.875000	0.125000	0.027734	14	14	1	14
grpo	35	0.937500	0.062500	0.006258	15	15	1	15
grpo	36	0.812500	0.187500	0.044431	13	13	0	13
grpo	37	0.750000	0.250000	0.034480	12	12	2	12
grpo	38	0.687500	0.312500	0.056947	11	11	2	11
grpo	39	0.750000	0.250000	0.030693	12	12	1	12
aero	0	0.687500	0.312500	0.087382	11	11	0	11
aero	1	0.687500	0.312500	0.011185	11	11	1	11
aero	2	0.812500	0.187500	0.064427	13	13	0	13
aero	3	0.687500	0.312500	0.036951	11	11	2	11
aero	4	0.750000	0.250000	0.007723	12	12	1	12
aero	5	0.562500	0.437500	0.084680	9	9	3	9
aero	6	0.750000	0.250000	0.020254	12	12	3	12
aero	7	0.625000	0.375000	0.067874	10	10	0	10
aero	8	0.687500	0.312500	0.010194	11	11	1	11
aero	9	0.625000	0.375000	0.058426	10	10	2	10
aero	10	0.750000	0.250000	0.040250	12	12	3	12
aero	11	0.562500	0.437500	0.047484	9	9	4	9
aero	12	0.687500	0.312500	0.036951	11	11	2	11
aero	13	0.562500	0.437500	0.015949	9	9	2	9
aero	14	0.750000	0.250000	0.043928	12	12	0	12
aero	15	0.812500	0.187500	0.024435	13	13	0	13
aero	16	0.562500	0.437500	0.056932	9	9	2	9
aero	17	0.562500	0.437500	0.053145	9	9	1	9
aero	18	0.625000	0.375000	0.056444	10	10	2	10
aero	19	0.625000	0.375000	0.042218	10	10	3	10
aero	20	0.625000	0.375000	0.066883	10	10	0	10
aero	21	0.812500	0.187500	0.043439	13	13	0	13
aero	22	0.687500	0.312500	0.087382	11	11	0	11
aero	23	0.812500	0.187500	0.033992	13	13	2	13
aero	24	0.812500	0.187500	0.064427	13	13	0	13
aero	25	0.687500	0.312500	0.056947	11	11	2	11
aero	26	0.875000	0.125000	0.007738	14	14	1	14
aero	27	0.937500	0.062500	0.001480	15	15	0	15
aero	28	0.812500	0.187500	0.043439	13	13	0	13
aero	29	0.875000	0.125000	0.012516	14	14	2	14
aero	30	0.812500	0.187500	0.049209	13	13	1	13
aero	31	0.812500	0.187500	0.049209	13	13	1	13
aero	32	0.750000	0.250000	0.029701	12	12	1	12
aero	33	0.625000	0.375000	0.073644	10	10	1	10
aero	34	0.875000	0.125000	0.022955	14	14	0	14
aero	35	0.812500	0.187500	0.028222	13	13	1	13
aero	36	0.812500	0.187500	0.033992	13	13	2	13
aero	37	0.687500	0.312500	0.066395	11	11	0	11
aero	38	0.687500	0.312500	0.065403	11	11	0	11
aero	39	0.625000	0.375000	0.108857	10	10	0	10
areal	0	0.687500	0.312500	0.052168	11	11	1	11
areal	1	0.500000	0.500000	0.078408	8	8	2	8
areal	2	0.687500	0.312500	0.086391	11	11	0	11
areal	3	0.687500	0.312500	0.036951	11	11	2	11
areal	4	0.500000	0.500000	0.135600	8	8	1	8
areal	5	0.750000	0.250000	0.045910	12	12	0	12
areal	6	0.687500	0.312500	0.067386	11	11	0	11
areal	7	0.875000	0.125000	0.042951	14	14	0	14
areal	8	0.625000	0.375000	0.052657	10	10	1	10
areal	9	0.687500	0.312500	0.032172	11	11	1	11
areal	10	0.687500	0.312500	0.087382	11	11	0	11
areal	11	0.500000	0.500000	0.101378	8	8	2	8
areal	12	0.812500	0.187500	0.004439	13	13	0	13
areal	13	0.562500	0.437500	0.024693	9	9	3	9
areal	14	0.687500	0.312500	0.055955	11	11	2	11
areal	15	0.687500	0.312500	0.087382	11	11	0	11
areal	16	0.625000	0.375000	0.078422	10	10	2	10
areal	17	0.500000	0.500000	0.074621	8	8	1	8
areal	18	0.562500	0.437500	0.074132	9	9	1	9
areal	19	0.750000	0.250000	0.013493	12	12	2	12
areal	20	0.687500	0.312500	0.013981	11	11	2	11
areal	21	0.687500	0.312500	0.086391	11	11	0	11
areal	22	0.812500	0.187500	0.043439	13	13	0	13
areal	23	0.812500	0.187500	0.029213	13	13	1	13
areal	24	0.875000	0.125000	0.027734	14	14	1	14
areal	25	0.625000	0.375000	0.018435	10	10	2	10
areal	26	0.875000	0.125000	0.007738	14	14	1	14
areal	27	0.937500	0.062500	0.006258	15	15	1	15
areal	28	0.875000	0.125000	0.022955	14	14	0	14
areal	29	0.812500	0.187500	0.043439	13	13	0	13
areal	30	0.750000	0.250000	0.050689	12	12	1	12
areal	31	0.562500	0.437500	0.135111	9	9	1	9
areal	32	0.750000	0.250000	0.030693	12	12	1	12
areal	33	0.625000	0.375000	0.072653	10	10	1	10
areal	34	0.687500	0.312500	0.092160	11	11	1	11
areal	35	0.812500	0.187500	0.049209	13	13	1	13
areal	36	0.750000	0.250000	0.050689	12	12	1	12
areal	37	0.687500	0.312500	0.050186	11	11	1	11
areal	38	0.812500	0.187500	0.029213	13	13	1	13
areal	39	0.750000	0.250000	0.035471	12	12	2	12
