corpus_id	corpus_desc	n_records	n_items_populated	n_items_with_variance	total_bits	mean_hamming	hamming_ci_lo	hamming_ci_hi	n_pairs_sampled	verdict	cov_loss_form	cov_ref_policy_kl	cov_sampler_backend_precision	cov_zvf_gu_trajectory	cov_group_size_schedule	cov_heldout_split	cov_decontam_parser_probe	var_loss_form	var_ref_policy_kl	var_sampler_backend_precision	var_zvf_gu_trajectory	var_group_size_schedule	var_heldout_split	var_decontam_parser_probe	bits_loss_form	bits_ref_policy_kl	bits_sampler_backend_precision	bits_zvf_gu_trajectory	bits_group_size_schedule	bits_heldout_split	bits_decontam_parser_probe
C1_mega_20260704	98-cell mega manifest + cells.tsv	98	7	3	4.798	1.891	1.838	1.98	2000	STRONG	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1	1	1	1	5	3	2	-0.0	-0.0	-0.0	-0.0	2.3121	1.5546	0.9313
C2_n2_reward_tensor	4-method same-stack tensors (G=8)	4	7	1	2.0	1.0	0.688	0.76	200	STRONG	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4	1	1	1	1	1	1	2.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
C3_n10_seed_expansion	2-algo x 16-seed expansion manifest	16	7	2	4.0	1.7163	1.52	1.646	800	STRONG	1.0	1.0	1.0	0.125	1.0	1.0	1.0	2	1	1	1	8	1	1	1.0	-0.0	-0.0	-0.0	3.0	-0.0	-0.0
C4_base_instruct_paired	paired base vs instruct t-test rows	8	2	1	0.9544	0.555	0.452	0.538	400	LIMITED	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2	0	0	0	0	1	0	0.9544	0.0	0.0	0.0	0.0	-0.0	0.0
C5_group_size_iter111	G sweep G4 vs G32 paired	4	4	1	2.0	1.0	0.686	0.762	200	PORTABLE	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1	0	0	1	4	1	0	-0.0	0.0	0.0	-0.0	2.0	-0.0	0.0
C6_length_bias_iter	length-bias paired runs (GRPO vs DrGRPO)	20	2	2	2.5219	1.213	1.128	1.244	1000	LIMITED	1.0	0.0	0.0	0.0	0.0	1.0	0.0	3	0	0	0	0	2	0	1.5219	0.0	0.0	0.0	0.0	1.0	0.0
C7_zvf_iter118	ZVF per-stratum AUROC rows	8	3	2	3.0	1.4725	1.178	1.298	400	PORTABLE	1.0	0.0	0.0	1.0	0.0	1.0	0.0	4	0	0	1	0	2	0	2.0	0.0	0.0	-0.0	0.0	1.0	0.0
