method	step	zvf_step	fire	n_boundary	n_mid_edge	mean_dH_on_fired_prompts	max_dH_over_prompts	dH_regret
grpo	0	0.6875	1	11	5	0.389567	0.418057	0.028491
grpo	1	0.5000	1	8	8	0.398166	0.422757	0.024591
grpo	2	0.6875	1	11	5	0.391009	0.422757	0.031747
grpo	3	0.7500	1	12	4	0.388334	0.418057	0.029723
grpo	4	0.6875	1	11	5	0.391584	0.422757	0.031173
grpo	5	0.6875	1	11	5	0.391303	0.422757	0.031454
grpo	6	0.8125	1	13	3	0.386757	0.421731	0.034974
grpo	7	0.6875	1	11	5	0.390435	0.422757	0.032322
grpo	8	0.5625	1	9	7	0.395363	0.421731	0.026368
grpo	9	0.6875	1	11	5	0.390945	0.421731	0.030786
grpo	10	0.6875	1	11	5	0.390945	0.421731	0.030786
grpo	11	0.6875	1	11	5	0.391303	0.422757	0.031454
grpo	12	0.8125	1	13	3	0.387331	0.421731	0.034399
grpo	13	0.5625	1	9	7	0.394852	0.422757	0.027904
grpo	14	0.7500	1	12	4	0.388628	0.422757	0.034129
grpo	15	0.7500	1	12	4	0.389662	0.422757	0.033095
grpo	16	0.6250	1	10	6	0.394360	0.421731	0.027371
grpo	17	0.5000	1	8	8	0.397808	0.422757	0.024949
grpo	18	0.5625	1	9	7	0.397609	0.422757	0.025148
grpo	19	0.6250	1	10	6	0.392407	0.421731	0.029324
grpo	20	0.6250	1	10	6	0.394194	0.422757	0.028562
grpo	21	0.7500	1	12	4	0.388793	0.421731	0.032937
grpo	22	0.7500	1	12	4	0.389368	0.421731	0.032363
grpo	23	0.8750	1	14	2	0.384146	0.418057	0.033911
grpo	24	0.8125	1	13	3	0.385379	0.408867	0.023488
grpo	25	0.5625	1	9	7	0.395656	0.422757	0.027100
grpo	26	0.8125	1	13	3	0.385953	0.418057	0.032104
grpo	27	0.9375	1	15	1	0.382633	0.422757	0.040123
grpo	28	0.8125	1	13	3	0.386183	0.421731	0.035548
grpo	29	0.8125	1	13	3	0.386247	0.422757	0.036510
grpo	30	0.8125	1	13	3	0.385953	0.418057	0.032104
grpo	31	0.7500	1	12	4	0.387760	0.418057	0.030298
grpo	32	0.6875	1	11	5	0.391813	0.422757	0.030943
grpo	33	0.6875	1	11	5	0.390371	0.421731	0.031360
grpo	34	0.8750	1	14	2	0.384146	0.418057	0.033911
grpo	35	0.9375	1	15	1	0.382339	0.418057	0.035718
grpo	36	0.8125	1	13	3	0.386183	0.421731	0.035548
grpo	37	0.7500	1	12	4	0.389202	0.422757	0.033554
grpo	38	0.6875	1	11	5	0.390945	0.421731	0.030786
grpo	39	0.7500	1	12	4	0.389368	0.421731	0.032363
aero	0	0.6875	1	11	5	0.389796	0.421731	0.031934
aero	1	0.6875	1	11	5	0.392847	0.422757	0.029910
aero	2	0.8125	1	13	3	0.385379	0.408867	0.023488
aero	3	0.6875	1	11	5	0.391749	0.421731	0.029982
aero	4	0.7500	1	12	4	0.390364	0.422757	0.032392
aero	5	0.5625	1	9	7	0.395133	0.421731	0.026598
aero	6	0.7500	1	12	4	0.389713	0.421731	0.032018
aero	7	0.6250	1	10	6	0.393275	0.422757	0.029481
aero	8	0.6875	1	11	5	0.392911	0.422757	0.029846
aero	9	0.6250	1	10	6	0.393556	0.421731	0.028175
aero	10	0.7500	1	12	4	0.388909	0.418057	0.029149
aero	11	0.5625	1	9	7	0.396640	0.422757	0.026117
aero	12	0.6875	1	11	5	0.391749	0.421731	0.029982
aero	13	0.5625	1	9	7	0.398031	0.422757	0.024726
aero	14	0.7500	1	12	4	0.388922	0.422757	0.033835
aero	15	0.8125	1	13	3	0.386987	0.421731	0.034744
aero	16	0.5625	1	9	7	0.396359	0.422757	0.026398
aero	17	0.5625	1	9	7	0.396524	0.422757	0.026232
aero	18	0.6250	1	10	6	0.393684	0.422757	0.029073
aero	19	0.6250	1	10	6	0.394194	0.422757	0.028562
aero	20	0.6250	1	10	6	0.393339	0.422757	0.029417
aero	21	0.8125	1	13	3	0.386247	0.422757	0.036510
aero	22	0.6875	1	11	5	0.389796	0.421731	0.031934
aero	23	0.8125	1	13	3	0.386527	0.418057	0.031530
aero	24	0.8125	1	13	3	0.385379	0.408867	0.023488
aero	25	0.6875	1	11	5	0.390945	0.421731	0.030786
aero	26	0.8750	1	14	2	0.384950	0.421731	0.036781
aero	27	0.9375	1	15	1	0.382569	0.421731	0.039162
aero	28	0.8125	1	13	3	0.386247	0.422757	0.036510
aero	29	0.8750	1	14	2	0.384721	0.418057	0.033337
aero	30	0.8125	1	13	3	0.385953	0.418057	0.032104
aero	31	0.8125	1	13	3	0.385953	0.418057	0.032104
aero	32	0.7500	1	12	4	0.389432	0.422757	0.033325
aero	33	0.6250	1	10	6	0.392981	0.421731	0.028749
aero	34	0.8750	1	14	2	0.384376	0.421731	0.037355
aero	35	0.8125	1	13	3	0.386821	0.422757	0.035935
aero	36	0.8125	1	13	3	0.386527	0.418057	0.031530
aero	37	0.6875	1	11	5	0.390664	0.422757	0.032092
aero	38	0.6875	1	11	5	0.390728	0.422757	0.032028
aero	39	0.6250	1	10	6	0.391603	0.421731	0.030128
gift	0	0.7500	1	12	4	0.390006	0.422757	0.032750
gift	1	0.5625	1	9	7	0.395491	0.422757	0.027266
gift	2	0.6875	1	11	5	0.388992	0.408867	0.019875
gift	3	0.5625	1	9	7	0.394903	0.418057	0.023154
gift	4	0.6875	1	11	5	0.390945	0.421731	0.030786
gift	5	0.6250	1	10	6	0.391603	0.421731	0.030128
gift	6	0.7500	1	12	4	0.389368	0.421731	0.032363
gift	7	0.6875	1	11	5	0.390141	0.418057	0.027916
gift	8	0.6250	1	10	6	0.393620	0.422757	0.029137
gift	9	0.6250	1	10	6	0.392177	0.421731	0.029553
gift	10	0.7500	1	12	4	0.388054	0.422757	0.034703
gift	11	0.6250	1	10	6	0.393965	0.422757	0.028792
gift	12	0.7500	1	12	4	0.389138	0.421731	0.032592
gift	13	0.5625	1	9	7	0.397099	0.422757	0.025658
gift	14	0.8125	1	13	3	0.387051	0.422757	0.035706
gift	15	0.6250	1	10	6	0.393046	0.422757	0.029711
gift	16	0.6250	1	10	6	0.393326	0.421731	0.028404
gift	17	0.7500	1	12	4	0.390658	0.422757	0.032099
gift	18	0.6250	1	10	6	0.393850	0.422757	0.028907
gift	19	0.7500	1	12	4	0.388628	0.422757	0.034129
gift	20	0.6875	1	11	5	0.391303	0.422757	0.031454
gift	21	0.7500	1	12	4	0.389368	0.421731	0.032363
gift	22	0.8750	1	14	2	0.384376	0.421731	0.037355
gift	23	0.8750	1	14	2	0.384376	0.421731	0.037355
gift	24	0.8750	1	14	2	0.383572	0.408867	0.025295
gift	25	0.7500	1	12	4	0.390006	0.422757	0.032750
gift	26	0.8125	1	13	3	0.386183	0.421731	0.035548
gift	27	0.9375	1	15	1	0.382339	0.418057	0.035718
gift	28	0.8750	1	14	2	0.384146	0.418057	0.033911
gift	29	0.9375	1	15	1	0.382569	0.421731	0.039162
gift	30	0.8750	1	14	2	0.385014	0.422757	0.037742
gift	31	0.9375	1	15	1	0.381765	0.408867	0.027102
gift	32	0.7500	1	12	4	0.388793	0.421731	0.032937
gift	33	0.9375	1	15	1	0.381765	0.408867	0.027102
gift	34	1.0000	1	16	0	0.379958	0.379958	0.000000
gift	35	0.9375	1	15	1	0.381765	0.408867	0.027102
gift	36	0.9375	1	15	1	0.382633	0.422757	0.040123
gift	37	0.8750	1	14	2	0.384376	0.421731	0.037355
gift	38	0.9375	1	15	1	0.382569	0.421731	0.039162
gift	39	0.8125	1	13	3	0.387625	0.422757	0.035131
areal	0	0.6875	1	11	5	0.391175	0.421731	0.030556
areal	1	0.5000	1	8	8	0.398166	0.422757	0.024591
areal	2	0.6875	1	11	5	0.389860	0.422757	0.032896
areal	3	0.6875	1	11	5	0.391749	0.421731	0.029982
areal	4	0.5000	1	8	8	0.395855	0.422757	0.026901
areal	5	0.7500	1	12	4	0.388793	0.421731	0.032937
areal	6	0.6875	1	11	5	0.390600	0.421731	0.031131
areal	7	0.8750	1	14	2	0.383572	0.408867	0.025295
areal	8	0.6250	1	10	6	0.393850	0.422757	0.028907
areal	9	0.6875	1	11	5	0.391979	0.421731	0.029752
areal	10	0.6875	1	11	5	0.389796	0.421731	0.031934
areal	11	0.5000	1	8	8	0.397169	0.421731	0.024561
areal	12	0.8125	1	13	3	0.387791	0.421731	0.033940
areal	13	0.5625	1	9	7	0.397545	0.421731	0.024186
areal	14	0.6875	1	11	5	0.391009	0.422757	0.031747
areal	15	0.6875	1	11	5	0.389796	0.421731	0.031934
areal	16	0.6250	1	10	6	0.392752	0.421731	0.028979
areal	17	0.5000	1	8	8	0.398331	0.422757	0.024425
areal	18	0.5625	1	9	7	0.395656	0.422757	0.027100
areal	19	0.7500	1	12	4	0.390070	0.422757	0.032686
areal	20	0.6875	1	11	5	0.392745	0.422757	0.030011
areal	21	0.6875	1	11	5	0.389860	0.422757	0.032896
areal	22	0.8125	1	13	3	0.386247	0.422757	0.036510
areal	23	0.8125	1	13	3	0.386757	0.421731	0.034974
areal	24	0.8750	1	14	2	0.384146	0.418057	0.033911
areal	25	0.6250	1	10	6	0.395164	0.421731	0.026567
areal	26	0.8750	1	14	2	0.384950	0.421731	0.036781
areal	27	0.9375	1	15	1	0.382339	0.418057	0.035718
areal	28	0.8750	1	14	2	0.384376	0.421731	0.037355
areal	29	0.8125	1	13	3	0.386247	0.422757	0.036510
areal	30	0.7500	1	12	4	0.388564	0.421731	0.033167
areal	31	0.5625	1	9	7	0.393180	0.418057	0.024877
areal	32	0.7500	1	12	4	0.389368	0.421731	0.032363
areal	33	0.6250	1	10	6	0.393046	0.422757	0.029711
areal	34	0.6875	1	11	5	0.389567	0.418057	0.028491
areal	35	0.8125	1	13	3	0.385953	0.418057	0.032104
areal	36	0.7500	1	12	4	0.388564	0.421731	0.033167
areal	37	0.6875	1	11	5	0.391303	0.422757	0.031454
areal	38	0.8125	1	13	3	0.386757	0.421731	0.034974
areal	39	0.7500	1	12	4	0.389138	0.421731	0.032592
