method	tau	n_contrast	n_fired_steps	n_zvf_saved	rollout_saves	net_saves	cost_ratio	g_total	net_saves_lo	net_saves_hi
grpo	0.03	23	512	85	138	223	1.773046875	9078	169	284
grpo	0.04	46	432	67	276	343	1.62109375	8300	266	424
grpo	0.05	80	288	49	480	529	1.35625	6944	432	637
grpo	0.06	114	176	29	684	713	1.14140625	5844	605	823
grpo	0.07	117	160	29	702	731	1.112890625	5698	617	852
aero	0.03	42	448	73	252	325	1.65078125	8452	252	403
aero	0.04	58	384	61	348	409	1.53203125	7844	327	501
aero	0.05	91	256	41	546	587	1.293359375	6622	488	692
aero	0.06	122	176	20	732	752	1.13203125	5796	633	867
aero	0.07	150	80	10	900	910	0.94921875	4860	784	1038
areal	0.03	38	464	70	228	298	1.68046875	8604	228	375
areal	0.04	56	400	56	336	392	1.559375	7984	307	480
areal	0.05	71	320	51	426	477	1.416796875	7254	383	570
areal	0.06	100	224	34	600	634	1.2328125	6312	527	747
areal	0.07	105	208	32	630	662	1.201953125	6154	558	774
gift	0.03	35	352	60	210	270	1.508984375	7726	204	342
gift	0.04	54	288	45	324	369	1.38671875	7100	287	453
gift	0.05	73	208	35	438	473	1.239453125	6346	387	567
gift	0.06	95	144	21	570	591	1.113671875	5702	490	697
gift	0.07	105	112	16	630	646	1.051953125	5386	542	764
