stat	quartile	sweet_spot_price_per_call
V_mean	0	0.00010000000000000002
V_mean	1	7.368421052631579e-05
V_mean	2	3.7837837837837835e-05
V_mean	3	6.666666666666667e-05
V_std	0	1.6666666666666667e-05
V_std	1	5.5e-05
V_std	2	9.473684210526316e-05
V_std	3	0.00012000000000000002
V_max	0	2.6666666666666667e-05
V_max	1	8.888888888888889e-05
V_max	2	7.777777777777778e-05
V_max	3	7.777777777777778e-05
V_min	0	0.0001142857142857143
V_min	1	6.153846153846154e-05
V_min	2	4.516129032258064e-05
V_min	3	3.846153846153846e-05
