tau_i	tau_j	concordance	n_agree
0.5	0.5	1.0	75
0.5	0.55	0.76	57
0.5	0.6	0.76	57
0.5	0.65	0.44	33
0.5	0.7	0.44	33
0.5	0.75	0.44	33
0.5	0.8	0.2	15
0.5	0.85	0.2	15
0.55	0.5	0.76	57
0.55	0.55	1.0	75
0.55	0.6	1.0	75
0.55	0.65	0.68	51
0.55	0.7	0.68	51
0.55	0.75	0.68	51
0.55	0.8	0.44	33
0.55	0.85	0.44	33
0.6	0.5	0.76	57
0.6	0.55	1.0	75
0.6	0.6	1.0	75
0.6	0.65	0.68	51
0.6	0.7	0.68	51
0.6	0.75	0.68	51
0.6	0.8	0.44	33
0.6	0.85	0.44	33
0.65	0.5	0.44	33
0.65	0.55	0.68	51
0.65	0.6	0.68	51
0.65	0.65	1.0	75
0.65	0.7	1.0	75
0.65	0.75	1.0	75
0.65	0.8	0.76	57
0.65	0.85	0.76	57
0.7	0.5	0.44	33
0.7	0.55	0.68	51
0.7	0.6	0.68	51
0.7	0.65	1.0	75
0.7	0.7	1.0	75
0.7	0.75	1.0	75
0.7	0.8	0.76	57
0.7	0.85	0.76	57
0.75	0.5	0.44	33
0.75	0.55	0.68	51
0.75	0.6	0.68	51
0.75	0.65	1.0	75
0.75	0.7	1.0	75
0.75	0.75	1.0	75
0.75	0.8	0.76	57
0.75	0.85	0.76	57
0.8	0.5	0.2	15
0.8	0.55	0.44	33
0.8	0.6	0.44	33
0.8	0.65	0.76	57
0.8	0.7	0.76	57
0.8	0.75	0.76	57
0.8	0.8	1.0	75
0.8	0.85	1.0	75
0.85	0.5	0.2	15
0.85	0.55	0.44	33
0.85	0.6	0.44	33
0.85	0.65	0.76	57
0.85	0.7	0.76	57
0.85	0.75	0.76	57
0.85	0.8	1.0	75
0.85	0.85	1.0	75
