method	controller	n	rescue_strict_pt	rescue_strict_lo	rescue_strict_hi	rescue_partial_pt	rescue_partial_lo	rescue_partial_hi	contrast_gain_pt	contrast_gain_lo	contrast_gain_hi	cost_ratio_pt	cost_ratio_lo	cost_ratio_hi
grpo	C0_fixed_g8	40	0.0	0.0	0.0	0.0	0.0	0.0	-0.0497	-0.0564	-0.0429	1.0	1.0	1.0
grpo	C1_zvf_triage	40	0.0	0.0	0.0	0.0	0.0	0.0	-0.0411	-0.0488	-0.0331	1.25	1.175	1.325
grpo	C2_dualformer_auto	40	0.0	0.0	0.0	0.0	0.0	0.0	-0.0593	-0.0705	-0.048	0.6551	0.6012	0.7109
grpo	C3_iso_g	40	0.0	0.0	0.0	0.0	0.0	0.0	-0.029	-0.0324	-0.0256	1.0883	1.066	1.1098
aero	C0_fixed_g8	40	0.0	0.0	0.0	0.0	0.0	0.0	-0.0453	-0.053	-0.0378	1.0	1.0	1.0
aero	C1_zvf_triage	40	0.0	0.0	0.0	0.0	0.0	0.0	-0.038	-0.0465	-0.0296	1.2375	1.1625	1.3125
aero	C2_dualformer_auto	40	0.0	0.0	0.0	0.0	0.0	0.0	-0.0518	-0.062	-0.0415	0.677	0.6184	0.7348
aero	C3_iso_g	40	0.0	0.0	0.0	0.0	0.0	0.0	-0.0292	-0.0326	-0.0258	1.0684	1.0402	1.0984
gift	C0_fixed_g8	40	0.0	0.0	0.0	0.0	0.0	0.0	-0.0394	-0.0486	-0.0304	1.0	1.0	1.0
gift	C1_zvf_triage	40	0.0	0.0	0.0	0.0	0.0	0.0	-0.0325	-0.0423	-0.0228	1.325	1.25	1.4
gift	C2_dualformer_auto	40	0.0	0.0	0.0	0.0	0.0	0.0	-0.0452	-0.0576	-0.0333	0.6207	0.5664	0.6781
gift	C3_iso_g	40	0.0	0.0	0.0	0.0	0.0	0.0	-0.0239	-0.0279	-0.0198	1.066	1.0387	1.0945
areal	C0_fixed_g8	40	0.0	0.0	0.0	0.0	0.0	0.0	-0.0532	-0.0632	-0.0434	1.0	1.0	1.0
areal	C1_zvf_triage	40	0.0	0.0	0.0	0.0	0.0	0.0	-0.0469	-0.0584	-0.0363	1.2125	1.1375	1.2875
areal	C2_dualformer_auto	40	0.0	0.0	0.0	0.0	0.0	0.0	-0.0696	-0.0868	-0.0539	0.6734	0.6219	0.7258
areal	C3_iso_g	40	0.0	0.0	0.0	0.0	0.0	0.0	-0.03	-0.034	-0.026	1.098	1.0676	1.1313
