controller	threshold	seed	n_steps	fires	fire_rate	rollouts_used	cost_ratio	mean_zvf_at_fire
zvf_triage	0.5	42	15	5	0.3333	160	1.333	0.2750
zvf_triage	0.5	179	15	1	0.0667	128	1.067	0.3750
zvf_triage	0.5	316	15	2	0.1333	136	1.133	0.3750
zvf_triage	0.5	453	15	1	0.0667	128	1.067	0.3750
zvf_triage	0.5	590	15	3	0.2000	144	1.200	0.3333
zvf_triage	0.6	42	15	9	0.6000	192	1.600	0.3750
zvf_triage	0.6	179	15	5	0.3333	160	1.333	0.4750
zvf_triage	0.6	316	15	6	0.4000	168	1.400	0.4583
zvf_triage	0.6	453	15	5	0.3333	160	1.333	0.4750
zvf_triage	0.6	590	15	5	0.3333	160	1.333	0.4000
zvf_triage	0.7	42	15	13	0.8667	224	1.867	0.4519
zvf_triage	0.7	179	15	11	0.7333	208	1.733	0.5568
zvf_triage	0.7	316	15	11	0.7333	208	1.733	0.5341
zvf_triage	0.7	453	15	9	0.6000	192	1.600	0.5417
zvf_triage	0.7	590	15	10	0.6667	200	1.667	0.5125
zvf_triage	0.8	42	15	15	1.0000	240	2.000	0.4917
zvf_triage	0.8	179	15	15	1.0000	240	2.000	0.6083
zvf_triage	0.8	316	15	15	1.0000	240	2.000	0.5917
zvf_triage	0.8	453	15	14	0.9333	232	1.933	0.6161
zvf_triage	0.8	590	15	13	0.8667	224	1.867	0.5673
zvf_triage	0.9	42	15	15	1.0000	240	2.000	0.4917
zvf_triage	0.9	179	15	15	1.0000	240	2.000	0.6083
zvf_triage	0.9	316	15	15	1.0000	240	2.000	0.5917
zvf_triage	0.9	453	15	15	1.0000	240	2.000	0.6333
zvf_triage	0.9	590	15	15	1.0000	240	2.000	0.6083
bayes_midrange	0.55	42	15	0	0.0000	120	1.000	nan
bayes_midrange	0.55	179	15	0	0.0000	120	1.000	nan
bayes_midrange	0.55	316	15	0	0.0000	120	1.000	nan
bayes_midrange	0.55	453	15	0	0.0000	120	1.000	nan
bayes_midrange	0.55	590	15	0	0.0000	120	1.000	nan
bayes_midrange	0.6	42	15	0	0.0000	120	1.000	nan
bayes_midrange	0.6	179	15	0	0.0000	120	1.000	nan
bayes_midrange	0.6	316	15	0	0.0000	120	1.000	nan
bayes_midrange	0.6	453	15	0	0.0000	120	1.000	nan
bayes_midrange	0.6	590	15	0	0.0000	120	1.000	nan
bayes_midrange	0.65	42	15	0	0.0000	120	1.000	nan
bayes_midrange	0.65	179	15	0	0.0000	120	1.000	nan
bayes_midrange	0.65	316	15	0	0.0000	120	1.000	nan
bayes_midrange	0.65	453	15	0	0.0000	120	1.000	nan
bayes_midrange	0.65	590	15	0	0.0000	120	1.000	nan
bayes_midrange	0.7	42	15	0	0.0000	120	1.000	nan
bayes_midrange	0.7	179	15	0	0.0000	120	1.000	nan
bayes_midrange	0.7	316	15	0	0.0000	120	1.000	nan
bayes_midrange	0.7	453	15	0	0.0000	120	1.000	nan
bayes_midrange	0.7	590	15	0	0.0000	120	1.000	nan
bayes_midrange	0.8	42	15	0	0.0000	120	1.000	nan
bayes_midrange	0.8	179	15	1	0.0667	128	1.067	nan
bayes_midrange	0.8	316	15	0	0.0000	120	1.000	nan
bayes_midrange	0.8	453	15	1	0.0667	128	1.067	nan
bayes_midrange	0.8	590	15	0	0.0000	120	1.000	nan
bayes_midrange	0.9	42	15	2	0.1333	136	1.133	nan
bayes_midrange	0.9	179	15	2	0.1333	136	1.133	nan
bayes_midrange	0.9	316	15	0	0.0000	120	1.000	nan
bayes_midrange	0.9	453	15	3	0.2000	144	1.200	nan
bayes_midrange	0.9	590	15	3	0.2000	144	1.200	nan
bayes_midrange	0.95	42	15	4	0.2667	152	1.267	nan
bayes_midrange	0.95	179	15	4	0.2667	152	1.267	nan
bayes_midrange	0.95	316	15	2	0.1333	136	1.133	nan
bayes_midrange	0.95	453	15	7	0.4667	176	1.467	nan
bayes_midrange	0.95	590	15	5	0.3333	160	1.333	nan
