fset	rate_pct	cppr_grad_mean_across_tiers	acd_mean_across_tiers
24full	1.44	0.03531333333333333	1.69504
24full	1.0	0.04951176470588235	1.6908396946564885
24full	0.5	0.07694909090909091	1.7089440742984052
24full	0.1	1.7540399999999998	1.7778633691465635
24full	0.05	0.43657500000000005	1.7709157286279282
20raw	1.44	0.0310048	1.55024
20raw	1.0	0.042953513513513515	1.5963037364403374
20raw	0.5	0.07102545454545454	1.577387441954371
20raw	0.1	0.51952	1.579728360024326
20raw	0.05	0.385895	1.565338200993814
20raw+minmax	1.44	0.0318736	1.5936799999999998
20raw+minmax	1.0	0.046743529411764705	1.5963037364403374
20raw+minmax	0.5	0.07682095238095239	1.6285483545326063
20raw+minmax	0.1	0.8191	1.6604500304074599
20raw+minmax	0.05	0.40942500000000004	1.6607849102525098
20raw+stat	1.44	0.032308	1.6154
20raw+stat	1.0	0.042953513513513515	1.5963037364403374
20raw+stat	0.5	0.06510666666666667	1.577387441954371
20raw+stat	0.1	0.81548	1.6531116967362656
20raw+stat	0.05	0.5410733333333333	1.6461008011357876
