C_inv	L	model	tau_star	tp	fp	fn	cost_per_dec_usd	c_sense	alert_rate	recall
0.1	5.0	XGB-20raw	0.980392	2	0	142	0.07102	0.0	0.0002	0.013888888888888888
0.1	5.0	XGB-24full	0.980392	1	0	143	0.07501	0.0035	0.0001	0.006944444444444444
0.1	5.0	XGB-4sensor	0.980392	0	0	144	0.0755	0.0035	0.0	0.0
0.1	25.0	XGB-20raw	0.996016	0	0	144	0.36	0.0	0.0	0.0
0.1	25.0	XGB-24full	0.996016	0	0	144	0.3635	0.0035	0.0	0.0
0.1	25.0	XGB-4sensor	0.996016	0	0	144	0.3635	0.0035	0.0	0.0
0.1	100.0	XGB-20raw	0.999001	0	0	144	1.44	0.0	0.0	0.0
0.1	100.0	XGB-24full	0.999001	0	0	144	1.4435	0.0035	0.0	0.0
0.1	100.0	XGB-4sensor	0.999001	0	0	144	1.4435	0.0035	0.0	0.0
0.1	250.0	XGB-20raw	0.9996	0	0	144	3.6	0.0	0.0	0.0
0.1	250.0	XGB-24full	0.9996	0	0	144	3.6035	0.0035	0.0	0.0
0.1	250.0	XGB-4sensor	0.9996	0	0	144	3.6035	0.0035	0.0	0.0
0.1	1000.0	XGB-20raw	0.9999	0	0	144	14.4	0.0	0.0	0.0
0.1	1000.0	XGB-24full	0.9999	0	0	144	14.4035	0.0035	0.0	0.0
0.1	1000.0	XGB-4sensor	0.9999	0	0	144	14.4035	0.0035	0.0	0.0
0.5	5.0	XGB-20raw	0.909091	15	0	129	0.06525	0.0	0.0015	0.10416666666666667
0.5	5.0	XGB-24full	0.909091	13	0	131	0.06965	0.0035	0.0013	0.09027777777777778
0.5	5.0	XGB-4sensor	0.909091	0	0	144	0.0755	0.0035	0.0	0.0
0.5	25.0	XGB-20raw	0.980392	2	0	142	0.3551	0.0	0.0002	0.013888888888888888
0.5	25.0	XGB-24full	0.980392	1	0	143	0.36105	0.0035	0.0001	0.006944444444444444
0.5	25.0	XGB-4sensor	0.980392	0	0	144	0.3635	0.0035	0.0	0.0
0.5	100.0	XGB-20raw	0.995025	1	0	143	1.43005	0.0	0.0001	0.006944444444444444
0.5	100.0	XGB-24full	0.995025	0	0	144	1.4435	0.0035	0.0	0.0
0.5	100.0	XGB-4sensor	0.995025	0	0	144	1.4435	0.0035	0.0	0.0
0.5	250.0	XGB-20raw	0.998004	0	0	144	3.6	0.0	0.0	0.0
0.5	250.0	XGB-24full	0.998004	0	0	144	3.6035	0.0035	0.0	0.0
0.5	250.0	XGB-4sensor	0.998004	0	0	144	3.6035	0.0035	0.0	0.0
0.5	1000.0	XGB-20raw	0.9995	0	0	144	14.4	0.0	0.0	0.0
0.5	1000.0	XGB-24full	0.9995	0	0	144	14.4035	0.0035	0.0	0.0
0.5	1000.0	XGB-4sensor	0.9995	0	0	144	14.4035	0.0035	0.0	0.0
1.0	5.0	XGB-20raw	0.833333	32	0	112	0.0592	0.0	0.0032	0.2222222222222222
1.0	5.0	XGB-24full	0.833333	26	0	118	0.0651	0.0035	0.0026	0.18055555555555555
1.0	5.0	XGB-4sensor	0.833333	0	0	144	0.0755	0.0035	0.0	0.0
1.0	25.0	XGB-20raw	0.961538	4	0	140	0.3504	0.0	0.0004	0.027777777777777776
1.0	25.0	XGB-24full	0.961538	4	0	140	0.3539	0.0035	0.0004	0.027777777777777776
1.0	25.0	XGB-4sensor	0.961538	0	0	144	0.3635	0.0035	0.0	0.0
1.0	100.0	XGB-20raw	0.990099	2	0	142	1.4202	0.0	0.0002	0.013888888888888888
1.0	100.0	XGB-24full	0.990099	0	0	144	1.4435	0.0035	0.0	0.0
1.0	100.0	XGB-4sensor	0.990099	0	0	144	1.4435	0.0035	0.0	0.0
1.0	250.0	XGB-20raw	0.996016	0	0	144	3.6	0.0	0.0	0.0
1.0	250.0	XGB-24full	0.996016	0	0	144	3.6035	0.0035	0.0	0.0
1.0	250.0	XGB-4sensor	0.996016	0	0	144	3.6035	0.0035	0.0	0.0
1.0	1000.0	XGB-20raw	0.999001	0	0	144	14.4	0.0	0.0	0.0
1.0	1000.0	XGB-24full	0.999001	0	0	144	14.4035	0.0035	0.0	0.0
1.0	1000.0	XGB-4sensor	0.999001	0	0	144	14.4035	0.0035	0.0	0.0
2.5	5.0	XGB-20raw	0.666667	51	0	93	0.05925	0.0	0.0051	0.3541666666666667
2.5	5.0	XGB-24full	0.666667	46	0	98	0.064	0.0035	0.0046	0.3194444444444444
