rate_pct	fset	target	breakeven_tier	breakeven_cost_per_call	breakeven_mean_util	mean_util_cheap	mean_util_small	mean_util_iter120	mean_util_mid	mean_util_frontier
1.44	20raw	0.99	cheap_heuristic	0.0001	0.9999942388888889	0.9999942388888889	0.9999654333333334	0.9999423888888888	0.9997119444444446	0.9982716666666667
1.44	20raw	0.95	cheap_heuristic	0.0001	0.9999942388888889	0.9999942388888889	0.9999654333333334	0.9999423888888888	0.9997119444444446	0.9982716666666667
1.44	20raw	0.9	cheap_heuristic	0.0001	0.9999942388888889	0.9999942388888889	0.9999654333333334	0.9999423888888888	0.9997119444444446	0.9982716666666667
1.44	20raw+minmax	0.99	cheap_heuristic	0.0001	0.9999955222222223	0.9999955222222223	0.9999731333333333	0.9999552222222222	0.9997761111111112	0.9986566666666666
1.44	20raw+minmax	0.95	cheap_heuristic	0.0001	0.9999955222222223	0.9999955222222223	0.9999731333333333	0.9999552222222222	0.9997761111111112	0.9986566666666666
1.44	20raw+minmax	0.9	cheap_heuristic	0.0001	0.9999955222222223	0.9999955222222223	0.9999731333333333	0.9999552222222222	0.9997761111111112	0.9986566666666666
1.44	20raw+stat	0.99	cheap_heuristic	0.0001	0.9999952361111111	0.9999952361111111	0.9999714166666667	0.9999523611111112	0.9997618055555556	0.9985708333333333
1.44	20raw+stat	0.95	cheap_heuristic	0.0001	0.9999952361111111	0.9999952361111111	0.9999714166666667	0.9999523611111112	0.9997618055555556	0.9985708333333333
1.44	20raw+stat	0.9	cheap_heuristic	0.0001	0.9999952361111111	0.9999952361111111	0.9999714166666667	0.9999523611111112	0.9997618055555556	0.9985708333333333
1.44	24full	0.99	cheap_heuristic	0.0001	0.9999955472222222	0.9999955472222222	0.9999732833333332	0.9999554722222221	0.999777361111111	0.9986641666666667
1.44	24full	0.95	cheap_heuristic	0.0001	0.9999955472222222	0.9999955472222222	0.9999732833333332	0.9999554722222221	0.999777361111111	0.9986641666666667
1.44	24full	0.9	cheap_heuristic	0.0001	0.9999955472222222	0.9999955472222222	0.9999732833333332	0.9999554722222221	0.999777361111111	0.9986641666666667
1.0	20raw	0.99	cheap_heuristic	0.0001	0.999992984	0.999992984	0.9999579040000001	0.9999298400000001	0.9996492	0.9978952
1.0	20raw	0.95	cheap_heuristic	0.0001	0.999992984	0.999992984	0.9999579040000001	0.9999298400000001	0.9996492	0.9978952
1.0	20raw	0.9	cheap_heuristic	0.0001	0.999992984	0.999992984	0.9999579040000001	0.9999298400000001	0.9996492	0.9978952
1.0	20raw+minmax	0.99	cheap_heuristic	0.0001	0.999994576	0.999994576	0.9999674559999999	0.9999457599999999	0.9997288000000001	0.9983728
1.0	20raw+minmax	0.95	cheap_heuristic	0.0001	0.999994576	0.999994576	0.9999674559999999	0.9999457599999999	0.9997288000000001	0.9983728
1.0	20raw+minmax	0.9	cheap_heuristic	0.0001	0.999994576	0.999994576	0.9999674559999999	0.9999457599999999	0.9997288000000001	0.9983728
1.0	20raw+stat	0.99	cheap_heuristic	0.0001	0.999994292	0.999994292	0.9999657520000002	0.99994292	0.9997146000000001	0.9982876
1.0	20raw+stat	0.95	cheap_heuristic	0.0001	0.999994292	0.999994292	0.9999657520000002	0.99994292	0.9997146000000001	0.9982876
1.0	20raw+stat	0.9	cheap_heuristic	0.0001	0.999994292	0.999994292	0.9999657520000002	0.99994292	0.9997146000000001	0.9982876
1.0	24full	0.99	cheap_heuristic	0.0001	0.999994468	0.999994468	0.9999668079999999	0.9999446799999999	0.9997234	0.9983404
1.0	24full	0.95	cheap_heuristic	0.0001	0.999994468	0.999994468	0.9999668079999999	0.9999446799999999	0.9997234	0.9983404
1.0	24full	0.9	cheap_heuristic	0.0001	0.999994468	0.999994468	0.9999668079999999	0.9999446799999999	0.9997234	0.9983404
0.5	20raw	0.99	cheap_heuristic	0.0001	0.999990256	0.999990256	0.999941536	0.99990256	0.9995128000000001	0.9970768
0.5	20raw	0.95	cheap_heuristic	0.0001	0.999990256	0.999990256	0.999941536	0.99990256	0.9995128000000001	0.9970768
0.5	20raw	0.9	cheap_heuristic	0.0001	0.999990256	0.999990256	0.999941536	0.99990256	0.9995128000000001	0.9970768
0.5	20raw+minmax	0.99	cheap_heuristic	0.0001	0.999991968	0.999991968	0.9999518079999999	0.99991968	0.9995984	0.9975904
0.5	20raw+minmax	0.95	cheap_heuristic	0.0001	0.999991968	0.999991968	0.9999518079999999	0.99991968	0.9995984	0.9975904
0.5	20raw+minmax	0.9	cheap_heuristic	0.0001	0.999991968	0.999991968	0.9999518079999999	0.99991968	0.9995984	0.9975904
0.5	20raw+stat	0.99	cheap_heuristic	0.0001	0.9999907840000001	0.9999907840000001	0.999944704	0.99990784	0.9995391999999999	0.9972352000000001
0.5	20raw+stat	0.95	cheap_heuristic	0.0001	0.9999907840000001	0.9999907840000001	0.999944704	0.99990784	0.9995391999999999	0.9972352000000001
0.5	20raw+stat	0.9	cheap_heuristic	0.0001	0.9999907840000001	0.9999907840000001	0.999944704	0.99990784	0.9995391999999999	0.9972352000000001
0.5	24full	0.99	cheap_heuristic	0.0001	0.999993424	0.999993424	0.999960544	0.99993424	0.9996711999999999	0.9980271999999999
0.5	24full	0.95	cheap_heuristic	0.0001	0.999993424	0.999993424	0.999960544	0.99993424	0.9996711999999999	0.9980271999999999
0.5	24full	0.9	cheap_heuristic	0.0001	0.999993424	0.999993424	0.999960544	0.99993424	0.9996711999999999	0.9980271999999999
0.1	20raw	0.99	cheap_heuristic	0.0001	0.9999861600000001	0.9999861600000001	0.99991696	0.9998616	0.9993079999999999	0.995848
0.1	20raw	0.95	cheap_heuristic	0.0001	0.9999861600000001	0.9999861600000001	0.99991696	0.9998616	0.9993079999999999	0.995848
0.1	20raw	0.9	cheap_heuristic	0.0001	0.9999861600000001	0.9999861600000001	0.99991696	0.9998616	0.9993079999999999	0.995848
0.1	20raw+minmax	0.99	cheap_heuristic	0.0001	0.999983	0.999983	0.999898	0.99983	0.99915	0.9949
0.1	20raw+minmax	0.95	cheap_heuristic	0.0001	0.999983	0.999983	0.999898	0.99983	0.99915	0.9949
0.1	20raw+minmax	0.9	cheap_heuristic	0.0001	0.999983	0.999983	0.999898	0.99983	0.99915	0.9949
0.1	20raw+stat	0.99	cheap_heuristic	0.0001	0.99998372	0.99998372	0.99990232	0.9998372	0.9991859999999999	0.995116
0.1	20raw+stat	0.95	cheap_heuristic	0.0001	0.99998372	0.99998372	0.99990232	0.9998372	0.9991859999999999	0.995116
0.1	20raw+stat	0.9	cheap_heuristic	0.0001	0.99998372	0.99998372	0.99990232	0.9998372	0.9991859999999999	0.995116
0.1	24full	0.99	cheap_heuristic	0.0001	0.99998724	0.99998724	0.9999234400000001	0.9998724000000001	0.999362	0.996172
0.1	24full	0.95	cheap_heuristic	0.0001	0.99998724	0.99998724	0.9999234400000001	0.9998724000000001	0.999362	0.996172
0.1	24full	0.9	cheap_heuristic	0.0001	0.99998724	0.99998724	0.9999234400000001	0.9998724000000001	0.999362	0.996172
0.05	20raw	0.99	cheap_heuristic	0.0001	0.9999732800000001	0.9999732800000001	0.99983968	0.9997328	0.998664	0.9919840000000001
0.05	20raw	0.95	cheap_heuristic	0.0001	0.9999732800000001	0.9999732800000001	0.99983968	0.9997328	0.998664	0.9919840000000001
0.05	20raw	0.9	cheap_heuristic	0.0001	0.9999732800000001	0.9999732800000001	0.99983968	0.9997328	0.998664	0.9919840000000001
0.05	20raw+minmax	0.99	cheap_heuristic	0.0001	0.99997504	0.99997504	0.99985024	0.9997503999999999	0.998752	0.992512
0.05	20raw+minmax	0.95	cheap_heuristic	0.0001	0.99997504	0.99997504	0.99985024	0.9997503999999999	0.998752	0.992512
0.05	20raw+minmax	0.9	cheap_heuristic	0.0001	0.99997504	0.99997504	0.99985024	0.9997503999999999	0.998752	0.992512
0.05	20raw+stat	0.99	cheap_heuristic	0.0001	0.99996176	0.99996176	0.99977056	0.9996176	0.9980879999999999	0.988528
0.05	20raw+stat	0.95	cheap_heuristic	0.0001	0.99996176	0.99996176	0.99977056	0.9996176	0.9980879999999999	0.988528
0.05	20raw+stat	0.9	cheap_heuristic	0.0001	0.99996176	0.99996176	0.99977056	0.9996176	0.9980879999999999	0.988528
0.05	24full	0.99	cheap_heuristic	0.0001	0.99996984	0.99996984	0.99981904	0.9996984	0.9984919999999999	0.990952
0.05	24full	0.95	cheap_heuristic	0.0001	0.99996984	0.99996984	0.99981904	0.9996984	0.9984919999999999	0.990952
0.05	24full	0.9	cheap_heuristic	0.0001	0.99996984	0.99996984	0.99981904	0.9996984	0.9984919999999999	0.990952
