method	n_steps	zvf_min	zvf_max	zvf_mean	n_sat_band	C0_baseline_total_G	C0_baseline_n_fire	C0_baseline_select_rate	C0_baseline_headroom_bad	C0_baseline_sat_band_fired	C1_zvf_triage@0.70_total_G	C1_zvf_triage@0.70_n_fire	C1_zvf_triage@0.70_select_rate	C1_zvf_triage@0.70_headroom_bad	C1_zvf_triage@0.70_sat_band_fired	C2_dualformer@0.70_total_G	C2_dualformer@0.70_n_fire	C2_dualformer@0.70_select_rate	C2_dualformer@0.70_headroom_bad	C2_dualformer@0.70_sat_band_fired	C3_hybrid@0.70+0.20_total_G	C3_hybrid@0.70+0.20_n_fire	C3_hybrid@0.70+0.20_select_rate	C3_hybrid@0.70+0.20_headroom_bad	C3_hybrid@0.70+0.20_sat_band_fired	C0_baseline_savings	C1_zvf_triage@0.70_savings	C2_dualformer@0.70_savings	C3_hybrid@0.70+0.20_savings	C0_baseline_total_G_lo	C0_baseline_total_G_hi	C1_zvf_triage@0.70_total_G_lo	C1_zvf_triage@0.70_total_G_hi	C2_dualformer@0.70_total_G_lo	C2_dualformer@0.70_total_G_hi	C3_hybrid@0.70+0.20_total_G_lo	C3_hybrid@0.70+0.20_total_G_hi
aero	40	0.5625	0.9375	0.7203125	1	320	0	0.0	0	0	472	19	0.475	0	1	244	19	0.475	0	1	460	19	0.475	0	1	0.0	-0.475	0.2375	-0.4375	320.0	320.0	424.0	520.0	220.0	268.0	408.0	508.0
areal	40	0.5	0.9375	0.70625	1	320	0	0.0	0	0	456	17	0.425	0	1	252	17	0.425	0	1	444	17	0.425	0	1	0.0	-0.425	0.2125	-0.3875	320.0	320.0	408.0	504.0	228.0	276.0	396.0	496.0
gift	40	0.5625	1.0	0.7703125	8	320	0	0.0	0	0	528	26	0.65	1	8	216	26	0.65	1	8	432	26	0.65	1	8	0.0	-0.65	0.325	-0.35	320.0	320.0	480.0	576.0	196.0	240.0	372.0	488.0
grpo	40	0.5	0.9375	0.7203125	2	320	0	0.0	0	0	480	20	0.5	0	2	240	20	0.5	0	2	456	20	0.5	0	2	0.0	-0.5	0.25	-0.425	320.0	320.0	432.0	528.0	216.0	264.0	404.0	508.0
