metric	point	ci_lo	ci_hi
rho_v1_zvf	+0.4352	-0.1977	+0.1947
rho_v2_zvf	+0.3864	-0.1984	+0.2028
rho_v2tn_zvf	+0.3367	-0.1984	+0.1928
rho_v1_reward	+0.2536	-0.1990	+0.2015
rho_v2_reward	+0.3102	-0.1901	+0.2019
rho_v2tn_reward	+0.3251	-0.1971	+0.2001
H_bits_model_family	0.9988	0.9563	1.0000
H_bits_task_slice	1.5546	1.4600	1.5821
H_bits_G	2.3121	2.2178	2.3170
H_bits_temperature	0.9952	0.9403	1.0000
H_bits_seed	1.0000	0.9633	1.0000
