decile	n	pred_lo	pred_hi	mean_pred	obs_rate	calib_gap	n_pos	tree
1	1000	5.916953887208365e-05	0.0008699379395693541	0.0005545814638026059	0.0	0.0005545814638026059	0	XGB-20raw
2	1000	0.0008699611062183976	0.0014327999670058489	0.0011483392445370555	0.0	0.0011483392445370555	0	XGB-20raw
3	1000	0.0014329738914966583	0.002018251223489642	0.0017259718151763082	0.0	0.0017259718151763082	0	XGB-20raw
4	1000	0.002020507585257292	0.002684744307771325	0.0023465678095817566	0.0	0.0023465678095817566	0	XGB-20raw
5	1000	0.002684866776689887	0.0035290999803692102	0.0031021658796817064	0.0	0.0031021658796817064	0	XGB-20raw
6	1000	0.0035294455010443926	0.004659528844058514	0.004058521706610918	0.0	0.004058521706610918	0	XGB-20raw
7	1000	0.004659617319703102	0.006400921382009983	0.005458609201014042	0.0	0.005458609201014042	0	XGB-20raw
8	1000	0.006404446437954903	0.009091658517718315	0.007636698894202709	0.0	0.007636698894202709	0	XGB-20raw
9	1000	0.009091701358556747	0.0159455593675375	0.011866099201142788	0.001	0.010866099201142787	1	XGB-20raw
10	1000	0.01596440188586712	0.9958788156509399	0.10121858865022659	0.143	-0.041781411349773395	143	XGB-20raw
1	1000	9.339478856418282e-05	0.0008283585193566978	0.0005438575753942132	0.0	0.0005438575753942132	0	XGB-24full
2	1000	0.000829486467409879	0.0013603054685518146	0.0010951330186799169	0.0	0.0010951330186799169	0	XGB-24full
3	1000	0.0013607200235128403	0.0018955015111714602	0.0016298084519803524	0.0	0.0016298084519803524	0	XGB-24full
4	1000	0.0018955618143081665	0.002544480375945568	0.002220411552116275	0.0	0.002220411552116275	0	XGB-24full
5	1000	0.0025445374194532633	0.0033269927371293306	0.0029208301566541195	0.0	0.0029208301566541195	0	XGB-24full
6	1000	0.0033275035675615072	0.0044377027079463005	0.0038523157127201557	0.0	0.0038523157127201557	0	XGB-24full
7	1000	0.0044380356557667255	0.0060715745203197	0.005196344573050737	0.0	0.005196344573050737	0	XGB-24full
8	1000	0.006072426214814186	0.008844875730574131	0.007321873214095831	0.0	0.007321873214095831	0	XGB-24full
9	1000	0.008848019875586033	0.015496481209993362	0.011549225077033043	0.002	0.009549225077033043	2	XGB-24full
10	1000	0.015508605167269707	0.9887470602989197	0.1026337668299675	0.142	-0.03936623317003249	142	XGB-24full
1	1000	0.00027315880288369954	0.002551703481003642	0.0015601905761286616	0.0	0.0015601905761286616	0	XGB-4sensor
2	1000	0.0025520508643239737	0.004330897703766823	0.003422236070036888	0.0	0.003422236070036888	0	XGB-4sensor
3	1000	0.004331228323280811	0.006242761854082346	0.005299101583659649	0.0	0.005299101583659649	0	XGB-4sensor
4	1000	0.006243513431400061	0.00821837130934	0.007247559260576963	0.001	0.006247559260576963	1	XGB-4sensor
5	1000	0.008218437433242798	0.010274832136929035	0.009262287057936192	0.0	0.009262287057936192	0	XGB-4sensor
6	1000	0.010275408625602722	0.012811609543859959	0.011542429216206074	0.002	0.009542429216206074	2	XGB-4sensor
7	1000	0.012822427786886692	0.015957646071910858	0.014351093210279942	0.003	0.011351093210279942	3	XGB-4sensor
8	1000	0.015958067029714584	0.020415332168340683	0.018018299713730812	0.009	0.009018299713730813	9	XGB-4sensor
9	1000	0.020418351516127586	0.02891271375119686	0.02400926500558853	0.02	0.004009265005588531	20	XGB-4sensor
10	1000	0.028917402029037476	0.3671809136867523	0.049235694110393524	0.109	-0.059764305889606475	109	XGB-4sensor
