fset	seed	auc
20raw	42	0.997888
20raw	179	0.997354
20raw	316	0.997525
20raw	453	0.997715
20raw	590	0.997818
23_noVmax	42	0.998148
23_noVmax	179	0.998260
23_noVmax	316	0.998193
23_noVmax	453	0.997917
23_noVmax	590	0.998301
23_noVmean	42	0.998435
23_noVmean	179	0.998287
23_noVmean	316	0.998307
23_noVmean	453	0.998204
23_noVmean	590	0.998527
23_noVmin	42	0.998206
23_noVmin	179	0.998615
23_noVmin	316	0.998160
23_noVmin	453	0.998091
23_noVmin	590	0.998448
23_noVstd	42	0.998598
23_noVstd	179	0.998497
23_noVstd	316	0.998482
23_noVstd	453	0.998364
23_noVstd	590	0.998512
24full	42	0.998708
24full	179	0.998526
24full	316	0.998435
24full	453	0.998448
24full	590	0.998460
4sensor	42	0.965104
4sensor	179	0.959829
4sensor	316	0.958546
4sensor	453	0.958201
4sensor	590	0.963655
