tau	seed_i	seed_j	kappa	n_steps
0.3	42	179	0.0	15
0.3	42	316	0.0	15
0.3	42	453	0.0	15
0.3	42	590	-0.11940298507462688	15
0.3	179	316	1.0	15
0.3	179	453	1.0	15
0.3	179	590	0.0	15
0.3	316	453	1.0	15
0.3	316	590	0.0	15
0.3	453	590	0.0	15
0.4	42	179	-0.1250000000000002	15
0.4	42	316	0.4705882352941179	15
0.4	42	453	-0.1250000000000002	15
0.4	42	590	0.0	15
0.4	179	316	-0.09756097560975548	15
0.4	179	453	-0.07142857142857194	15
0.4	179	590	0.44444444444444453	15
0.4	316	453	-0.09756097560975548	15
0.4	316	590	-0.1904761904761905	15
0.4	453	590	-0.11111111111111137	15
0.5	42	179	-0.1250000000000002	15
0.5	42	316	0.4705882352941179	15
0.5	42	453	-0.1250000000000002	15
0.5	42	590	0.0	15
0.5	179	316	-0.09756097560975548	15
0.5	179	453	-0.07142857142857194	15
0.5	179	590	0.44444444444444453	15
0.5	316	453	-0.09756097560975548	15
0.5	316	590	-0.1904761904761905	15
0.5	453	590	-0.11111111111111137	15
0.55	42	179	-0.25000000000000006	15
0.55	42	316	-0.15384615384615377	15
0.55	42	453	0.0	15
0.55	42	590	0.0	15
0.55	179	316	0.0	15
0.55	179	453	-0.5000000000000001	15
0.55	179	590	0.7000000000000001	15
0.55	316	453	0.0	15
0.55	316	590	0.0	15
0.55	453	590	-0.5000000000000001	15
0.6	42	179	-0.25000000000000006	15
0.6	42	316	-0.15384615384615377	15
0.6	42	453	0.0	15
0.6	42	590	0.0	15
0.6	179	316	0.0	15
0.6	179	453	-0.5000000000000001	15
0.6	179	590	0.7000000000000001	15
0.6	316	453	0.0	15
0.6	316	590	0.0	15
0.6	453	590	-0.5000000000000001	15
0.65	42	179	-0.21621621621621667	15
0.65	42	316	-0.21621621621621667	15
0.65	42	453	-0.25000000000000006	15
0.65	42	590	0.11764705882352929	15
0.65	179	316	0.3181818181818178	15
0.65	179	453	0.11764705882352942	15
0.65	179	590	-0.105263157894737	15
0.65	316	453	-0.17647058823529402	15
0.65	316	590	-0.105263157894737	15
0.65	453	590	0.0	15
0.7	42	179	-0.21621621621621667	15
0.7	42	316	-0.21621621621621667	15
0.7	42	453	-0.25000000000000006	15
0.7	42	590	0.11764705882352929	15
0.7	179	316	0.3181818181818178	15
0.7	179	453	0.11764705882352942	15
0.7	179	590	-0.105263157894737	15
0.7	316	453	-0.17647058823529402	15
0.7	316	590	-0.105263157894737	15
0.7	453	590	0.0	15
0.75	42	179	-0.21621621621621667	15
0.75	42	316	-0.21621621621621667	15
0.75	42	453	-0.25000000000000006	15
0.75	42	590	0.11764705882352929	15
0.75	179	316	0.3181818181818178	15
0.75	179	453	0.11764705882352942	15
0.75	179	590	-0.105263157894737	15
0.75	316	453	-0.17647058823529402	15
0.75	316	590	-0.105263157894737	15
0.75	453	590	0.0	15
0.8	42	179	1.0	15
0.8	42	316	1.0	15
0.8	42	453	0.0	15
0.8	42	590	0.0	15
0.8	179	316	1.0	15
0.8	179	453	0.0	15
0.8	179	590	0.0	15
0.8	316	453	0.0	15
0.8	316	590	0.0	15
0.8	453	590	-0.09756097560975548	15
0.85	42	179	1.0	15
0.85	42	316	1.0	15
0.85	42	453	0.0	15
0.85	42	590	0.0	15
0.85	179	316	1.0	15
0.85	179	453	0.0	15
0.85	179	590	0.0	15
0.85	316	453	0.0	15
0.85	316	590	0.0	15
0.85	453	590	-0.09756097560975548	15
0.9	42	179	1.0	15
0.9	42	316	1.0	15
0.9	42	453	1.0	15
0.9	42	590	1.0	15
0.9	179	316	1.0	15
0.9	179	453	1.0	15
0.9	179	590	1.0	15
0.9	316	453	1.0	15
0.9	316	590	1.0	15
0.9	453	590	1.0	15
