metric	baseline	variant	n_steps	grpo_mean	variant_mean	paired_delta	ci_lo	ci_hi	ci_excludes_0
reward_mean	grpo	aero	10	0.8609	0.8469	0.0141	0.0	0.0391	no
reward_mean	grpo	gift	10	0.8609	0.8773	-0.0164	-0.0625	0.0469	no
reward_mean	grpo	areal	10	0.8609	0.8414	0.0195	-0.0078	0.0547	no
zvf	grpo	aero	10	0.775	0.75	0.025	-0.0625	0.125	no
zvf	grpo	gift	10	0.775	0.9	-0.125	-0.25	0.0	no
zvf	grpo	areal	10	0.775	0.7188	0.0563	-0.125	0.1875	no
loss	grpo	aero	10	233.7478	290.3036	-56.5558	-573.6637	219.4266	no
loss	grpo	gift	10	233.7478	-16488.6611	16722.4088	14911.7804	19371.8303	yes
loss	grpo	areal	10	233.7478	349.9005	-116.1528	-399.8169	82.7854	no
mean_len	grpo	aero	10	319.6109	350.6883	-31.0773	-41.1172	-23.4297	yes
mean_len	grpo	gift	10	319.6109	315.7219	3.8891	-18.75	23.2188	no
mean_len	grpo	areal	10	319.6109	349.7367	-30.1258	-41.1016	-16.25	yes
cv_len	grpo	aero	10	0.3253	0.2909	0.0344	0.0144	0.0685	yes
cv_len	grpo	gift	10	0.3253	0.3272	-0.002	-0.0397	0.024	no
cv_len	grpo	areal	10	0.3253	0.287	0.0383	0.0189	0.0622	yes
frac_all_zero	grpo	aero	10	0.05	0.0563	-0.0063	-0.0625	0.0625	no
frac_all_zero	grpo	gift	10	0.05	0.075	-0.025	-0.0625	0.0	no
frac_all_zero	grpo	areal	10	0.05	0.0625	-0.0125	-0.0625	0.0625	no
frac_all_one	grpo	aero	10	0.725	0.6937	0.0312	-0.0625	0.125	no
frac_all_one	grpo	gift	10	0.725	0.825	-0.1	-0.25	0.0	no
frac_all_one	grpo	areal	10	0.725	0.6562	0.0688	-0.0625	0.25	no
pcd	grpo	aero	10	0.0369	0.0398	-0.0029	-0.0225	0.0117	no
pcd	grpo	gift	10	0.0369	0.0185	0.0185	-0.002	0.04	no
pcd	grpo	areal	10	0.0369	0.0442	-0.0073	-0.0205	0.0186	no
larq	grpo	aero	10	0.9348	0.9266	0.0082	-0.0215	0.0391	no
larq	grpo	gift	10	0.9348	0.9143	0.0205	-0.0508	0.082	no
larq	grpo	areal	10	0.9348	0.9299	0.0049	-0.0312	0.0605	no
