method	n_steps	reward_mean	ci_lo	ci_hi	p95_len_step
grpo	40	0.8342	0.8111	0.8562	0.9453
aero	40	0.8275	0.8037	0.8510	0.9375
gift	40	0.8447	0.8203	0.8680	0.9375
areal	40	0.8287	0.8057	0.8516	0.9297
