metric	n_rows	eta2_algo_point	eta2_algo_lo	eta2_algo_mean	eta2_algo_hi	n_boot	ub_le_0.05	ub_le_0.10
zvf	160	0.04541793605770902	0.014474777119441772	0.05335607440770395	0.11268409635803174	4000	False	False
pcd	160	0.03572866785763276	0.015291750907217329	0.04142526566608919	0.08067467052492455	4000	False	True
larq	160	0.0010174820181174974	0.0003117399233018627	0.004236660450244453	0.013583559409956947	4000	True	True
reward_mean	160	0.007466416551996499	0.0018854605547299155	0.009828944256653935	0.024371608072809553	4000	True	True
mean_len	160	0.06313701282522301	0.03326172288407082	0.06846918924588295	0.1264348926736578	4000	False	False
cv_len	160	0.04574599939395856	0.023524653045248686	0.050047058375935635	0.09136735613635265	4000	False	True
loss	160	0.9866514165545305	0.982764003494808	0.9869498061172496	0.9908356875391712	4000	False	False
