controller	tau	n_fires	fires_per_method	restored	extra	rpk_real	rpk_boot_mean	rpk_boot_lo	rpk_boot_hi	Δvs_zvf_0.5_mean	Δvs_zvf_0.5_lo	Δvs_zvf_0.5_hi	ci_excludes_zero
zvf_triage@0.5	0.5	2560	640.0	1845.17	20480	90.0961	90.0938	89.4021	90.7731	+0.0000	+0.0000	+0.0000	INCLUDES_0
zvf_triage@0.7	0.7	1312	328.0	909.78	10496	86.6786	86.6730	86.0733	87.2572	+3.4209	+2.7781	+4.1283	EXCLUDES_0
zvf_triage@0.9	0.9	192	48.0	126.33	1536	82.2456	82.2428	81.7325	82.6146	+7.8511	+7.0653	+8.6783	EXCLUDES_0
dualformer	-	2154	538.5	1447.44	17232	83.9970	83.9930	83.5530	84.4473	+6.1009	+5.4957	+6.7128	EXCLUDES_0
bayes@0.6	0.6	1867	466.8	1194.88	14936	79.9999	79.9999	79.9999	79.9999	+10.0939	+9.4022	+10.7732	EXCLUDES_0
bayes@0.65	0.65	0	0.0	0.00	0	0.0000	0.0000	0.0000	0.0000	+90.0938	+89.4021	+90.7731	EXCLUDES_0
