method,controller,pct_abs_point,pct_abs_ci95_lo,pct_abs_ci95_hi,costeff_ratio_point,costeff_ratio_ci95_lo,costeff_ratio_ci95_hi,B,seed
aero,C0_fixed_G8,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,20260705.0
aero,C1_zvf_triage,86.30661255475152,64.48223980545718,108.8046666592848,0.12704674052056353,0.09378783394445614,0.16220135535947072,2000.0,20260705.0
aero,C2_dualformer,-286.3602920741077,-350.7008056436003,-220.0932297837099,-3.3722692290306107,-5.596325963099586,-2.0314695908958194,2000.0,20260705.0
aero,C3_hybrid,86.0230815503497,64.72870227691422,108.14653715494661,0.13366433678396353,0.09792525309585659,0.1716210362833108,2000.0,20260705.0
aero,C5_isog_y090,252.43217120334677,225.83534337521561,276.59005627831164,0.7658535363626962,0.7146550413536665,0.8218992363264078,2000.0,20260705.0
areal,C0_fixed_G8,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,20260705.0
areal,C1_zvf_triage,65.1616094235335,46.34560011970533,84.87013242658813,0.11259542804801746,0.0791300347367351,0.15002117484209784,2000.0,20260705.0
areal,C2_dualformer,-365.779604233644,-417.5627696737269,-308.51773167780465,-5.056365117347433,-7.993445891417463,-3.316446516988385,2000.0,20260705.0
areal,C3_hybrid,64.18906593242146,45.15109969620439,83.60291240315614,0.11784711323530503,0.08283905756999972,0.15560905988599957,2000.0,20260705.0
areal,C5_isog_y090,270.3863530982652,244.92027591219713,290.4981145755322,0.7139414941358687,0.6714414251980371,0.7623163003299946,2000.0,20260705.0
gift,C0_fixed_G8,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,20260705.0
gift,C1_zvf_triage,94.32793904865326,69.92433559601474,118.67151459899246,0.08333057115475981,0.059959086799372785,0.1083632677139856,2000.0,20260705.0
gift,C2_dualformer,-292.37651586842793,-362.4434600290677,-216.6692858252856,-3.357761549426477,-5.906049099829831,-1.9016982832001663,2000.0,20260705.0
gift,C3_hybrid,82.6326007719274,58.606027059802926,106.52927039154861,0.10544264161001152,0.07325012828723887,0.13767886248979272,2000.0,20260705.0
gift,C5_isog_y090,260.5661586858424,231.0989132531301,285.2725747784802,0.739444504378742,0.6869490217985613,0.7978513468016295,2000.0,20260705.0
grpo,C0_fixed_G8,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,20260705.0
grpo,C1_zvf_triage,93.6424316029696,71.88163718566307,115.7258545383857,0.13095308794477778,0.0974300791212974,0.1637806048490329,2000.0,20260705.0
grpo,C2_dualformer,-314.2988221535135,-377.1413403335455,-247.83651280058208,-3.516218072842433,-5.748337478045345,-2.193060364689607,2000.0,20260705.0
grpo,C3_hybrid,92.53789568846166,71.31242553356431,115.3044800603936,0.14378718166870344,0.11012971853380885,0.18191509750837787,2000.0,20260705.0
grpo,C5_isog_y090,262.13834025355493,237.69256950567214,284.51734448673284,0.7207797681318945,0.6755940601218176,0.769161405219242,2000.0,20260705.0
