method	step	reward_mean	boot_mean	ci_lo	ci_hi	ci_half_width	stable_025	stable_050	stable_100
areal	39	0.7969	0.812234375	0.7421875	0.8828125	0.0703125	0	0	1
gift	0	0.8203	0.80467578125	0.734375	0.8671875	0.06640625	0	0	1
gift	1	0.8047	0.75933984375	0.6796875	0.828125	0.07421875	0	0	1
gift	2	0.8516	0.92244140625	0.875	0.9611328124999989	0.04306640624999947	0	1	1
gift	3	0.7578	0.734046875	0.6484375	0.8125	0.08203125	0	0	1
gift	4	0.8672	0.859375	0.796875	0.921875	0.0625	0	0	1
gift	5	0.625	0.6097265625	0.5234375	0.6953125	0.0859375	0	0	1
gift	6	0.7891	0.75663671875	0.6796875	0.828125	0.07421875	0	0	1
gift	7	0.7266	0.7347265625	0.65625	0.8046875	0.07421875	0	0	1
gift	8	0.7109	0.7116640625	0.6328125	0.7890625	0.078125	0	0	1
gift	9	0.8828	0.85981640625	0.796875	0.9140625	0.05859375	0	0	1
gift	10	0.8828	0.8353671875	0.765625	0.8984375	0.06640625	0	0	1
gift	11	0.7578	0.77352734375	0.6953125	0.84375	0.07421875	0	0	1
gift	12	0.9375	0.9301484375	0.8828125	0.96875	0.04296875	0	1	1
gift	13	0.7109	0.75803515625	0.6796875	0.8359375	0.078125	0	0	1
gift	14	0.9375	0.898421875	0.84375	0.9453125	0.05078125	0	0	1
gift	15	0.8438	0.905828125	0.8515625	0.953125	0.05078125	0	0	1
gift	16	0.7422	0.74254296875	0.6640625	0.8125	0.07421875	0	0	1
gift	17	0.8125	0.8438515625	0.7734375	0.90625	0.06640625	0	0	1
gift	18	0.7031	0.6791796875	0.6015625	0.7578125	0.078125	0	0	1
gift	19	0.8438	0.8603984375	0.796875	0.9140625	0.05859375	0	0	1
gift	20	0.8281	0.8588671875	0.796875	0.9140625	0.05859375	0	0	1
gift	21	0.8672	0.88311328125	0.828125	0.9375	0.0546875	0	0	1
gift	22	0.8906	0.8435703125	0.7734375	0.90625	0.06640625	0	0	1
gift	23	0.8906	0.897171875	0.84375	0.9453125	0.05078125	0	0	1
gift	24	0.9375	0.94456640625	0.90625	0.9765625	0.03515625	0	1	1
gift	25	0.8516	0.87513671875	0.8201171875	0.9296875	0.05478515625000002	0	0	1
gift	26	0.8984	0.91304296875	0.859375	0.9609375	0.05078125	0	0	1
gift	27	0.9531	0.98424609375	0.9609375	1.0	0.01953125	1	1	1
gift	28	0.9297	0.960578125	0.921875	0.9921875	0.03515625	0	1	1
gift	29	0.9609	0.94551953125	0.90625	0.984375	0.0390625	0	1	1
gift	30	0.9219	0.9296640625	0.8828125	0.96875	0.04296875	0	1	1
gift	31	0.9297	0.90556640625	0.8515625	0.953125	0.05078125	0	0	1
gift	32	0.8438	0.8432109375	0.7734375	0.90625	0.06640625	0	0	1
gift	33	0.9297	0.94556640625	0.8984375	0.984375	0.04296875	0	1	1
gift	34	0.9375	0.945609375	0.90625	0.984375	0.0390625	0	1	1
gift	35	0.8203	0.819515625	0.75	0.890625	0.0703125	0	0	1
gift	36	0.9062	0.89089453125	0.8359375	0.9375	0.05078125	0	0	1
gift	37	0.7812	0.7733984375	0.703125	0.84375	0.0703125	0	0	1
gift	38	0.8359	0.867546875	0.8046875	0.921875	0.05859375	0	0	1
gift	39	0.8672	0.85944140625	0.796875	0.9140625	0.05859375	0	0	1
grpo	0	0.8125	0.78176171875	0.703125	0.8515625	0.07421875	0	0	1
grpo	1	0.8203	0.82842578125	0.7578125	0.890625	0.06640625	0	0	1
grpo	2	0.8281	0.835734375	0.7734375	0.8984375	0.0625	0	0	1
grpo	3	0.7969	0.7811875	0.703125	0.8515625	0.07421875	0	0	1
grpo	4	0.8047	0.75775	0.6875	0.828125	0.0703125	0	0	1
grpo	5	0.6875	0.64134765625	0.5546875	0.71875	0.08203125	0	0	1
grpo	6	0.7969	0.8743203125	0.8125	0.9296875	0.05859375	0	0	1
grpo	7	0.7109	0.711875	0.6328125	0.7890625	0.078125	0	0	1
grpo	8	0.7266	0.69695703125	0.6171875	0.7734375	0.078125	0	0	1
grpo	9	0.8828	0.91416796875	0.8671875	0.9609375	0.046875	0	1	1
grpo	10	0.8828	0.88255859375	0.828125	0.9375	0.0546875	0	0	1
grpo	11	0.7188	0.71825	0.640625	0.796875	0.078125	0	0	1
grpo	12	0.9453	0.9531875	0.9140625	0.984375	0.03515625	0	1	1
grpo	13	0.7422	0.78000390625	0.7109375	0.8515625	0.0703125	0	0	1
grpo	14	0.875	0.84373828125	0.78125	0.8984375	0.05859375	0	0	1
grpo	15	0.8516	0.82778515625	0.7578125	0.890625	0.06640625	0	0	1
grpo	16	0.7344	0.70293359375	0.625	0.78125	0.078125	0	0	1
grpo	17	0.8438	0.91330078125	0.859375	0.9609375	0.05078125	0	0	1
grpo	18	0.6484	0.6645625	0.5857421875	0.7421875	0.07822265625000002	0	0	1
grpo	19	0.7812	0.796203125	0.7265625	0.859375	0.06640625	0	0	1
grpo	20	0.8281	0.92229296875	0.875	0.96875	0.046875	0	1	1
grpo	21	0.8594	0.92184375	0.875	0.96875	0.046875	0	1	1
grpo	22	0.8828	0.85895703125	0.796875	0.9140625	0.05859375	0	0	1
grpo	23	0.8828	0.85120703125	0.7890625	0.90625	0.05859375	0	0	1
grpo	24	0.9297	0.91512109375	0.8671875	0.9609375	0.046875	0	1	1
grpo	25	0.7891	0.8107421875	0.7421875	0.875	0.06640625	0	0	1
grpo	26	0.875	0.81167578125	0.7421875	0.875	0.06640625	0	0	1
grpo	27	0.9688	0.9688359375	0.9375	0.9921875	0.02734375	0	1	1
grpo	28	0.8984	0.92952734375	0.8828125	0.96875	0.04296875	0	1	1
grpo	29	0.9531	0.9383125	0.8984375	0.9765625	0.0390625	0	1	1
grpo	30	0.9375	0.9605078125	0.921875	0.9921875	0.03515625	0	1	1
grpo	31	0.9141	0.9061328125	0.8515625	0.953125	0.05078125	0	0	1
grpo	32	0.8906	0.87494140625	0.8125	0.9296875	0.05859375	0	0	1
grpo	33	0.875	0.883484375	0.8203125	0.9375	0.05859375	0	0	1
grpo	34	0.8984	0.88960546875	0.8359375	0.9453125	0.0546875	0	0	1
grpo	35	0.8594	0.85978515625	0.796875	0.9140625	0.05859375	0	0	1
grpo	36	0.8984	0.92221484375	0.8671875	0.96875	0.05078125	0	0	1
grpo	37	0.7266	0.749015625	0.671875	0.8203125	0.07421875	0	0	1
grpo	38	0.8047	0.82723046875	0.7578125	0.890625	0.06640625	0	0	1
grpo	39	0.8047	0.8194921875	0.75	0.8828125	0.06640625	0	0	1
