cohort	cohort_label	stratum	tree	n_stratum	pos_stratum	mean_pred	obs_rate	calib_gap	ece10	brier	recall_at_K_2pct
v_mean	V_mean quintile	0	XGB-20raw	2000	16	0.07726	0.008	0.06926	0.06977	0.01556	0.6875
v_mean	V_mean quintile	1	XGB-20raw	2000	34	0.11464	0.017	0.09764	0.09872	0.02706	0.70588
v_mean	V_mean quintile	2	XGB-20raw	2000	30	0.12941	0.015	0.11441	0.11488	0.03348	0.46667
v_mean	V_mean quintile	3	XGB-20raw	2000	43	0.13156	0.0215	0.11006	0.11023	0.03295	0.51163
v_mean	V_mean quintile	4	XGB-20raw	2000	21	0.10261	0.0105	0.09211	0.09371	0.01922	0.95238
v_mean	V_mean quintile	0	XGB-24full	2000	16	0.0802	0.008	0.0722	0.0722	0.01418	1.0
v_mean	V_mean quintile	1	XGB-24full	2000	34	0.13432	0.017	0.11732	0.11799	0.03073	0.91176
v_mean	V_mean quintile	2	XGB-24full	2000	30	0.17167	0.015	0.15667	0.15667	0.04714	0.83333
v_mean	V_mean quintile	3	XGB-24full	2000	43	0.17095	0.0215	0.14945	0.15036	0.04342	0.7907
v_mean	V_mean quintile	4	XGB-24full	2000	21	0.09936	0.0105	0.08886	0.08941	0.02026	1.0
amount	Amount quintile	0	XGB-20raw	2000	27	0.18977	0.0135	0.17627	0.17643	0.05426	0.51852
amount	Amount quintile	1	XGB-20raw	2000	34	0.13377	0.017	0.11677	0.11778	0.0296	0.67647
amount	Amount quintile	2	XGB-20raw	2000	22	0.10284	0.011	0.09184	0.09248	0.02207	0.59091
amount	Amount quintile	3	XGB-20raw	2000	30	0.07672	0.015	0.06172	0.06314	0.01418	0.83333
amount	Amount quintile	4	XGB-20raw	2000	31	0.05237	0.0155	0.03687	0.0421	0.00817	0.93548
amount	Amount quintile	0	XGB-24full	2000	27	0.16593	0.0135	0.15243	0.15258	0.04397	0.92593
amount	Amount quintile	1	XGB-24full	2000	34	0.15219	0.017	0.13519	0.13595	0.03673	0.85294
amount	Amount quintile	2	XGB-24full	2000	22	0.13048	0.011	0.11948	0.11948	0.03167	0.95455
amount	Amount quintile	3	XGB-24full	2000	30	0.11795	0.015	0.10295	0.10295	0.02634	0.96667
amount	Amount quintile	4	XGB-24full	2000	31	0.08995	0.0155	0.07445	0.07528	0.01702	1.0
time	Time tertile	0	XGB-20raw	3333	51	0.14414	0.0153	0.12884	0.12901	0.03799	0.58824
time	Time tertile	1	XGB-20raw	3333	44	0.10933	0.0132	0.09613	0.09637	0.02377	0.70455
time	Time tertile	2	XGB-20raw	3334	49	0.07983	0.0147	0.06513	0.06663	0.01521	0.77551
time	Time tertile	0	XGB-24full	3333	51	0.14835	0.0153	0.13305	0.13305	0.03752	0.88235
time	Time tertile	1	XGB-24full	3333	44	0.13219	0.0132	0.11899	0.11907	0.03045	0.95455
time	Time tertile	2	XGB-24full	3334	49	0.11337	0.0147	0.09867	0.09895	0.02547	0.97959
