stat	quartile	tier	cost_llm_per_call	n_test_q	n_pos_q	xgb_caught_q	n_llm_q	cpd_xgb	cpd_grad	cppr_xgb	cppr_grad	acd	sweet_spot_price
V_std	3	mid_tier	0.005	2500	36	18	15	0.0001	0.0001294	0.013888888888888888	0.017972222222222223	1.294	0.00012000000000000002
V_std	3	frontier_gpt4	0.03	2500	36	18	15	0.0001	0.0002794	0.013888888888888888	0.03880555555555556	2.794	0.00012000000000000002
V_max	0	cheap_heuristic	0.0001	2500	35	8	30	0.0001	0.0001	0.03125	0.03125	1.0	2.6666666666666667e-05
V_max	0	small_open	0.0006	2500	35	8	30	0.0001	0.000106	0.03125	0.033125	1.06	2.6666666666666667e-05
V_max	0	iter120_default	0.001	2500	35	8	30	0.0001	0.00011080000000000001	0.03125	0.034625	1.108	2.6666666666666667e-05
V_max	0	mid_tier	0.005	2500	35	8	30	0.0001	0.0001588	0.03125	0.049625	1.588	2.6666666666666667e-05
V_max	0	frontier_gpt4	0.03	2500	35	8	30	0.0001	0.0004588	0.03125	0.143375	4.587999999999999	2.6666666666666667e-05
V_max	1	cheap_heuristic	0.0001	2500	40	16	18	0.0001	0.0001	0.015625	0.015625	1.0	8.888888888888889e-05
V_max	1	small_open	0.0006	2500	40	16	18	0.0001	0.0001036	0.015625	0.0161875	1.036	8.888888888888889e-05
V_max	1	iter120_default	0.001	2500	40	16	18	0.0001	0.00010648	0.015625	0.0166375	1.0648	8.888888888888889e-05
V_max	1	mid_tier	0.005	2500	40	16	18	0.0001	0.00013528	0.015625	0.0211375	1.3527999999999998	8.888888888888889e-05
V_max	1	frontier_gpt4	0.03	2500	40	16	18	0.0001	0.00031528000000000003	0.015625	0.0492625	3.1528	8.888888888888889e-05
V_max	2	cheap_heuristic	0.0001	2500	30	14	18	0.0001	0.0001	0.017857142857142856	0.017857142857142856	1.0	7.777777777777778e-05
V_max	2	small_open	0.0006	2500	30	14	18	0.0001	0.0001036	0.017857142857142856	0.0185	1.036	7.777777777777778e-05
V_max	2	iter120_default	0.001	2500	30	14	18	0.0001	0.00010648	0.017857142857142856	0.019014285714285713	1.0648	7.777777777777778e-05
V_max	2	mid_tier	0.005	2500	30	14	18	0.0001	0.00013528	0.017857142857142856	0.024157142857142856	1.3527999999999998	7.777777777777778e-05
V_max	2	frontier_gpt4	0.03	2500	30	14	18	0.0001	0.00031528000000000003	0.017857142857142856	0.0563	3.1528	7.777777777777778e-05
V_max	3	cheap_heuristic	0.0001	2500	39	14	18	0.0001	0.0001	0.017857142857142856	0.017857142857142856	1.0	7.777777777777778e-05
V_max	3	small_open	0.0006	2500	39	14	18	0.0001	0.0001036	0.017857142857142856	0.0185	1.036	7.777777777777778e-05
V_max	3	iter120_default	0.001	2500	39	14	18	0.0001	0.00010648	0.017857142857142856	0.019014285714285713	1.0648	7.777777777777778e-05
V_max	3	mid_tier	0.005	2500	39	14	18	0.0001	0.00013528	0.017857142857142856	0.024157142857142856	1.3527999999999998	7.777777777777778e-05
V_max	3	frontier_gpt4	0.03	2500	39	14	18	0.0001	0.00031528000000000003	0.017857142857142856	0.0563	3.1528	7.777777777777778e-05
V_min	0	cheap_heuristic	0.0001	2500	31	16	14	0.0001	0.0001	0.015625	0.015625	1.0	0.0001142857142857143
V_min	0	small_open	0.0006	2500	31	16	14	0.0001	0.0001028	0.015625	0.0160625	1.028	0.0001142857142857143
V_min	0	iter120_default	0.001	2500	31	16	14	0.0001	0.00010504	0.015625	0.0164125	1.0504	0.0001142857142857143
V_min	0	mid_tier	0.005	2500	31	16	14	0.0001	0.00012743999999999999	0.015625	0.0199125	1.2743999999999998	0.0001142857142857143
V_min	0	frontier_gpt4	0.03	2500	31	16	14	0.0001	0.00026744	0.015625	0.0417875	2.6743999999999994	0.0001142857142857143
V_min	1	cheap_heuristic	0.0001	2500	38	16	26	0.0001	0.0001	0.015625	0.015625	1.0	6.153846153846154e-05
V_min	1	small_open	0.0006	2500	38	16	26	0.0001	0.00010520000000000001	0.015625	0.0164375	1.052	6.153846153846154e-05
