item	n_entries	n_entries_with_any_sub_pop	pop_rate_at_least_one	n_total_subfields
telemetry	20	18	0.9	3
heldout_split	20	20	1.0	2
decontamination	20	4	0.2	2
loss_form	20	13	0.65	6
sampler_backend	20	20	1.0	4
group_size_schedule	20	15	0.75	3
reference_kl	20	15	0.75	3
