K_pct	model_a	model_b	recall_a	recall_b	f1_a	f1_b	delta_recall	ci_lo	ci_hi	ci_excludes_zero	winner
0.05	24full	20raw	0.03496360499545667	0.03451789094626563	0.06754836162742972	0.06668915974482527	0.00044571404919103855	0.0	0.006857938306888727	no	TIE
0.05	20raw	4sensor	0.034508722264108546	0.014799410527207036	0.06668439193721368	0.028600177656333825	0.01970931173690152	0.0	0.03496503496503497	no	TIE
0.05	24full	4sensor	0.03496360499545667	0.01552455965084494	0.06754836162742972	0.030002051942152875	0.01943904534461173	0.006095724360858065	0.03451354679802953	YES	24full
0.1	24full	20raw	0.07002977734115161	0.06469117305352698	0.1308354630143947	0.1208812950424705	0.005338604287624607	0.0	0.022239185750636114	no	TIE
0.1	20raw	4sensor	0.06404652357274661	0.0263499266208386	0.11977448684391727	0.049278257263510226	0.03769659695190801	0.015261436032830165	0.06015264063773892	YES	20raw
0.1	24full	4sensor	0.07002977734115161	0.02721932956548552	0.1308354630143947	0.05087512527276873	0.04281044777566608	0.019221698113207543	0.06668067226890755	YES	24full
0.25	24full	20raw	0.16462612081860853	0.15290324472048478	0.2801158795322579	0.2601245646682998	0.01172287609812372	-0.014186930091185403	0.03848425196850392	no	TIE
0.25	20raw	4sensor	0.15399945786368893	0.06482370267619983	0.262131381014473	0.1104136247202413	0.08917575518748913	0.04515405293631102	0.13669218471376746	YES	20raw
0.25	24full	4sensor	0.16462612081860853	0.06505640003870018	0.2801158795322579	0.11074874916979863	0.09956972077990833	0.061636482057315735	0.14732365942725348	YES	24full
0.5	24full	20raw	0.30777157998003596	0.3091112479800021	0.45646189476631266	0.45846529871664904	-0.0013396679999661272	-0.023827782646801077	0.022749642090193287	no	TIE
0.5	20raw	4sensor	0.3089683214405719	0.09374590284202036	0.45830877697812783	0.13918140500622958	0.21522241859855157	0.15788676236044658	0.284488745210728	YES	20raw
0.5	24full	4sensor	0.30777157998003596	0.09317372436717357	0.45646189476631266	0.13833016332984688	0.21459785561286238	0.15707231040564373	0.2774749932414165	YES	24full
1.0	24full	20raw	0.49599292014911023	0.47226440067351966	0.5824415911237132	0.5548879141125834	0.023728519475590557	-0.026859428151144688	0.07407407407407407	no	TIE
1.0	20raw	4sensor	0.47120097088516744	0.13081381431259173	0.5541641574282629	0.15397590855730348	0.3403871565725757	0.25685200216450216	0.42955583519761376	YES	20raw
1.0	24full	4sensor	0.49599292014911023	0.13050555446968404	0.5824415911237132	0.15343986146336852	0.3654873656794262	0.28239387451126424	0.45389705882352943	YES	24full
2.0	24full	20raw	0.7378269691682778	0.6618846453864363	0.6153764353240522	0.552003951038194	0.07594232378184153	0.03308476821192048	0.1212393721386527	YES	24full
2.0	20raw	4sensor	0.6620977349620741	0.2189181219576767	0.5535092516332292	0.18298618599594663	0.44317961300439745	0.34450101208366557	0.5275136108184052	YES	20raw
2.0	24full	4sensor	0.7378269691682778	0.22382226448950995	0.6153764353240522	0.1867708600544846	0.5140047046787679	0.43496335318369217	0.6045231519567517	YES	24full
5.0	24full	20raw	0.9486267277491287	0.8763708354252422	0.42541950702790876	0.3929444555420153	0.07225589232388646	0.03355145413870252	0.11814470720720704	YES	24full
5.0	20raw	4sensor	0.8741314176885482	0.44220017151167773	0.3888142431934752	0.19665502389491857	0.43193124617687045	0.33333333333333337	0.5352638217363884	YES	20raw
5.0	24full	4sensor	0.9486267277491287	0.44253265352288407	0.42541950702790876	0.19835897090967083	0.5060940742262446	0.4192876344086022	0.5817220801364023	YES	24full
