method	trigger	threshold	fires	saved	missed	saved_per_fire	savings_per_rollout_pt	savings_per_rollout_lo	savings_per_rollout_hi	cost_ratio_pt
grpo	zvf_triage	0.5000	40	51	0	1.2750	4.980469	3.906250	6.054688	2.0000
grpo	zvf_triage	0.6000	34	39	12	1.1471	4.117399	2.832031	4.882812	1.8500
grpo	zvf_triage	0.7000	20	16	35	0.8000	2.083333	0.878906	2.343750	1.5000
grpo	zvf_triage	0.8000	12	8	43	0.6667	1.201923	0.292969	1.367188	1.3000
grpo	zvf_triage	0.9000	2	1	50	0.5000	0.186012	0.000000	0.292969	1.0500
grpo	yobs_triage	0.1250	4	3	48	0.7500	0.532670	0.000000	0.683594	1.1000
grpo	yobs_triage	0.1500	4	3	48	0.7500	0.532670	0.000000	0.683594	1.1000
grpo	yobs_triage	0.2000	12	8	43	0.6667	1.201923	0.292969	1.367188	1.3000
grpo	yobs_triage	0.2500	20	16	35	0.8000	2.083333	0.878906	2.343750	1.5000
grpo	yobs_triage	0.3000	20	16	35	0.8000	2.083333	0.878906	2.343750	1.5000
grpo	ddiv_triage	0.0300	32	42	9	1.3125	4.557292	3.027344	5.273438	1.8000
grpo	ddiv_triage	0.0400	27	34	17	1.2593	3.964552	2.148438	4.492188	1.6750
grpo	ddiv_triage	0.0500	18	25	26	1.3889	3.367457	1.367188	3.515625	1.4500
grpo	ddiv_triage	0.0600	11	13	38	1.1818	1.991422	0.488281	2.148438	1.2750
grpo	ddiv_triage	0.0700	10	13	38	1.3000	2.031250	0.488281	2.148438	1.2500
aero	zvf_triage	0.5000	40	46	0	1.1500	4.492188	3.222656	5.859375	2.0000
aero	zvf_triage	0.6000	35	34	12	0.9714	3.541667	2.148438	4.589844	1.8750
aero	zvf_triage	0.7000	19	18	28	0.9474	2.383475	0.878906	2.832031	1.4750
aero	zvf_triage	0.8000	14	10	36	0.7143	1.446759	0.292969	1.660156	1.3500
aero	zvf_triage	0.9000	1	0	46	0.0000	0.000000	0.000000	0.000000	1.0250
aero	yobs_triage	0.1250	4	3	43	0.7500	0.532670	0.000000	0.781250	1.1000
aero	yobs_triage	0.1500	4	3	43	0.7500	0.532670	0.000000	0.781250	1.1000
aero	yobs_triage	0.2000	14	10	36	0.7143	1.446759	0.292969	1.660156	1.3500
aero	yobs_triage	0.2500	19	18	28	0.9474	2.383475	0.781250	2.832031	1.4750
aero	yobs_triage	0.3000	19	18	28	0.9474	2.383475	0.781250	2.832031	1.4750
aero	ddiv_triage	0.0300	28	33	13	1.1786	3.791360	1.953125	4.687500	1.7000
aero	ddiv_triage	0.0400	24	25	21	1.0417	3.051758	1.269531	3.808594	1.6000
aero	ddiv_triage	0.0500	16	13	33	0.8125	1.813616	0.390625	2.148438	1.4000
aero	ddiv_triage	0.0600	11	4	42	0.3636	0.612745	0.000000	1.074219	1.2750
aero	ddiv_triage	0.0700	5	4	42	0.8000	0.694444	0.000000	1.074219	1.1250
areal	zvf_triage	0.5000	40	40	0	1.0000	3.906250	3.027344	4.882812	2.0000
areal	zvf_triage	0.6000	33	29	11	0.8788	3.103596	1.953125	3.710938	1.8250
areal	zvf_triage	0.7000	17	13	27	0.7647	1.781798	0.585938	1.953125	1.4250
areal	zvf_triage	0.8000	11	6	34	0.5455	0.919118	0.195312	1.074219	1.2750
areal	zvf_triage	0.9000	1	1	39	1.0000	0.190549	0.000000	0.292969	1.0250
areal	yobs_triage	0.1250	5	3	37	0.6000	0.520833	0.000000	0.683594	1.1250
