method	step	reward_mean	n_rollouts
aero	0	0.7891	128
aero	1	0.8203	128
aero	2	0.8672	128
aero	3	0.7578	128
aero	4	0.8281	128
aero	5	0.6406	128
aero	6	0.7422	128
aero	7	0.7109	128
aero	8	0.7500	128
aero	9	0.8594	128
aero	10	0.8516	128
aero	11	0.7578	128
aero	12	0.8672	128
aero	13	0.7109	128
aero	14	0.9219	128
aero	15	0.8828	128
aero	16	0.7188	128
aero	17	0.7812	128
aero	18	0.7031	128
aero	19	0.7812	128
aero	20	0.8281	128
aero	21	0.9062	128
aero	22	0.8984	128
aero	23	0.8672	128
aero	24	0.9297	128
aero	25	0.8203	128
aero	26	0.8203	128
aero	27	0.9766	128
aero	28	0.9062	128
aero	29	0.9375	128
aero	30	0.9375	128
aero	31	0.9062	128
aero	32	0.8750	128
aero	33	0.8672	128
aero	34	0.8906	128
aero	35	0.8203	128
aero	36	0.8984	128
aero	37	0.7031	128
aero	38	0.8047	128
aero	39	0.7656	128
areal	0	0.8594	128
areal	1	0.8516	128
areal	2	0.8125	128
areal	3	0.7422	128
areal	4	0.8281	128
areal	5	0.6562	128
areal	6	0.8203	128
areal	7	0.7500	128
areal	8	0.7500	128
areal	9	0.8594	128
areal	10	0.8828	128
areal	11	0.7344	128
areal	12	0.9141	128
areal	13	0.7188	128
areal	14	0.8906	128
areal	15	0.8359	128
areal	16	0.7500	128
areal	17	0.7891	128
areal	18	0.6641	128
areal	19	0.7500	128
areal	20	0.8438	128
areal	21	0.8438	128
areal	22	0.9062	128
areal	23	0.8750	128
areal	24	0.9297	128
areal	25	0.8281	128
areal	26	0.8359	128
areal	27	0.9531	128
areal	28	0.9062	128
areal	29	0.9531	128
areal	30	0.9141	128
areal	31	0.8750	128
areal	32	0.8984	128
areal	33	0.8750	128
areal	34	0.8594	128
areal	35	0.8438	128
areal	36	0.8984	128
areal	37	0.6719	128
areal	38	0.7812	128
areal	39	0.7969	128
gift	0	0.8203	128
gift	1	0.8047	128
gift	2	0.8516	128
gift	3	0.7578	128
gift	4	0.8672	128
gift	5	0.6250	128
gift	6	0.7891	128
gift	7	0.7266	128
gift	8	0.7109	128
gift	9	0.8828	128
gift	10	0.8828	128
gift	11	0.7578	128
gift	12	0.9375	128
gift	13	0.7109	128
gift	14	0.9375	128
gift	15	0.8438	128
gift	16	0.7422	128
gift	17	0.8125	128
gift	18	0.7031	128
gift	19	0.8438	128
gift	20	0.8281	128
gift	21	0.8672	128
gift	22	0.8906	128
gift	23	0.8906	128
gift	24	0.9375	128
gift	25	0.8516	128
gift	26	0.8984	128
gift	27	0.9531	128
gift	28	0.9297	128
gift	29	0.9609	128
gift	30	0.9219	128
gift	31	0.9297	128
gift	32	0.8438	128
gift	33	0.9297	128
gift	34	0.9375	128
gift	35	0.8203	128
gift	36	0.9062	128
gift	37	0.7812	128
gift	38	0.8359	128
gift	39	0.8672	128
grpo	0	0.8125	128
grpo	1	0.8203	128
grpo	2	0.8281	128
grpo	3	0.7969	128
grpo	4	0.8047	128
grpo	5	0.6875	128
grpo	6	0.7969	128
grpo	7	0.7109	128
grpo	8	0.7266	128
grpo	9	0.8828	128
grpo	10	0.8828	128
grpo	11	0.7188	128
grpo	12	0.9453	128
grpo	13	0.7422	128
grpo	14	0.8750	128
grpo	15	0.8516	128
grpo	16	0.7344	128
grpo	17	0.8438	128
grpo	18	0.6484	128
grpo	19	0.7812	128
grpo	20	0.8281	128
grpo	21	0.8594	128
grpo	22	0.8828	128
grpo	23	0.8828	128
grpo	24	0.9297	128
grpo	25	0.7891	128
grpo	26	0.8750	128
grpo	27	0.9688	128
grpo	28	0.8984	128
grpo	29	0.9531	128
grpo	30	0.9375	128
grpo	31	0.9141	128
grpo	32	0.8906	128
grpo	33	0.8750	128
grpo	34	0.8984	128
grpo	35	0.8594	128
grpo	36	0.8984	128
grpo	37	0.7266	128
grpo	38	0.8047	128
grpo	39	0.8047	128
