pillar	weighting	aggregate_best	agreement_frac	lo	hi
P5	raw	gift	0.4000	0.2500	0.5500
P5	weighted	gift	0.4750	0.3250	0.6250
P6	raw	areal	0.2250	0.1000	0.3506
P6	weighted	areal	0.3750	0.2250	0.5250
P7	raw	gift	0.3500	0.2000	0.5000
P7	weighted	gift	0.4750	0.3250	0.6250
P8	raw	gift	0.4750	0.3250	0.6250
P8	weighted	gift	0.4750	0.3250	0.6250
