tau	grpo	aero	gift	areal	mean	sd	range	max_minus_min_pct
0.50	1.9500	1.9500	1.9500	1.9500	1.9500	0.0000	0.0000	0.00%
0.60	1.8250	1.8250	1.9000	1.8000	1.8375	0.0375	0.1000	5.44%
0.65	1.7500	1.6500	1.7250	1.7000	1.7063	0.0370	0.1000	5.86%
0.70	1.5000	1.4750	1.6250	1.4250	1.5063	0.0737	0.2000	13.28%
0.75	1.5000	1.4750	1.6250	1.4250	1.5063	0.0737	0.2000	13.28%
0.80	1.3000	1.3500	1.4250	1.2750	1.3375	0.0573	0.1500	11.21%
0.85	1.1000	1.1000	1.3500	1.1250	1.1688	0.1051	0.2500	21.39%
0.90	1.0500	1.0250	1.2000	1.0250	1.0750	0.0729	0.1750	16.28%
