axis	mean	lo	hi
H3_p8_density_mean	0.006967600000000001		
H3_p8_density_ci		0.0054	0.008502499999999998
H3_p7_density_mean	0.495225		
H3_p7_density_ci		0.325	0.65
H3_density_ratio_mean	0.01447957018872965		
H3_density_ratio_ci		0.009600000000000001	0.022571428571428576
