sub_field	covered_n	coverage_pct	n_unique_when_covered	H_bits	vacuous
advantage_norm	0	0.0	0	0.0	True
clip_high	0	0.0	0	0.0	True
clip_low	0	0.0	0	0.0	True
dynamic_sampling	0	0.0	0	0.0	True
kl_coef	0	0.0	0	0.0	True
kl_estimator	0	0.0	0	0.0	True
ratio_level	0	0.0	0	0.0	True
ref_snapshot	0	0.0	0	0.0	True
token_mask	0	0.0	0	0.0	True
decoding_parameters	98	100.0	1	0.0	True
precision	98	100.0	1	0.0	True
sampler_backend	98	100.0	1	0.0	True
sampling_engine	98	100.0	1	0.0	True
decontam_check	98	100.0	2	0.9313	False
parser_probe	98	100.0	2	0.9313	False
disjointness	98	100.0	3	1.5546	False
split_name	98	100.0	3	1.5546	False
split_size	98	100.0	3	1.5546	False
G_value	98	100.0	5	2.3121	False
schedule_form	98	100.0	5	2.3121	False
GU_per_step	98	100.0	98	6.6147	False
zvf_traj	98	100.0	98	6.6147	False
