method	config	tau	k_up	k_dn	n_fires	n_flips	flip_rate_per_fire	mean_dwell	n_dwell_segments	total_rollouts	baseline_rollouts	cost_ratio	total_yield_base	total_yield_ctrl	delta_yield	mean_delta_per_prompt	yield_per_1000_extra
grpo	C_raw_tau_0.70	0.7	1	1	8	15	1.875	2.5	16	7680	5120	1.5	147.2012	155.5001	8.2989	0.013	3.242
grpo	C_hyst_0.70_2_2	0.7	2	2	3	5	1.667	6.67	6	7424	5120	1.45	147.2012	155.3517	8.1505	0.0127	3.538
grpo	C_hyst_0.70_3_2	0.7	3	2	2	3	1.5	10.0	4	6912	5120	1.35	147.2012	154.1449	6.9438	0.0108	3.875
grpo	C_hyst_0.70_3_3	0.7	3	3	1	1	1.0	20.0	2	7296	5120	1.425	147.2012	155.3406	8.1394	0.0127	3.741
grpo	C_hyst_0.70_4_3	0.7	4	3	1	1	1.0	20.0	2	7168	5120	1.4	147.2012	155.0249	7.8237	0.0122	3.82
grpo	C_hyst_0.75_2_2	0.75	2	2	3	5	1.667	6.67	6	7424	5120	1.45	147.2012	155.3517	8.1505	0.0127	3.538
grpo	C_hyst_0.75_3_2	0.75	3	2	2	3	1.5	10.0	4	6912	5120	1.35	147.2012	154.1449	6.9438	0.0108	3.875
grpo	C_hyst_0.75_3_3	0.75	3	3	1	1	1.0	20.0	2	7296	5120	1.425	147.2012	155.3406	8.1394	0.0127	3.741
grpo	C_hyst_0.75_4_3	0.75	4	3	1	1	1.0	20.0	2	7168	5120	1.4	147.2012	155.0249	7.8237	0.0122	3.82
grpo	C_hyst_0.80_2_2	0.8	2	2	2	4	2.0	8.0	5	6528	5120	1.275	147.2012	152.4664	5.2652	0.0082	3.74
grpo	C_hyst_0.80_3_2	0.8	3	2	2	4	2.0	8.0	5	5888	5120	1.15	147.2012	150.3299	3.1288	0.0049	4.074
grpo	C_hyst_0.80_3_3	0.8	3	3	2	4	2.0	8.0	5	6144	5120	1.2	147.2012	151.421	4.2198	0.0066	4.121
