method	comparison	point	ci_lo	ci_hi	n	B	excl_zero	note
grpo	AG8_minus_BASE_mean_contrast	0.031	0.0217	0.0419	40	2000	1	
grpo	AG8_minus_STATIC16_mean_cost	0.5	0.35	0.65	40	2000	1	POS = AG8 cheaper than STATIC16
grpo	HYB_minus_AG8_mean_contrast	-0.0111	-0.0144	-0.0078	40	2000	0	
grpo	AG8_minus_STATIC16_net_benefit	0.219	0.1533	0.2847	40	2000	1	
aero	AG8_minus_BASE_mean_contrast	0.0275	0.0188	0.0361	40	2000	1	
aero	AG8_minus_STATIC16_mean_cost	0.525	0.375	0.675	40	2000	1	POS = AG8 cheaper than STATIC16
aero	HYB_minus_AG8_mean_contrast	-0.01	-0.0131	-0.0068	40	2000	0	
aero	AG8_minus_STATIC16_net_benefit	0.2321	0.1658	0.2985	40	2000	1	
gift	AG8_minus_BASE_mean_contrast	0.0086	0.0066	0.0106	40	2000	1	
gift	AG8_minus_STATIC16_mean_cost	0.35	0.2	0.5	40	2000	1	POS = AG8 cheaper than STATIC16
gift	HYB_minus_AG8_mean_contrast	-0.0019	-0.0023	-0.0015	40	2000	0	
gift	AG8_minus_STATIC16_net_benefit	0.1704	0.1095	0.2434	40	2000	1	
areal	AG8_minus_BASE_mean_contrast	0.0156	0.0101	0.0211	40	2000	1	
areal	AG8_minus_STATIC16_mean_cost	0.575	0.425	0.725	40	2000	1	POS = AG8 cheaper than STATIC16
areal	HYB_minus_AG8_mean_contrast	-0.0052	-0.007	-0.0033	40	2000	0	
areal	AG8_minus_STATIC16_net_benefit	0.2664	0.1969	0.3359	40	2000	1	
