noise_sigma	model	recall_target	cost_at_recall	infeasible
0.0	XGB-20raw	0.5	0.025	False
0.0	XGB-20raw	0.7	0.025	False
0.0	XGB-20raw	0.8	0.025	False
0.0	XGB-20raw	0.9	0.025	False
0.0	XGB-20raw	0.95	0.025	False
0.0	XGB-24full	0.5	0.0185	False
0.0	XGB-24full	0.7	0.0185	False
0.0	XGB-24full	0.8	0.0185	False
0.0	XGB-24full	0.9	0.0185	False
0.0	XGB-24full	0.95	0.0185	False
0.0	XGB-4sensor	0.5	0.20350000000000001	False
0.0	XGB-4sensor	0.7	0.20350000000000001	False
0.0	XGB-4sensor	0.8	0.20350000000000001	False
0.0	XGB-4sensor	0.9	-1.0	True
0.0	XGB-4sensor	0.95	-1.0	True
0.05	XGB-20raw	0.5	0.025	False
0.05	XGB-20raw	0.7	0.025	False
0.05	XGB-20raw	0.8	0.025	False
0.05	XGB-20raw	0.9	0.025	False
0.05	XGB-20raw	0.95	0.025	False
0.05	XGB-24full	0.5	0.0185	False
0.05	XGB-24full	0.7	0.0185	False
0.05	XGB-24full	0.8	0.0185	False
0.05	XGB-24full	0.9	0.0185	False
0.05	XGB-24full	0.95	0.0185	False
0.05	XGB-4sensor	0.5	-1.0	True
0.05	XGB-4sensor	0.7	-1.0	True
0.05	XGB-4sensor	0.8	-1.0	True
0.05	XGB-4sensor	0.9	-1.0	True
0.05	XGB-4sensor	0.95	-1.0	True
0.1	XGB-20raw	0.5	0.025	False
0.1	XGB-20raw	0.7	0.025	False
0.1	XGB-20raw	0.8	0.025	False
0.1	XGB-20raw	0.9	0.025	False
0.1	XGB-20raw	0.95	0.025	False
0.1	XGB-24full	0.5	0.0285	False
0.1	XGB-24full	0.7	0.0285	False
0.1	XGB-24full	0.8	0.0285	False
0.1	XGB-24full	0.9	0.0285	False
0.1	XGB-24full	0.95	0.0285	False
0.1	XGB-4sensor	0.5	-1.0	True
0.1	XGB-4sensor	0.7	-1.0	True
0.1	XGB-4sensor	0.8	-1.0	True
0.1	XGB-4sensor	0.9	-1.0	True
0.1	XGB-4sensor	0.95	-1.0	True
0.25	XGB-20raw	0.5	0.025	False
0.25	XGB-20raw	0.7	0.025	False
0.25	XGB-20raw	0.8	0.025	False
0.25	XGB-20raw	0.9	0.025	False
0.25	XGB-20raw	0.95	0.025	False
0.25	XGB-24full	0.5	0.0285	False
0.25	XGB-24full	0.7	0.0285	False
0.25	XGB-24full	0.8	0.0285	False
0.25	XGB-24full	0.9	0.0285	False
0.25	XGB-24full	0.95	0.0285	False
0.25	XGB-4sensor	0.5	-1.0	True
0.25	XGB-4sensor	0.7	-1.0	True
0.25	XGB-4sensor	0.8	-1.0	True
0.25	XGB-4sensor	0.9	-1.0	True
0.25	XGB-4sensor	0.95	-1.0	True
0.5	XGB-20raw	0.5	0.025	False
0.5	XGB-20raw	0.7	0.025	False
0.5	XGB-20raw	0.8	0.025	False
0.5	XGB-20raw	0.9	0.025	False
0.5	XGB-20raw	0.95	0.025	False
0.5	XGB-24full	0.5	0.07350000000000001	False
0.5	XGB-24full	0.7	0.07350000000000001	False
0.5	XGB-24full	0.8	0.07350000000000001	False
0.5	XGB-24full	0.9	0.07350000000000001	False
0.5	XGB-24full	0.95	0.07350000000000001	False
0.5	XGB-4sensor	0.5	-1.0	True
0.5	XGB-4sensor	0.7	-1.0	True
0.5	XGB-4sensor	0.8	-1.0	True
0.5	XGB-4sensor	0.9	-1.0	True
0.5	XGB-4sensor	0.95	-1.0	True
