method	step	n_prompts	n_degenerate_at_base	zvf_obs	mean_zvf_at_g8	mean_zvf_at_g16	zvf_drop	restore_sum	n_k0	n_k8
aero	18	16	10	0.625	0.6814437061498234	0.6410150250637285	0.040428681086094875	5.743759598980343	3	7
aero	19	16	10	0.625	0.6672175079534123	0.6342942279018529	0.03292328005155942	5.851292353570354	1	9
aero	20	16	10	0.625	0.6918828785369465	0.647175284379933	0.04470759415701353	5.645195449921072	0	10
aero	21	16	13	0.8125	0.8559394031698078	0.8272602932132896	0.028679109956518123	2.7638353085873657	0	13
aero	22	16	11	0.6875	0.7748818769996004	0.7170506626204957	0.05783121437910477	4.527189398072069	0	11
aero	23	16	13	0.8125	0.8464915826851696	0.8211320174246347	0.025359565260534844	2.8618877212058447	1	12
aero	24	16	13	0.8125	0.8769266828829616	0.8346375788034851	0.0422891040794765	2.6457987391442384	0	13
aero	25	16	11	0.6875	0.7444467768018084	0.7035451012416453	0.04090167556016311	4.743278380133676	1	10
aero	26	16	14	0.875	0.8827376440097429	0.8756603031115857	0.007077340898157147	1.9894351502146286	2	12
aero	27	16	15	0.9375	0.9389796331449851	0.9375338908611827	0.0014457422838024536	0.9994577462210774	0	15
aero	28	16	13	0.8125	0.8559394031698078	0.8272602932132896	0.028679109956518123	2.7638353085873657	0	13
aero	29	16	14	0.875	0.8875160217215158	0.8762528244848065	0.011263197236709321	1.9799548082430967	0	14
aero	30	16	13	0.8125	0.8617091327840656	0.8278847981140599	0.033824334670005674	2.7538432301750415	0	13
aero	31	16	13	0.8125	0.8617091327840656	0.8278847981140599	0.033824334670005674	2.7538432301750415	1	12
aero	32	16	12	0.75	0.7797014862238967	0.7580414034010468	0.021660082822849924	3.871337545583252	0	12
aero	33	16	10	0.625	0.6986439600536892	0.6478317728082528	0.05081218724543646	5.634691635067956	0	10
aero	34	16	14	0.875	0.8979551941086389	0.8824130838010109	0.015542110307627977	1.8813906591838254	1	13
aero	35	16	13	0.8125	0.8407218530709117	0.8205075125238644	0.020214340547047294	2.871879799618169	2	11
aero	36	16	13	0.8125	0.8464915826851696	0.8211320174246347	0.025359565260534844	2.8618877212058447	1	12
aero	37	16	11	0.6875	0.7538945972864466	0.7096733770303002	0.04422122025614639	4.645225967515197	2	9
aero	38	16	11	0.6875	0.7529032453839617	0.7096413935027507	0.04326185188121101	4.645737703955989	1	10
aero	39	16	10	0.625	0.7338574379632542	0.6619298555603239	0.07192758240293029	5.409122311034817	1	9
gift	0	16	12	0.75	0.7644839361250007	0.7512886227116216	0.013195313413379095	3.979382036614055	1	11
gift	1	16	9	0.5625	0.6404192671134772	0.5858942180035568	0.0545250491099204	6.625692511943091	0	9
gift	2	16	11	0.6875	0.7948778048102694	0.7243959646831416	0.07048184012712777	4.409664565069734	1	10
gift	3	16	9	0.5625	0.6519587263419928	0.5871432278050973	0.0648154985368955	6.605708355118443	2	7
gift	4	16	11	0.6875	0.7444467768018084	0.7035451012416453	0.04090167556016311	4.743278380133676	1	10
gift	5	16	10	0.625	0.7338574379632542	0.6619298555603239	0.07192758240293029	5.409122311034817	2	8
gift	6	16	12	0.75	0.7806928381263816	0.7580733869285963	0.0226194511977853	3.8708258091424597	2	10
gift	7	16	11	0.6875	0.7644427046124773	0.7108904033042912	0.05355230130818611	4.625753547131341	2	9
gift	8	16	10	0.625	0.6824350580523083	0.6410470085912781	0.04138804946103025	5.743247862539551	2	8
gift	9	16	10	0.625	0.7186398878643582	0.6551770748708987	0.06346281299345946	5.517166802065621	0	10
gift	10	16	12	0.75	0.8149149641334617	0.7721394861531179	0.04277547798034376	3.6457682215501137	1	11
gift	11	16	10	0.625	0.6719958856651852	0.6348867492750736	0.0371091363901116	5.841812011598822	1	9
gift	12	16	12	0.75	0.7854712158381545	0.758665908301817	0.026805307536337475	3.8613454671709277	0	12
gift	13	16	9	0.5625	0.6004274114921393	0.5712036138782649	0.02922379761387439	6.8607421779477615	1	8
gift	14	16	13	0.8125	0.8359434753591388	0.8199149911506437	0.01602848420849512	2.8813601415897008	0	13
gift	15	16	10	0.625	0.6976526081512043	0.6477997892807033	0.04985281887050108	5.635203371508748	0	10
gift	16	16	10	0.625	0.6882047876665661	0.6416715134920483	0.0465332741745178	5.733255784127227	2	8
gift	17	16	12	0.75	0.7519531249940001	0.7500076293825315	0.0019454956114686173	3.9998779298794958	1	11
gift	18	16	10	0.625	0.6776566803405354	0.6404544872180573	0.03720219312247808	5.752728204511083	3	7
gift	19	16	12	0.75	0.7996974140345656	0.7653867054636927	0.03431070857087293	3.753812712580917	1	11
gift	20	16	11	0.6875	0.7376856952850657	0.7028886128133255	0.03479708247174018	4.753782194986792	0	11
gift	21	16	12	0.75	0.7806928381263816	0.7580733869285963	0.0226194511977853	3.8708258091424597	0	12
gift	22	16	14	0.875	0.8979551941086389	0.8824130838010109	0.015542110307627977	1.8813906591838254	1	13
gift	23	16	14	0.875	0.8979551941086389	0.8824130838010109	0.015542110307627977	1.8813906591838254	1	13
gift	24	16	14	0.875	0.9179511219193078	0.8897583858636569	0.02819273605565098	1.7638658261814903	0	14
gift	25	16	12	0.75	0.7644839361250007	0.7512886227116216	0.013195313413379095	3.979382036614055	1	11
gift	26	16	13	0.8125	0.8569307550722927	0.8272922767408392	0.0296384783314535	2.7633235721465734	0	13
gift	27	16	15	0.9375	0.943758010856758	0.9381264122344034	0.005631598622354628	0.9899774042495455	0	15
gift	28	16	14	0.875	0.9027335718204118	0.8830056051742317	0.01972796664618015	1.8719103172122935	0	14
gift	29	16	15	0.9375	0.9389796331449851	0.9375338908611827	0.0014457422838024536	0.9994577462210774	0	15
gift	30	16	14	0.875	0.881746292107258	0.8756283195840362	0.006117972523221771	1.9899468866554209	0	14
gift	31	16	15	0.9375	0.9589755609556541	0.9448791929238286	0.014096368031825457	0.8819329132187423	1	14
gift	32	16	12	0.75	0.7959103882252776	0.7648261676180215	0.03108422060725613	3.7627813181116565	0	12
gift	33	16	15	0.9375	0.9589755609556541	0.9448791929238286	0.014096368031825457	0.8819329132187423	1	14
gift	34	16	16	1.0	0.9999999999920002	0.9999999999840004	7.999823026239028e-12	2.559943368396489e-10	1	15
gift	35	16	15	0.9375	0.9589755609556541	0.9448791929238286	0.014096368031825457	0.8819329132187423	2	13
gift	36	16	15	0.9375	0.9379882812425002	0.9375019073336331	0.0004863739088670771	0.9999694826618697	1	14
gift	37	16	14	0.875	0.8979551941086389	0.8824130838010109	0.015542110307627977	1.8813906591838254	3	11
gift	38	16	15	0.9375	0.9389796331449851	0.9375338908611827	0.0014457422838024536	0.9994577462210774	2	13
gift	39	16	13	0.8125	0.8207259252602428	0.8131622104612185	0.00756371479902429	2.989404632620504	1	12
areal	0	16	11	0.6875	0.7396683990900355	0.7029525798684245	0.036715819221610935	4.752758722105208	0	11
areal	1	16	8	0.5	0.5784075483639772	0.5233961253531896	0.05501142301078765	7.625661994348967	0	8
areal	2	16	11	0.6875	0.7738905250971155	0.7170186790929461	0.05687184600416939	4.527701134512862	2	9
areal	3	16	11	0.6875	0.7244508489911394	0.6961997991789993	0.028251049812140105	4.860803213136011	2	9
areal	4	16	8	0.5	0.6355996578891809	0.5449034772230057	0.09069618066617524	7.281544364431909	0	8
areal	5	16	12	0.75	0.7959103882252776	0.7648261676180215	0.03108422060725613	3.7627813181116565	4	8
areal	6	16	11	0.6875	0.7548859491889315	0.7097053605578497	0.045180588631081764	4.6447142310744045	1	10
areal	7	16	14	0.875	0.9179511219193078	0.8897583858636569	0.02819273605565098	1.7638658261814903	3	11
areal	8	16	10	0.625	0.6776566803405354	0.6404544872180573	0.03720219312247808	5.752728204511083	1	9
areal	9	16	11	0.6875	0.7196724712793665	0.6956072778057786	0.02406519347358793	4.870283555107543	0	11
areal	10	16	11	0.6875	0.7748818769996004	0.7170506626204957	0.05783121437910477	4.527189398072069	0	11
areal	11	16	8	0.5	0.6013775318821009	0.5308373779984841	0.07054015388361679	7.506601952024255	1	7
areal	12	16	13	0.8125	0.8169388994509548	0.8126016726155473	0.004337226835407493	2.9983732381512436	0	13
areal	13	16	9	0.5625	0.5871925651982131	0.5645148002439387	0.022677764954274315	6.96776319609698	1	8
areal	14	16	11	0.6875	0.7434554248993235	0.7035131177140957	0.03994230718522773	4.743790116574468	0	11
areal	15	16	11	0.6875	0.7748818769996004	0.7170506626204957	0.05783121437910477	4.527189398072069	1	10
areal	16	16	10	0.625	0.7034223377654621	0.6484242941814735	0.05499804358398863	5.625211293096424	2	8
areal	17	16	8	0.5	0.5746205225546892	0.5228355875075184	0.051784935047170855	7.634630599879706	1	7
areal	18	16	9	0.5625	0.6366322413041892	0.5853336801578856	0.0512985611463036	6.634661117473831	3	6
areal	19	16	12	0.75	0.7634925842225158	0.751256639184072	0.012235945038443719	3.9798937730548474	2	10
areal	20	16	11	0.6875	0.7014808654730158	0.6887585465337048	0.012722318939310973	4.979863255460723	0	11
areal	21	16	11	0.6875	0.7738905250971155	0.7170186790929461	0.05687184600416939	4.527701134512862	0	11
areal	22	16	13	0.8125	0.8559394031698078	0.8272602932132896	0.028679109956518123	2.7638353085873657	0	13
areal	23	16	13	0.8125	0.8417132049733966	0.820539496051414	0.02117370892198267	2.8713680631773766	1	12
areal	24	16	14	0.875	0.9027335718204118	0.8830056051742317	0.01972796664618015	1.8719103172122935	0	14
areal	25	16	10	0.625	0.6434345543334553	0.6263883879935357	0.01704616633991962	5.977785792103429	0	10
areal	26	16	14	0.875	0.8827376440097429	0.8756603031115857	0.007077340898157147	1.9894351502146286	2	12
areal	27	16	15	0.9375	0.943758010856758	0.9381264122344034	0.005631598622354628	0.9899774042495455	0	15
areal	28	16	14	0.875	0.8979551941086389	0.8824130838010109	0.015542110307627977	1.8813906591838254	1	13
areal	29	16	13	0.8125	0.8559394031698078	0.8272602932132896	0.028679109956518123	2.7638353085873657	0	13
areal	30	16	12	0.75	0.8006887659370505	0.7654186889912422	0.035270076945808304	3.7533009761401246	0	12
areal	31	16	9	0.5625	0.6976113766386809	0.6074015698733729	0.09020980676530799	6.2815748820260335	1	8
areal	32	16	12	0.75	0.7806928381263816	0.7580733869285963	0.0226194511977853	3.8708258091424597	0	12
areal	33	16	10	0.625	0.6976526081512043	0.6477997892807033	0.04985281887050108	5.635203371508748	0	10
areal	34	16	11	0.6875	0.7796602547113733	0.7176431839937164	0.06201707071765694	4.5177090561005375	1	10
areal	35	16	13	0.8125	0.8617091327840656	0.8278847981140599	0.033824334670005674	2.7538432301750415	2	11
areal	36	16	12	0.75	0.8006887659370505	0.7654186889912422	0.035270076945808304	3.7533009761401246	0	12
areal	37	16	11	0.6875	0.7376856952850657	0.7028886128133255	0.03479708247174018	4.753782194986792	3	8
areal	38	16	13	0.8125	0.8417132049733966	0.820539496051414	0.02117370892198267	2.8713680631773766	2	11
areal	39	16	12	0.75	0.7854712158381545	0.758665908301817	0.026805307536337475	3.8613454671709277	1	11
