method	step	n_prompts	n_degenerate	zvf_obs	reward_mean	mean_restore_prob	mean_midrange_prob	n_k0	n_k8
grpo	0	16	11	0.6875	0.8125	0.7202	0.7275	0	11
grpo	1	16	8	0.5000	0.8203	0.7920	0.8007	0	19
grpo	2	16	11	0.6875	0.8281	0.7326	0.7358	1	29
grpo	3	16	12	0.7500	0.7969	0.7104	0.7127	3	39
grpo	4	16	11	0.6875	0.8047	0.7378	0.7398	4	49
grpo	5	16	11	0.6875	0.6875	0.7346	0.7364	6	58
grpo	6	16	13	0.8125	0.7969	0.6971	0.6946	8	69
grpo	7	16	11	0.6875	0.7109	0.7274	0.7319	10	78
grpo	8	16	9	0.5625	0.7266	0.7691	0.7775	10	87
grpo	9	16	11	0.6875	0.8828	0.7323	0.7358	10	98
grpo	10	16	11	0.6875	0.8828	0.7323	0.7358	10	109
grpo	11	16	11	0.6875	0.7188	0.7346	0.7364	13	117
grpo	12	16	13	0.8125	0.9453	0.7023	0.6985	13	130
grpo	13	16	9	0.5625	0.7422	0.7643	0.7736	15	137
grpo	14	16	12	0.7500	0.8750	0.7124	0.7133	16	148
grpo	15	16	12	0.7500	0.8516	0.7209	0.7182	16	160
grpo	16	16	10	0.6250	0.7344	0.7610	0.7633	18	168
grpo	17	16	8	0.5000	0.8438	0.7897	0.8002	18	176
grpo	18	16	9	0.5625	0.6484	0.7884	0.7903	21	182
grpo	19	16	10	0.6250	0.7812	0.7437	0.7510	22	191
grpo	20	16	10	0.6250	0.8281	0.7597	0.7628	22	201
grpo	21	16	12	0.7500	0.8594	0.7137	0.7137	23	212
grpo	22	16	12	0.7500	0.8828	0.7189	0.7176	23	224
grpo	23	16	14	0.8750	0.8828	0.6752	0.6715	24	237
grpo	24	16	13	0.8125	0.9297	0.6850	0.6862	24	250
grpo	25	16	9	0.5625	0.7891	0.7711	0.7781	24	259
grpo	26	16	13	0.8125	0.8750	0.6902	0.6902	25	271
grpo	27	16	15	0.9375	0.9688	0.6622	0.6534	25	286
grpo	28	16	13	0.8125	0.8984	0.6918	0.6906	26	298
grpo	29	16	13	0.8125	0.9531	0.6922	0.6907	26	311
grpo	30	16	13	0.8125	0.9375	0.6902	0.6902	26	324
