sigma	L	delta_boot_mean	delta_ci025	delta_ci975	ci_excludes_zero	sensor_pays_off
0.0	1.0	0.00026571265	-8.320874999999937e-05	0.0006164587500000003	False	False
0.0	5.0	0.0009680514499999997	-0.0008937000000000012	0.003153158750000005	False	False
0.0	25.0	0.0024576940499999936	0.0	0.007350700000000006	False	False
0.0	100.0	0.00978085	0.0	0.02985	False	False
0.0	500.0	0.0	0.0	0.0	False	False
0.005	1.0	0.0001709308	-0.00018215000000000006	0.0005164587500000004	False	False
0.005	5.0	0.00194019475	-0.0004451000000000022	0.004503508749999997	False	False
0.005	25.0	0.0024576940499999936	0.0	0.007350700000000006	False	False
0.005	100.0	0.00978085	0.0	0.02985	False	False
0.005	500.0	0.0	0.0	0.0	False	False
0.01	1.0	0.00021636055	-8.602625000000131e-05	0.0005706487499999988	False	False
0.01	5.0	0.0005363874499999997	-0.001794749999999999	0.00315385875	False	False
0.01	25.0	6.950999999944542e-07	0.0	1.749999999992724e-06	False	False
0.01	100.0	0.00978085	0.0	0.02985	False	False
0.01	500.0	0.0	0.0	0.0	False	False
0.02	1.0	0.0005167926999999999	0.00016504999999999938	0.000913308750000001	True	False
0.02	5.0	0.00184396965	2.7825000000018474e-06	0.004054208750000002	True	False
0.02	25.0	0.0024576940499999936	0.0	0.007350700000000006	False	False
0.02	100.0	0.00978085	0.0	0.02985	False	False
0.02	500.0	0.0	0.0	0.0	False	False
0.05	1.0	0.00026606019999999994	-8.250875000000026e-05	0.0006174999999999997	False	False
0.05	5.0	0.0028129654000000003	0.0004531500000000051	0.005416771249999994	True	False
0.05	25.0	0.0024576940499999936	0.0	0.007350700000000006	False	False
0.05	100.0	0.00978085	0.0	0.02985	False	False
0.05	500.0	0.0	0.0	0.0	False	False
