method	n	n_fired	d8_density	d8_wilson_lo	d8_wilson_hi	n_recovered	d9_density	d9_wilson_lo	d9_wilson_hi
aero	640	57	0.0890625	0.06937642770843834	0.11365244150411334	57	0.0890625	0.06937642770843834	0.11365244150411334
areal	640	51	0.0796875	0.061127135524002674	0.10326360903180112	51	0.0796875	0.061127135524002674	0.10326360903180112
gift	640	64	0.1	0.07909079752289233	0.1256825504558652	64	0.1	0.07909079752289233	0.1256825504558652
grpo	640	62	0.096875	0.07630615546653241	0.12225448429330915	62	0.096875	0.07630615546653241	0.12225448429330915
