axis	stratum	n_stratum	pos_stratum	noise_sigma	k_pct	cost_20raw	cost_24full	delta_cost_24_minus_20	recall_20raw	recall_24full	tp_20raw	fp_20raw	fn_20raw	tp_24full	fp_24full	fn_24full
V_mean_q	0	2000	10	0.0	0.1	0.5005	0.5039999999999999	0.0034999999999999476	0.0	0.0	0	2	10	0	2	10
V_mean_q	0	2000	10	0.0	0.5	0.5025	0.456	-0.04649999999999993	0.0	0.1	0	10	10	1	9	9
V_mean_q	0	2000	10	0.0	1.0	0.455	0.4585	0.003500000000000003	0.1	0.1	1	19	9	1	19	9
V_mean_q	0	2000	10	0.0	1.5	0.4575	0.461	0.003500000000000003	0.1	0.1	1	29	9	1	29	9
V_mean_q	0	2000	10	0.0	2.0	0.46	0.4635	0.003500000000000003	0.1	0.1	1	39	9	1	39	9
V_mean_q	0	2000	10	0.0	3.0	0.465	0.4685	0.003500000000000003	0.1	0.1	1	59	9	1	59	9
V_mean_q	0	2000	10	0.0	5.0	0.475	0.4785	0.003500000000000003	0.1	0.1	1	99	9	1	99	9
V_mean_q	0	2000	10	0.0	7.0	0.485	0.4885	0.003500000000000003	0.1	0.1	1	139	9	1	139	9
V_mean_q	0	2000	10	0.05	0.1	0.5005	0.5039999999999999	0.0034999999999999476	0.0	0.0	0	2	10	0	2	10
V_mean_q	0	2000	10	0.05	0.5	0.5025	0.456	-0.04649999999999993	0.0	0.1	0	10	10	1	9	9
V_mean_q	0	2000	10	0.05	1.0	0.455	0.4585	0.003500000000000003	0.1	0.1	1	19	9	1	19	9
V_mean_q	0	2000	10	0.05	1.5	0.4575	0.461	0.003500000000000003	0.1	0.1	1	29	9	1	29	9
V_mean_q	0	2000	10	0.05	2.0	0.46	0.4635	0.003500000000000003	0.1	0.1	1	39	9	1	39	9
V_mean_q	0	2000	10	0.05	3.0	0.465	0.4685	0.003500000000000003	0.1	0.1	1	59	9	1	59	9
V_mean_q	0	2000	10	0.05	5.0	0.475	0.4785	0.003500000000000003	0.1	0.1	1	99	9	1	99	9
V_mean_q	0	2000	10	0.05	7.0	0.485	0.4885	0.003500000000000003	0.1	0.1	1	139	9	1	139	9
V_mean_q	0	2000	10	0.1	0.1	0.5005	0.5039999999999999	0.0034999999999999476	0.0	0.0	0	2	10	0	2	10
V_mean_q	0	2000	10	0.1	0.5	0.5025	0.456	-0.04649999999999993	0.0	0.1	0	10	10	1	9	9
V_mean_q	0	2000	10	0.1	1.0	0.455	0.4585	0.003500000000000003	0.1	0.1	1	19	9	1	19	9
V_mean_q	0	2000	10	0.1	1.5	0.4575	0.461	0.003500000000000003	0.1	0.1	1	29	9	1	29	9
V_mean_q	0	2000	10	0.1	2.0	0.46	0.4635	0.003500000000000003	0.1	0.1	1	39	9	1	39	9
