pair	feature	n_flips	flip_mean	agreed_mean	delta	flip_std
XGB-20raw vs LLM-as-scribe (XGB-24full @ $0.001)	V18	58	-0.0120135	-0.0210651	0.0090516	0.864846
XGB-20raw vs LLM-as-scribe (XGB-24full @ $0.001)	V19	58	-0.188231	0.000938343	-0.189169	0.999713
XGB-20raw vs LLM-as-scribe (XGB-24full @ $0.001)	V20	58	0.483014	-0.786596	1.26961	1.50477
XGB-20raw vs LLM-as-scribe (XGB-24full @ $0.001)	V_mean	58	0.0651642	0.020832	0.0443322	0.341654
XGB-20raw vs LLM-as-scribe (XGB-24full @ $0.001)	V_std	58	1.68024	1.85565	-0.175413	0.474258
XGB-20raw vs LLM-as-scribe (XGB-24full @ $0.001)	V_max	58	3.43654	3.86042	-0.423879	1.54461
XGB-20raw vs LLM-as-scribe (XGB-24full @ $0.001)	V_min	58	-3.65103	-3.84174	0.190712	1.74915
XGB-24full vs XGB-pair	V1	64	0.727008	-0.0124214	0.739429	1.4962
XGB-24full vs XGB-pair	V2	64	-0.037751	0.765498	-0.803249	1.97719
XGB-24full vs XGB-pair	V3	64	0.755497	0.0106641	0.744833	1.55051
XGB-24full vs XGB-pair	V4	64	0.0302416	0.0049696	0.025272	0.947689
XGB-24full vs XGB-pair	V5	64	-0.364353	0.789707	-1.15406	1.73249
XGB-24full vs XGB-pair	V6	64	-0.16295	-0.0183415	-0.144608	2.07537
XGB-24full vs XGB-pair	V7	64	0.307175	-0.796926	1.1041	1.52902
XGB-24full vs XGB-pair	V8	64	0.116448	0.00173562	0.114712	1.12845
XGB-24full vs XGB-pair	V9	64	0.025133	0.0127307	0.0124024	1.23341
XGB-24full vs XGB-pair	V10	64	-0.536542	0.883365	-1.41991	2.16038
XGB-24full vs XGB-pair	V11	64	-0.77578	-0.00221251	-0.773568	1.41871
XGB-24full vs XGB-pair	V12	64	0.0659042	0.0143849	0.0515193	1.70899
XGB-24full vs XGB-pair	V13	64	0.0958654	0.00500981	0.0908556	1.03813
XGB-24full vs XGB-pair	V14	64	0.203232	0.0160841	0.187148	1.06084
XGB-24full vs XGB-pair	V15	64	0.641482	-0.460116	1.1016	3.95953
XGB-24full vs XGB-pair	V16	64	-0.22704	0.0104506	-0.237491	1.89949
XGB-24full vs XGB-pair	V17	64	-0.031974	0.000119905	-0.0320939	0.848371
XGB-24full vs XGB-pair	V18	64	-0.244932	-0.0195703	-0.225361	0.896457
XGB-24full vs XGB-pair	V19	64	-0.0988728	0.000477002	-0.0993498	1.13746
XGB-24full vs XGB-pair	V20	64	0.234316	-0.78576	1.02008	1.63639
XGB-24full vs XGB-pair	V_mean	64	0.0361054	0.0209924	0.0151129	0.326732
XGB-24full vs XGB-pair	V_std	64	1.69899	1.85564	-0.156645	0.479732
XGB-24full vs XGB-pair	V_max	64	3.39129	3.86097	-0.469677	1.41602
XGB-24full vs XGB-pair	V_min	64	-3.52101	-3.84269	0.321682	1.77574
XGB-pair vs LLM-as-scribe (XGB-24full @ $0.001)	V1	64	0.727008	-0.0124214	0.739429	1.4962
