method,step,step_zvf,oracle_dY_mean,C0_fixed_G8_dY_mean,C1_zvf_triage_dY_mean,C2_dualformer_dY_mean,C3_hybrid_dY_mean,C5_isog_y090_dY_mean
aero,0.0,0.6875,0.021041111438535154,0.0,0.0,-0.03580546395068129,0.0,0.07334055362154271
aero,1.0,0.6875,0.005827853106893599,0.0,0.0,-0.041640736162662506,0.0,-0.005984880030155182
aero,2.0,0.8125,0.015100012184120715,0.0,0.0422891040729767,-0.040608760049366754,0.0422891040729767,0.056820013433763576
aero,3.0,0.6875,0.012325574294663966,0.0,0.0,-0.05406862965901382,0.0,0.019577789078179066
aero,4.0,0.75,0.003836989402770996,0.0,0.007090720318956301,-0.013761520385742188,0.007090720318956301,-0.001656174659729004
aero,5.0,0.5625,0.024222843814641237,0.0,0.0,-0.021051270144824663,0.0,0.06261561891443451
aero,6.0,0.75,0.009122831630520523,0.0,0.01834053812086678,-0.011791395081672817,0.01834053812086678,0.005795605480670929
aero,7.0,0.625,0.017281746841035783,0.0,0.0,-0.04990183197500686,0.0,0.05051624110347946
aero,8.0,0.6875,0.005286302184686065,0.0,0.0,0.005631598614854738,0.0,-0.0050302594900131226
aero,9.0,0.625,0.01735891168937087,0.0,0.0,-0.07212812177021988,0.0,0.03851779355610026
aero,10.0,0.75,0.013248407165519893,0.0,0.03099116386888978,-0.0492440061934758,0.03099116386888978,0.02715507424873418
aero,11.0,0.5625,0.01671918563079089,0.0,0.0,-0.0021634755174493314,0.0,0.026963743339005176
aero,12.0,0.6875,0.012325574294663966,0.0,0.0,-0.044775557733373716,0.0,0.019577789078179066
aero,13.0,0.5625,0.007849318790249527,0.0,0.0,-0.00812992177088745,0.0,-0.002802126109600067
aero,14.0,0.75,0.01079909666441381,0.0,0.02916548385138551,-0.05470512807369232,0.02916548385138551,0.034950321455842384
aero,15.0,0.8125,0.0068488611141219735,0.0,0.016987852576930695,0.004803296098685461,0.016987852576930695,0.014101075897637073
aero,16.0,0.5625,0.016642020782455802,0.0,0.0,-0.021386117783408043,0.0,0.038962190886384376
aero,17.0,0.5625,0.015352976974099874,0.0,0.0,-0.07775972038507462,0.0,0.03284974946582926
aero,18.0,0.625,0.016275809844955802,0.0,0.0,-0.0822281688451767,0.0,0.040427034636384376
aero,19.0,0.625,0.014522379962727427,0.0,0.0,-0.0364812650585411,0.0,0.02327076620859212
aero,20.0,0.625,0.01674019591882825,0.0,0.0,-0.040608760049366754,0.0,0.05147086164362152
aero,21.0,0.8125,0.01043288572691381,0.0,0.028679109950018322,-0.013256196012520594,0.028679109950018322,0.036415165205842384
aero,22.0,0.6875,0.021041111438535154,0.0,0.0,-0.07725439601185302,0.0,0.07334055362154271
aero,23.0,0.8125,0.010510050575248897,0.0,0.025359565254035044,-0.03548248580773361,0.025359565254035044,0.024416717658463184
aero,24.0,0.8125,0.015100012184120715,0.0,0.0422891040729767,-0.040608760049366754,0.0422891040729767,0.056820013433763576
aero,25.0,0.6875,0.016451149829663336,0.0,0.0,-0.06283504984457977,0.0,0.04093725784624232
aero,26.0,0.875,0.0036461184499785304,0.0,0.007077340891157302,-0.013761520385742188,0.007077340891157302,0.00031889230012893677
aero,27.0,0.9375,0.0009077618597075343,0.0,0.001445742276302564,-0.009293071925640106,0.0,-0.0024194642901420593
aero,28.0,0.8125,0.01043288572691381,0.0,0.028679109950018322,-0.013256196012520594,0.028679109950018322,0.036415165205842384
aero,29.0,0.875,0.005476713180541992,0.0,0.011263197229709476,-0.00812992177088745,0.011263197229709476,0.005476713180541992
aero,30.0,0.8125,0.012805031379684806,0.0,0.03382433466350587,-0.049073529458837584,0.03382433466350587,0.04061836554611338
aero,31.0,0.8125,0.012805031379684806,0.0,0.03382433466350587,-0.06846664845943451,0.03382433466350587,0.04061836554611338
aero,32.0,0.75,0.009045666782185435,0.0,0.021660082816850057,-0.021720965421991423,0.021660082816850057,0.01779405302805013
aero,33.0,0.625,0.01965389249380678,0.0,0.0,-0.07295642428638915,0.0,0.054719441443750454
aero,34.0,0.875,0.005941099254414439,0.0,0.015542110300628131,-0.02735256403684616,0.015542110300628131,0.016520540187779133
aero,35.0,0.8125,0.008137904922477901,0.0,0.020214340540547493,-0.04111408442258835,0.020214340540547493,0.020213517318192188
aero,36.0,0.8125,0.010510050575248897,0.0,0.025359565254035044,-0.054875604808330536,0.025359565254035044,0.024416717658463184
aero,37.0,0.6875,0.01637398498132825,0.0,0.0,-0.008452899913835132,0.0,0.05293570539362152
aero,38.0,0.6875,0.015832434059120715,0.0,0.0,-0.040608760049366754,0.0,0.053890325933763576
aero,39.0,0.625,0.02607444883324206,0.0,0.0,-0.05386495606188735,0.0,0.0922805580994639
areal,0.0,0.6875,0.014620555099099874,0.0,0.0,-0.049073529458837584,0.0,0.03577943696582926
areal,1.0,0.5,0.021675358177162707,0.0,0.0,-0.10958073288202286,0.0,0.05790219536430557
areal,2.0,0.6875,0.02049956051632762,0.0,0.0,-0.10941025614738464,0.0,0.07429517416168477
areal,3.0,0.6875,0.012325574294663966,0.0,0.0,-0.03201281659843902,0.0,0.019577789078179066
areal,4.0,0.5,0.033304591896012425,0.0,0.0,-0.1170348535450505,0.0,0.11491353970779815
areal,5.0,0.75,0.011882198508828878,0.0,0.031084220601256263,-0.05470512807369232,0.031084220601256263,0.033041080375558265
areal,6.0,0.6875,0.016915535903535783,0.0,0.0,-0.05919490390064697,0.0,0.05198108485347946
areal,7.0,0.875,0.01006667478941381,0.0,0.028192736048651135,-0.013256196012520594,0.028192736048651135,0.037880008955842384
areal,8.0,0.625,0.014986766036599874,0.0,0.0,-0.02701771639826278,0.0,0.03431459321582926
areal,9.0,0.6875,0.010494979564100504,0.0,0.0,-0.040307109273271635,0.0,0.01441996819776601
areal,10.0,0.6875,0.021041111438535154,0.0,0.0,-0.06796132408621292,0.0,0.07334055362154271
areal,11.0,0.5,0.02742558647878468,0.0,0.0,-0.08538431778274047,0.0,0.07639780251194264
areal,12.0,0.8125,0.002723285579122603,0.0,0.004337226828907692,-0.018586143851280212,0.004337226828907692,-0.007258392870426178
areal,13.0,0.5625,0.011846117209643126,0.0,0.0,-0.03037753893295303,0.0,-0.001462787389755249
areal,14.0,0.6875,0.015909598907455802,0.0,0.0,-0.06283504984457977,0.0,0.041891878386384376
areal,15.0,0.6875,0.021041111438535154,0.0,0.0,-0.07725439601185302,0.0,0.07334055362154271
areal,16.0,0.625,0.02148448722437024,0.0,0.0,-0.09018761388142593,0.0,0.05987726232416351
areal,17.0,0.5,0.02038631436880678,0.0,0.0,-0.11440535634756088,0.0,0.051789753943750454
areal,18.0,0.5625,0.02002010343130678,0.0,0.0,-0.09501223734696396,0.0,0.053254597693750454
areal,19.0,0.75,0.006209135055541992,0.0,0.012235945032443851,-0.00812992177088745,0.012235945032443851,0.002547025680541992
areal,20.0,0.6875,0.006575345993041992,0.0,0.0,-0.00812992177088745,0.0,0.0010821819305419922
areal,21.0,0.6875,0.02049956051632762,0.0,0.0,-0.026512392025041187,0.0,0.07429517416168477
