method	controller	mean_cost	mean_retention	ci95_cost_lo	ci95_cost_hi	ci95_ret_lo	ci95_ret_hi
grpo	STATIC_G8	1.0	0.2797	1.0	1.0	0.2469	0.3094
grpo	STATIC_G16	2.0	0.3294	2.0	2.0	0.2902	0.3652
grpo	DUALFORMER_PP	1.0	0.2797	1.0	1.0	0.2469	0.3094
grpo	ADAPTIVE_PP_ORACLE	1.8391	0.3489	1.7453	1.9328	0.3068	0.3866
grpo	UNIFIED_C4	1.0969	0.2983	1.0766	1.1187	0.2626	0.331
aero	STATIC_G8	1.0	0.2797	1.0	1.0	0.2484	0.3109
aero	STATIC_G16	2.0	0.325	2.0	2.0	0.2873	0.3606
aero	DUALFORMER_PP	1.0	0.2797	1.0	1.0	0.2484	0.3109
aero	ADAPTIVE_PP_ORACLE	1.8391	0.3427	1.75	1.9328	0.3021	0.3811
aero	UNIFIED_C4	1.0891	0.2952	1.0703	1.1094	0.2607	0.3279
gift	STATIC_G8	1.0	0.2297	1.0	1.0	0.2	0.2578
gift	STATIC_G16	2.0	0.2691	2.0	2.0	0.2343	0.3034
gift	DUALFORMER_PP	1.0	0.2297	1.0	1.0	0.2	0.2578
gift	ADAPTIVE_PP_ORACLE	1.6891	0.2847	1.6047	1.7734	0.2481	0.3217
gift	UNIFIED_C4	1.1	0.2443	1.0813	1.1203	0.2125	0.2745
areal	STATIC_G8	1.0	0.2938	1.0	1.0	0.2625	0.3266
areal	STATIC_G16	2.0	0.347	2.0	2.0	0.3085	0.3864
areal	DUALFORMER_PP	1.0	0.2938	1.0	1.0	0.2625	0.3266
areal	ADAPTIVE_PP_ORACLE	1.8813	0.3685	1.7875	1.9703	0.3279	0.4115
areal	UNIFIED_C4	1.0797	0.3071	1.0625	1.0984	0.2728	0.3421
