method	controller	threshold	trigger_step	apply_step	trigger_zvf	trigger_pcd	saved_prompts	wasted_prompts	rollout_cost
grpo	zvf_triage	0.5	0	1	0.6875	0.0391	0	8	256
grpo	zvf_triage	0.5	1	2	0.5	0.0908	0	11	256
grpo	zvf_triage	0.5	2	3	0.6875	0.0527	0	12	256
grpo	zvf_triage	0.5	3	4	0.75	0.0371	0	11	256
grpo	zvf_triage	0.5	4	5	0.6875	0.0576	0	11	256
grpo	zvf_triage	0.5	5	6	0.6875	0.0566	0	13	256
grpo	zvf_triage	0.5	6	7	0.8125	0.0332	0	11	256
grpo	zvf_triage	0.5	7	8	0.6875	0.0479	0	9	256
grpo	zvf_triage	0.5	8	9	0.5625	0.0732	0	11	256
grpo	zvf_triage	0.5	9	10	0.6875	0.0518	0	11	256
grpo	zvf_triage	0.5	10	11	0.6875	0.0518	0	11	256
grpo	zvf_triage	0.5	11	12	0.6875	0.0566	0	13	256
grpo	zvf_triage	0.5	12	13	0.8125	0.0381	0	9	256
grpo	zvf_triage	0.5	13	14	0.5625	0.0693	0	12	256
grpo	zvf_triage	0.5	14	15	0.75	0.041	0	12	256
grpo	zvf_triage	0.5	15	16	0.75	0.0518	0	10	256
grpo	zvf_triage	0.5	16	17	0.625	0.0742	0	8	256
grpo	zvf_triage	0.5	17	18	0.5	0.0859	0	9	256
grpo	zvf_triage	0.5	18	19	0.5625	0.0947	0	10	256
grpo	zvf_triage	0.5	19	20	0.625	0.0566	0	10	256
grpo	zvf_triage	0.5	20	21	0.625	0.0723	0	12	256
grpo	zvf_triage	0.5	21	22	0.75	0.043	0	12	256
grpo	zvf_triage	0.5	22	23	0.75	0.0479	0	14	256
grpo	zvf_triage	0.5	23	24	0.875	0.0186	0	13	256
grpo	zvf_triage	0.5	24	25	0.8125	0.0205	0	9	256
grpo	zvf_triage	0.5	25	26	0.5625	0.0771	0	13	256
grpo	zvf_triage	0.5	26	27	0.8125	0.0254	0	15	256
grpo	zvf_triage	0.5	27	28	0.9375	0.0156	0	13	256
grpo	zvf_triage	0.5	28	29	0.8125	0.0283	0	13	256
grpo	zvf_triage	0.5	29	30	0.8125	0.0293	0	13	256
grpo	zvf_triage	0.5	30	31	0.8125	0.0254	0	12	256
grpo	zvf_triage	0.5	31	32	0.75	0.0322	0	11	256
grpo	zvf_triage	0.5	32	33	0.6875	0.0605	0	11	256
