fset	seed	brier
20raw	42	0.032793
20raw	179	0.034896
20raw	316	0.034527
20raw	453	0.033507
20raw	590	0.033370
23_noVmax	42	0.032713
23_noVmax	179	0.030823
23_noVmax	316	0.031685
23_noVmax	453	0.032904
23_noVmax	590	0.032204
23_noVmean	42	0.031881
23_noVmean	179	0.030251
23_noVmean	316	0.030937
23_noVmean	453	0.032742
23_noVmean	590	0.031181
23_noVmin	42	0.032574
23_noVmin	179	0.029834
23_noVmin	316	0.032855
23_noVmin	453	0.033916
23_noVmin	590	0.031527
23_noVstd	42	0.029878
23_noVstd	179	0.030402
23_noVstd	316	0.030761
23_noVstd	453	0.031580
23_noVstd	590	0.029815
24full	42	0.029875
24full	179	0.030631
24full	316	0.032058
24full	453	0.030151
24full	590	0.032233
4sensor	42	0.137306
4sensor	179	0.138505
4sensor	316	0.139217
4sensor	453	0.138688
4sensor	590	0.136068
