method	controller	trigger_label	threshold	fires	saved	missed	rollouts_used	baseline_rollouts	cost_ratio_pt	cost_ratio_lo	cost_ratio_hi	saved_per_fire	savings_per_rollout_pt	savings_per_rollout_lo	savings_per_rollout_hi
grpo	zvf_triage	ZVF>=tau	0.5000	40	51	0	10240	5120	2.0000	2.0000	2.0000	1.2750	4.980469	3.906250	6.054688
grpo	zvf_triage	ZVF>=tau	0.6000	34	39	12	9472	5120	1.8500	1.7250	1.9500	1.1471	4.117399	2.832031	4.882812
grpo	zvf_triage	ZVF>=tau	0.7000	20	16	35	7680	5120	1.5000	1.3500	1.6500	0.8000	2.083333	0.878906	2.343750
grpo	zvf_triage	ZVF>=tau	0.8000	12	8	43	6656	5120	1.3000	1.1500	1.4500	0.6667	1.201923	0.292969	1.367188
grpo	zvf_triage	ZVF>=tau	0.9000	2	1	50	5376	5120	1.0500	1.0000	1.1250	0.5000	0.186012	0.000000	0.292969
grpo	yobs_triage	Y_obs<=tau (1-ZVF)	0.1250	4	3	48	5632	5120	1.1000	1.0250	1.2000	0.7500	0.532670	0.000000	0.683594
grpo	yobs_triage	Y_obs<=tau (1-ZVF)	0.1500	4	3	48	5632	5120	1.1000	1.0250	1.2000	0.7500	0.532670	0.000000	0.683594
grpo	yobs_triage	Y_obs<=tau (1-ZVF)	0.2000	12	8	43	6656	5120	1.3000	1.1750	1.4500	0.6667	1.201923	0.292969	1.367188
grpo	yobs_triage	Y_obs<=tau (1-ZVF)	0.2500	20	16	35	7680	5120	1.5000	1.3500	1.6500	0.8000	2.083333	0.878906	2.343750
grpo	yobs_triage	Y_obs<=tau (1-ZVF)	0.3000	20	16	35	7680	5120	1.5000	1.3500	1.6500	0.8000	2.083333	0.878906	2.343750
grpo	ddiv_triage	delta_div>=tau	0.0300	32	42	9	9216	5120	1.8000	1.6750	1.9250	1.3125	4.557292	3.027344	5.273438
grpo	ddiv_triage	delta_div>=tau	0.0400	27	34	17	8576	5120	1.6750	1.5250	1.8250	1.2593	3.964552	2.148438	4.492188
grpo	ddiv_triage	delta_div>=tau	0.0500	18	25	26	7424	5120	1.4500	1.3000	1.6000	1.3889	3.367457	1.367188	3.515625
grpo	ddiv_triage	delta_div>=tau	0.0600	11	13	38	6528	5120	1.2750	1.1500	1.4250	1.1818	1.991422	0.488281	2.148438
grpo	ddiv_triage	delta_div>=tau	0.0700	10	13	38	6400	5120	1.2500	1.1250	1.4000	1.3000	2.031250	0.488281	2.148438
aero	zvf_triage	ZVF>=tau	0.5000	40	46	0	10240	5120	2.0000	2.0000	2.0000	1.1500	4.492188	3.222656	5.859375
aero	zvf_triage	ZVF>=tau	0.6000	35	34	12	9600	5120	1.8750	1.7500	1.9750	0.9714	3.541667	2.148438	4.589844
aero	zvf_triage	ZVF>=tau	0.7000	19	18	28	7552	5120	1.4750	1.3250	1.6250	0.9474	2.383475	0.878906	2.832031
