method	k	n_obs	bucket_freq	mean_g_star	mean_contrast_restored	frac_down_shift	frac_up_shift
aero	0	34	0.053125	8.0	0.0	0.0	0.0
aero	1	21	0.0328125	8.0	0.0	0.0	0.0
aero	2	17	0.0265625	8.0	0.0	0.0	0.0
aero	3	15	0.0234375	8.0	0.0	0.0	0.0
aero	4	32	0.05	8.0	0.0	0.0	0.0
aero	5	18	0.028125	8.0	0.0	0.0	0.0
aero	6	29	0.0453125	8.0	0.0	0.0	0.0
aero	7	47	0.0734375	8.0	0.0	0.0	0.0
aero	8	427	0.6671875	8.0	0.0	0.0	0.0
areal	0	38	0.059375	8.0	0.0	0.0	0.0
areal	1	15	0.0234375	8.0	0.0	0.0	0.0
areal	2	19	0.0296875	8.0	0.0	0.0	0.0
areal	3	15	0.0234375	8.0	0.0	0.0	0.0
areal	4	21	0.0328125	8.0	0.0	0.0	0.0
areal	5	28	0.04375	8.0	0.0	0.0	0.0
areal	6	21	0.0328125	8.0	0.0	0.0	0.0
areal	7	69	0.1078125	8.0	0.0	0.0	0.0
areal	8	414	0.646875	8.0	0.0	0.0	0.0
gift	0	38	0.059375	8.0	0.0	0.0	0.0
gift	1	19	0.0296875	8.0	0.0	0.0	0.0
gift	2	13	0.0203125	8.0	0.0	0.0	0.0
gift	3	10	0.015625	8.0	0.0	0.0	0.0
gift	4	22	0.034375	8.0	0.0	0.0	0.0
gift	5	17	0.0265625	8.0	0.0	0.0	0.0
gift	6	25	0.0390625	8.0	0.0	0.0	0.0
gift	7	41	0.0640625	8.0	0.0	0.0	0.0
gift	8	455	0.7109375	8.0	0.0	0.0	0.0
grpo	0	34	0.053125	8.0	0.0	0.0	0.0
grpo	1	20	0.03125	8.0	0.0	0.0	0.0
grpo	2	20	0.03125	8.0	0.0	0.0	0.0
grpo	3	10	0.015625	8.0	0.0	0.0	0.0
grpo	4	21	0.0328125	8.0	0.0	0.0	0.0
grpo	5	22	0.034375	8.0	0.0	0.0	0.0
grpo	6	31	0.0484375	8.0	0.0	0.0	0.0
grpo	7	55	0.0859375	8.0	0.0	0.0	0.0
grpo	8	427	0.6671875	8.0	0.0	0.0	0.0
