delta_id	n2_zvf_delta	zvf130_risk_delta	same_sign	n2_significant	zvf130_significant
delta_aero	-0.025	-0.147637	1	0	1
delta_areal	-0.05625	-0.245767	1	0	1
delta_gift	0.125	-0.263187	0	1	1
