id	record_type	framework	n_populated	n_total	null_fields	n_null	citation_arxiv
delta_liteppo	variant_delta	grpo_variant	0	5	measured;expected_effects;claim_validation;measured_yield_residual;controller_predicted_savings_per_rollout	5	
delta_reinforce	variant_delta	grpo_variant	0	5	measured;expected_effects;claim_validation;measured_yield_residual;controller_predicted_savings_per_rollout	5	
delta_dapo	variant_delta	grpo_variant	1	5	measured;claim_validation;measured_yield_residual;controller_predicted_savings_per_rollout	4	2503.14476
delta_gspo	variant_delta	grpo_variant	1	5	measured;claim_validation;measured_yield_residual;controller_predicted_savings_per_rollout	4	2507.18071
delta_ppo	variant_delta	grpo_variant	1	5	measured;claim_validation;measured_yield_residual;controller_predicted_savings_per_rollout	4	1707.06347
delta_adaptiveg	variant_delta	grpo_variant	3	5	measured_yield_residual;controller_predicted_savings_per_rollout	2	
delta_cppo	variant_delta	grpo_variant	3	5	measured_yield_residual;controller_predicted_savings_per_rollout	2	2503.22342
delta_drgrpo	variant_delta	grpo_variant	3	5	measured_yield_residual;controller_predicted_savings_per_rollout	2	2503.20783
delta_es	variant_delta	grpo_variant	3	5	measured_yield_residual;controller_predicted_savings_per_rollout	2	2509.24372
delta_mcgrpo	variant_delta	grpo_variant	3	5	measured_yield_residual;controller_predicted_savings_per_rollout	2	2601.22582
delta_ngrpo	variant_delta	grpo_variant	3	5	measured_yield_residual;controller_predicted_savings_per_rollout	2	2509.18851
delta_scafgrpo	variant_delta	grpo_variant	3	5	measured_yield_residual;controller_predicted_savings_per_rollout	2	2510.19807
