n_estimators	max_depth	learning_rate	subsample	scale_pos_weight	colsample_bytree	auc	f1	brier	ece
100	3	0.05	0.6	1	0.8	0.8413755298520924	0.14193548387096774	0.012013277970254421	0.003675789651274682
100	3	0.05	0.6	5	0.8	0.8403954443993507	0.24561403508771928	0.014017583802342415	0.043649646368995314
100	3	0.05	0.6	25	0.8	0.8456242108585859	0.2918918918918919	0.05148903653025627	0.18156846953332423
100	3	0.05	0.8	1	0.8	0.8401572927940115	0.10526315789473684	0.01207768078893423	0.004183074877038598
100	3	0.05	0.8	5	0.8	0.8376447228986292	0.23809523809523808	0.013986505568027496	0.044760164818167684
100	3	0.05	0.8	25	0.8	0.8587324134199134	0.3005181347150259	0.05247913673520088	0.18495922089517114
100	3	0.05	1.0	1	0.8	0.8285178092306997	0.11764705882352941	0.012185490690171719	0.0033640996661037214
100	3	0.05	1.0	5	0.8	0.8287894288870852	0.2543352601156069	0.014118624851107597	0.04458446653708816
100	3	0.05	1.0	25	0.8	0.8465507474296536	0.3125	0.05225605517625809	0.1855622669786215
100	3	0.1	0.6	1	0.8	0.884529587166306	0.23030303030303031	0.011209649965167046	0.004035990194883198
100	3	0.1	0.6	5	0.8	0.8962504509379509	0.3314917127071823	0.01270613819360733	0.03855000325962902
100	3	0.1	0.6	25	0.8	0.9183541610299422	0.32779097387173395	0.043510109186172485	0.15683538888394835
100	3	0.1	0.8	1	0.8	0.8749274271735209	0.20987654320987653	0.01141305360943079	0.00400278319939971
100	3	0.1	0.8	5	0.8	0.8944347210948773	0.3548387096774194	0.012986605986952782	0.040707399614155294
100	3	0.1	0.8	25	0.8	0.9072632012085137	0.29977628635346754	0.04647602140903473	0.1643274599075317
100	3	0.1	1.0	1	0.8	0.8711585723304472	0.12903225806451613	0.011651682667434216	0.0036673571854829792
100	3	0.1	1.0	5	0.8	0.8838623399170273	0.32222222222222224	0.013298558071255684	0.041084722037613396
100	3	0.1	1.0	25	0.8	0.9011684929653679	0.31026252983293556	0.04667561128735542	0.16680400820747018
100	3	0.2	0.6	1	0.8	0.9262279604076478	0.3163841807909605	0.010017640888690948	0.00474113782364875
100	3	0.2	0.6	5	0.8	0.9451652405753969	0.44976076555023925	0.011237029917538166	0.03362697672322393
100	3	0.2	0.6	25	0.8	0.9567613918199855	0.39316239316239315	0.03779105469584465	0.13164580966271458
100	3	0.2	0.8	1	0.8	0.9234617379148627	0.3023255813953488	0.01015231478959322	0.004025114666298032
100	3	0.2	0.8	5	0.8	0.9479497824224387	0.4716981132075472	0.011246695183217525	0.034520374292880296
100	3	0.2	0.8	25	0.8	0.9503925978535354	0.3901345291479821	0.038093335926532745	0.13581903131902215
100	3	0.2	1.0	1	0.8	0.9109651199494949	0.31213872832369943	0.010444440878927708	0.005442285650223493
100	3	0.2	1.0	5	0.8	0.9424377705627706	0.463768115942029	0.01125308871269226	0.03483250677585602
100	3	0.2	1.0	25	0.8	0.9511373500631313	0.38588235294117645	0.03789350762963295	0.1388892814457416
100	5	0.05	0.6	1	0.8	0.9350769131042569	0.3236994219653179	0.00992649607360363	0.005961581168137491
100	5	0.05	0.6	5	0.8	0.9630287247474747	0.45685279187817257	0.010185368359088898	0.03643231249153613
100	5	0.05	0.6	25	0.8	0.9655279074224387	0.4868035190615836	0.03212973102927208	0.13351967028975484
100	5	0.05	0.8	1	0.8	0.9418388685966811	0.3352601156069364	0.00988815724849701	0.006218380032293498
100	5	0.05	0.8	5	0.8	0.9594479955808081	0.467005076142132	0.010292744264006615	0.037161552818119524
100	5	0.05	0.8	25	0.8	0.9640045826569263	0.4742857142857143	0.033279333263635635	0.13862486702576285
100	5	0.05	1.0	1	0.8	0.9409708130411256	0.3058823529411765	0.010239875875413418	0.00434766424894333
100	5	0.05	1.0	5	0.8	0.9561822183892495	0.46632124352331605	0.010661428794264793	0.037541044358536606
100	5	0.05	1.0	25	0.8	0.9601511769480519	0.45325779036827196	0.035347770899534225	0.14504815680161118
100	5	0.1	0.6	1	0.8	0.9782788825757576	0.42391304347826086	0.008062778040766716	0.007833499678969383
100	5	0.1	0.6	5	0.8	0.9863577178030304	0.6306306306306306	0.007250805851072073	0.028842173168249427
100	5	0.1	0.6	25	0.8	0.9910791790674602	0.6195652173913043	0.02182907983660698	0.0950585127864033
100	5	0.1	0.8	1	0.8	0.9798212312860751	0.4262295081967213	0.00805937871336937	0.00793804276082665
100	5	0.1	0.8	5	0.8	0.9867494701479077	0.5909090909090909	0.007635135669261217	0.03149977141711861
100	5	0.1	0.8	25	0.8	0.9911961410984849	0.6263736263736264	0.022570310160517693	0.1002934766806662
100	5	0.1	1.0	1	0.8	0.9771952223124099	0.44919786096256686	0.00863165408372879	0.007703359104692936
100	5	0.1	1.0	5	0.8	0.9870390568632755	0.5727699530516432	0.008122825995087624	0.03315501936152578
100	5	0.1	1.0	25	0.8	0.9863696958423521	0.6132596685082873	0.024965524673461914	0.11091633557528258
100	5	0.2	0.6	1	0.8	0.9947620738636365	0.6697247706422018	0.005317091941833496	0.008811991720832885
100	5	0.2	0.6	5	0.8	0.9981849747474747	0.855072463768116	0.004087667912244797	0.020717166040185836
100	5	0.2	0.6	25	0.8	0.9986352081078643	0.7637362637362637	0.01193549670279026	0.056309041027352215
100	5	0.2	0.8	1	0.8	0.9954272073412698	0.6666666666666666	0.00508857099339366	0.00962819935339503
100	5	0.2	0.8	5	0.8	0.9984111483134921	0.8717948717948718	0.003860414493829012	0.021672255708649748
100	5	0.2	0.8	25	0.8	0.9983752141955267	0.7953890489913544	0.011911610141396523	0.05820534314326941
100	5	0.2	1.0	1	0.8	0.9973014181998557	0.6019417475728155	0.005765112582594156	0.01042284802980721
100	5	0.2	1.0	5	0.8	0.9988839285714285	0.8494208494208494	0.004272294696420431	0.02428790096379816
100	5	0.2	1.0	25	0.8	0.9986450723755411	0.8069164265129684	0.013180634938180447	0.06571610164046288
100	7	0.05	0.6	1	0.8	0.9879902541035352	0.4656084656084656	0.007736563682556152	0.009199897991120816
100	7	0.05	0.6	5	0.8	0.9976036875450938	0.6727272727272727	0.005634012166410685	0.02991684182882309
100	7	0.05	0.6	25	0.8	0.9970717216810967	0.7777777777777778	0.01446666568517685	0.0821797339297831
100	7	0.05	0.8	1	0.8	0.9893705469877344	0.5	0.007492151111364365	0.010238665195554495
100	7	0.05	0.8	5	0.8	0.9979820526695526	0.7280701754385965	0.0053192730993032455	0.030980816748738288
100	7	0.05	0.8	25	0.8	0.9981821563852814	0.8208469055374593	0.01442372240126133	0.08476616252064703
100	7	0.05	1.0	1	0.8	0.987590046672078	0.46808510638297873	0.008003916591405869	0.008318660418968647
100	7	0.05	1.0	5	0.8	0.9960845903228717	0.6575342465753424	0.00606604153290391	0.032636932311952124
100	7	0.05	1.0	25	0.8	0.9972816896645021	0.7868852459016393	0.0166171882301569	0.09454635485932229
100	7	0.1	0.6	1	0.8	0.9990495073502886	0.7085201793721974	0.004400471691042185	0.010895875970181075
100	7	0.1	0.6	5	0.8	0.9998041238275613	0.948905109489051	0.002286694012582302	0.018525024722330273
100	7	0.1	0.6	25	0.8	0.9997893274260462	0.9315960912052117	0.005670230370014906	0.0412430786177516
100	7	0.1	0.8	1	0.8	0.9993144333964648	0.74235807860262	0.004111857619136572	0.010585304417461154
100	7	0.1	0.8	5	0.8	0.9999182674963925	0.9527272727272728	0.002183160511776805	0.019511704707238824
100	7	0.1	0.8	25	0.8	0.9998752874729437	0.9137380191693291	0.00632438575848937	0.04726162056960165
100	7	0.1	1.0	1	0.8	0.9984470824314574	0.6220095693779905	0.005309937056154013	0.011043138902727512
100	7	0.1	1.0	5	0.8	0.9997858044733046	0.9377289377289377	0.0025827293284237385	0.021631246024370193
100	7	0.1	1.0	25	0.8	0.9997787585678211	0.9215686274509803	0.007078047376126051	0.0516295174896717
100	7	0.2	0.6	1	0.8	0.9999549062049062	0.967741935483871	0.001276839873753488	0.005976627089595422
100	7	0.2	0.6	5	0.8	1.0	0.9965397923875432	0.000521278940141201	0.007632065892964603
100	7	0.2	0.6	25	0.8	0.999993658685065	0.9795918367346939	0.0014863098040223122	0.014282520316168666
100	7	0.2	0.8	1	0.8	1.0	0.9823321554770318	0.0009073719847947359	0.005496602085675112
100	7	0.2	0.8	5	0.8	1.0	1.0	0.00035665184259414673	0.006742837031930685
100	7	0.2	0.8	25	0.8	1.0	1.0	0.0010025055380538106	0.013342202291265128
100	7	0.2	1.0	1	0.8	0.999997886228355	0.9527272727272728	0.0013815403217449784	0.0068415536881890155
100	7	0.2	1.0	5	0.8	1.0	1.0	0.0003503307234495878	0.007149842834658922
100	7	0.2	1.0	25	0.8	1.0	0.993103448275862	0.0013772130478173494	0.016983853165153415
200	3	0.05	0.6	1	0.8	0.8903058204816018	0.20987654320987653	0.011182121001183987	0.004315155966579913
200	3	0.05	0.6	5	0.8	0.9012389520202021	0.33695652173913043	0.012668897397816181	0.03884606720209121
200	3	0.05	0.6	25	0.8	0.9100731083152958	0.324455205811138	0.04381540045142174	0.15849666227549314
200	3	0.05	0.8	1	0.8	0.8911389988050143	0.20987654320987653	0.011118154972791672	0.0040366123871877786
200	3	0.05	0.8	5	0.8	0.899831884695166	0.3567567567567568	0.0127570116892457	0.03973463207669557
200	3	0.05	0.8	25	0.8	0.9139427196067821	0.32211538461538464	0.04495794698596001	0.16198184010088443
200	3	0.05	1.0	1	0.8	0.8737549885010824	0.14193548387096774	0.011506199836730957	0.0037925958206877107
200	3	0.05	1.0	5	0.8	0.8836100965007216	0.32044198895027626	0.013170158490538597	0.041254013253748424
200	3	0.05	1.0	25	0.8	0.8983762006222944	0.30024213075060535	0.04700402915477753	0.1682897734582424
200	3	0.1	0.6	1	0.8	0.9280894886363638	0.31213872832369943	0.009893481619656086	0.005898028637189418
200	3	0.1	0.6	5	0.8	0.9535252074314574	0.45320197044334976	0.010872704908251762	0.033236145902797574
200	3	0.1	0.6	25	0.8	0.96532357616342	0.4295942720763723	0.03432082384824753	0.1275870577096939
200	3	0.1	0.8	1	0.8	0.9265844832251083	0.32	0.010202704928815365	0.005439199886843563
200	3	0.1	0.8	5	0.8	0.9464912799873736	0.46078431372549017	0.010838786140084267	0.0344600772138685
200	3	0.1	0.8	25	0.8	0.9540698559253247	0.40186915887850466	0.03684181347489357	0.13546143996417523
200	3	0.1	1.0	1	0.8	0.9143386994949494	0.22085889570552147	0.010605310089886189	0.005431783938780427
