fset	rate	resample	seed	eff_rate	n	min_cost	opt_threshold	catch_at_1pct
4sensor	0.0050	3	316	0.0050	28800	0.157083	0.6000	0.2986
4sensor	0.0050	4	42	0.0050	28800	0.134757	0.6000	0.3194
4sensor	0.0050	4	179	0.0050	28800	0.151910	0.5900	0.2708
4sensor	0.0050	4	316	0.0050	28800	0.157257	0.6000	0.2986
4sensor	0.0100	0	42	0.0100	14400	0.181319	0.5300	0.2917
4sensor	0.0100	0	179	0.0100	14400	0.192917	0.5300	0.2361
4sensor	0.0100	0	316	0.0100	14400	0.200139	0.5500	0.2847
4sensor	0.0100	1	42	0.0100	14400	0.178472	0.5300	0.2847
4sensor	0.0100	1	179	0.0100	14400	0.190278	0.5300	0.2569
4sensor	0.0100	1	316	0.0100	14400	0.197917	0.5400	0.2986
4sensor	0.0100	2	42	0.0100	14400	0.172917	0.5300	0.2639
4sensor	0.0100	2	179	0.0100	14400	0.194028	0.5300	0.2639
4sensor	0.0100	2	316	0.0100	14400	0.194444	0.5500	0.2847
4sensor	0.0100	3	42	0.0100	14400	0.184375	0.5300	0.2847
4sensor	0.0100	3	179	0.0100	14400	0.196458	0.5300	0.2500
4sensor	0.0100	3	316	0.0100	14400	0.202500	0.5500	0.2569
4sensor	0.0100	4	42	0.0100	14400	0.178681	0.5300	0.2639
4sensor	0.0100	4	179	0.0100	14400	0.193056	0.5400	0.2361
4sensor	0.0100	4	316	0.0100	14400	0.199375	0.5500	0.2708
4sensor	0.0144	0	42	0.0144	10000	0.195100	0.5300	0.2292
4sensor	0.0144	0	179	0.0144	10000	0.218000	0.5300	0.2153
4sensor	0.0144	0	316	0.0144	10000	0.227000	0.5400	0.2153
4sensor	0.0144	1	42	0.0144	10000	0.192800	0.5300	0.2639
4sensor	0.0144	1	179	0.0144	10000	0.214500	0.5300	0.2361
4sensor	0.0144	1	316	0.0144	10000	0.221600	0.5400	0.2708
4sensor	0.0144	2	42	0.0144	10000	0.191800	0.5300	0.2222
4sensor	0.0144	2	179	0.0144	10000	0.214700	0.5300	0.2153
4sensor	0.0144	2	316	0.0144	10000	0.225300	0.5400	0.2639
4sensor	0.0144	3	42	0.0144	10000	0.193600	0.5300	0.2431
4sensor	0.0144	3	179	0.0144	10000	0.217100	0.5300	0.2361
4sensor	0.0144	3	316	0.0144	10000	0.225900	0.5400	0.2292
4sensor	0.0144	4	42	0.0144	10000	0.191800	0.5300	0.2431
4sensor	0.0144	4	179	0.0144	10000	0.211300	0.5300	0.2361
4sensor	0.0144	4	316	0.0144	10000	0.224400	0.4900	0.2708
4sensor	0.0200	0	42	0.0200	7200	0.203611	0.5100	0.2153
4sensor	0.0200	0	179	0.0200	7200	0.225417	0.5100	0.2014
4sensor	0.0200	0	316	0.0200	7200	0.227778	0.4900	0.2083
4sensor	0.0200	1	42	0.0200	7200	0.205556	0.5200	0.2292
4sensor	0.0200	1	179	0.0200	7200	0.233889	0.5100	0.1944
4sensor	0.0200	1	316	0.0200	7200	0.232083	0.4900	0.2222
4sensor	0.0200	2	42	0.0200	7200	0.206111	0.5200	0.2153
4sensor	0.0200	2	179	0.0200	7200	0.231111	0.5100	0.2153
4sensor	0.0200	2	316	0.0200	7200	0.229861	0.4900	0.2153
4sensor	0.0200	3	42	0.0200	7200	0.205556	0.5100	0.2153
4sensor	0.0200	3	179	0.0200	7200	0.232500	0.5100	0.2153
4sensor	0.0200	3	316	0.0200	7200	0.227500	0.4900	0.2153
4sensor	0.0200	4	42	0.0200	7200	0.203333	0.5100	0.2153
4sensor	0.0200	4	179	0.0200	7200	0.232222	0.5100	0.2153
4sensor	0.0200	4	316	0.0200	7200	0.231944	0.4900	0.2153
4sensor	0.0300	0	42	0.0300	4800	0.216875	0.5100	0.1875
4sensor	0.0300	0	179	0.0300	4800	0.255000	0.4700	0.1806
4sensor	0.0300	0	316	0.0300	4800	0.234792	0.4900	0.1667
4sensor	0.0300	1	42	0.0300	4800	0.212500	0.5100	0.2014
4sensor	0.0300	1	179	0.0300	4800	0.252917	0.4700	0.1806
4sensor	0.0300	1	316	0.0300	4800	0.233125	0.4900	0.1736
4sensor	0.0300	2	42	0.0300	4800	0.215208	0.5100	0.1528
4sensor	0.0300	2	179	0.0300	4800	0.249792	0.4700	0.1597
4sensor	0.0300	2	316	0.0300	4800	0.234792	0.4900	0.1528
4sensor	0.0300	3	42	0.0300	4800	0.217500	0.5100	0.1875
4sensor	0.0300	3	179	0.0300	4800	0.260625	0.5100	0.1597
4sensor	0.0300	3	316	0.0300	4800	0.241458	0.4900	0.1528
4sensor	0.0300	4	42	0.0300	4800	0.222292	0.5100	0.1667
4sensor	0.0300	4	179	0.0300	4800	0.264792	0.5100	0.1667
4sensor	0.0300	4	316	0.0300	4800	0.250625	0.4900	0.1806
4sensor	0.0500	0	42	0.0500	2880	0.226736	0.4700	0.1597
4sensor	0.0500	0	179	0.0500	2880	0.260069	0.4700	0.1458
4sensor	0.0500	0	316	0.0500	2880	0.240625	0.4900	0.1250
4sensor	0.0500	1	42	0.0500	2880	0.237847	0.4700	0.1181
4sensor	0.0500	1	179	0.0500	2880	0.264931	0.4700	0.1181
4sensor	0.0500	1	316	0.0500	2880	0.253472	0.4900	0.1111
4sensor	0.0500	2	42	0.0500	2880	0.220486	0.4700	0.1250
4sensor	0.0500	2	179	0.0500	2880	0.256944	0.4700	0.1181
4sensor	0.0500	2	316	0.0500	2880	0.234722	0.4900	0.1250
4sensor	0.0500	3	42	0.0500	2880	0.226389	0.4700	0.1389
4sensor	0.0500	3	179	0.0500	2880	0.265278	0.4700	0.1319
4sensor	0.0500	3	316	0.0500	2880	0.238889	0.4900	0.1250
4sensor	0.0500	4	42	0.0500	2880	0.239583	0.4700	0.1181
4sensor	0.0500	4	179	0.0500	2880	0.273958	0.4700	0.1181
4sensor	0.0500	4	316	0.0500	2880	0.252431	0.4900	0.1250
