contrast	quartile	gap_p_at_1_mean	gap_p_at_1_lo	gap_p_at_1_hi	gap_hit_mean	gap_hit_lo	gap_hit_hi	gap_auc_mean	gap_auc_lo	gap_auc_hi
24full_minus_20raw	0	0.24	0.192	0.288	0.171429	0.137143	0.205714	0.005781	0.005241	0.006291
24full_minus_20raw	1	0.008	-0.024	0.048	0.005714	-0.017143	0.034286	0.000737	0.000572	0.000893
24full_minus_20raw	2	-0.016	-0.04	0.016	-0.010526	-0.026316	0.010526	-0.000566	-0.000761	-0.000374
24full_minus_20raw	3	0.008	-0.016	0.032	0.005555	-0.01125	0.022222	8.8e-05	-5.2e-05	0.000196
24full_minus_4sensor	0	0.352	0.28	0.416	0.251428	0.2	0.297142	0.022801	0.019438	0.026958
24full_minus_4sensor	1	0.376	0.32	0.432	0.268571	0.228571	0.308571	0.03604	0.03034	0.042381
24full_minus_4sensor	2	0.592	0.552	0.64	0.389474	0.357895	0.421052	0.052743	0.044371	0.062564
24full_minus_4sensor	3	0.664	0.648	0.68	0.461111	0.45	0.472222	0.036875	0.034111	0.039098
4sensor_minus_20raw	0	-0.112	-0.16	-0.064	-0.08	-0.114285	-0.045714	-0.01702	-0.020871	-0.014122
4sensor_minus_20raw	1	-0.368	-0.432	-0.312	-0.262857	-0.308571	-0.222857	-0.035303	-0.041523	-0.029705
4sensor_minus_20raw	2	-0.608	-0.632	-0.584	-0.4	-0.41579	-0.38421	-0.053309	-0.063318	-0.044668
4sensor_minus_20raw	3	-0.656	-0.688	-0.624	-0.455556	-0.477778	-0.433333	-0.036787	-0.038972	-0.034035
