seed	trigger	tau	n_fire	n_steps	n_bdy_fire	n_ddiv_neg_fire	mean_zvf_seed	heldout_acc_seed
179	T1_zvf	0.5	14	15	0	13	0.6083333333333333	0.5859375
179	T1_zvf	0.6	10	15	0	9	0.6083333333333333	0.5859375
179	T1_zvf	0.7	4	15	0	3	0.6083333333333333	0.5859375
179	T1_zvf	0.8	0	15	0	0	0.6083333333333333	0.5859375
179	T1_zvf	0.9	0	15	0	0	0.6083333333333333	0.5859375
179	T2_yobs	0.2	15	15	0	14	0.6083333333333333	0.5859375
179	T2_yobs	0.3	11	15	0	11	0.6083333333333333	0.5859375
179	T2_yobs	0.4	5	15	0	5	0.6083333333333333	0.5859375
179	T2_yobs	0.5	5	15	0	5	0.6083333333333333	0.5859375
179	T2_yobs	0.6	1	15	0	1	0.6083333333333333	0.5859375
179	T3_ddiv	0.03	0	15	0	0	0.6083333333333333	0.5859375
179	T3_ddiv	0.04	0	15	0	0	0.6083333333333333	0.5859375
179	T3_ddiv	0.05	0	15	0	0	0.6083333333333333	0.5859375
179	T3_ddiv	0.06	0	15	0	0	0.6083333333333333	0.5859375
179	T3_ddiv	0.07	0	15	0	0	0.6083333333333333	0.5859375
179	T_joint		9	15	0	8	0.6083333333333333	0.5859375
316	T1_zvf	0.5	13	15	0	13	0.5916666666666667	0.4765625
316	T1_zvf	0.6	9	15	0	9	0.5916666666666667	0.4765625
316	T1_zvf	0.7	4	15	0	4	0.5916666666666667	0.4765625
316	T1_zvf	0.8	0	15	0	0	0.5916666666666667	0.4765625
316	T1_zvf	0.9	0	15	0	0	0.5916666666666667	0.4765625
316	T2_yobs	0.2	15	15	0	15	0.5916666666666667	0.4765625
316	T2_yobs	0.3	11	15	0	11	0.5916666666666667	0.4765625
316	T2_yobs	0.4	6	15	0	6	0.5916666666666667	0.4765625
316	T2_yobs	0.5	6	15	0	6	0.5916666666666667	0.4765625
316	T2_yobs	0.6	2	15	0	2	0.5916666666666667	0.4765625
316	T3_ddiv	0.03	0	15	0	0	0.5916666666666667	0.4765625
316	T3_ddiv	0.04	0	15	0	0	0.5916666666666667	0.4765625
316	T3_ddiv	0.05	0	15	0	0	0.5916666666666667	0.4765625
316	T3_ddiv	0.06	0	15	0	0	0.5916666666666667	0.4765625
316	T3_ddiv	0.07	0	15	0	0	0.5916666666666667	0.4765625
316	T_joint		10	15	0	10	0.5916666666666667	0.4765625
42	T1_zvf	0.5	10	15	0	10	0.49166666666666664	0.375
42	T1_zvf	0.6	6	15	0	6	0.49166666666666664	0.375
42	T1_zvf	0.7	2	15	0	2	0.49166666666666664	0.375
42	T1_zvf	0.8	0	15	0	0	0.49166666666666664	0.375
42	T1_zvf	0.9	0	15	0	0	0.49166666666666664	0.375
42	T2_yobs	0.2	15	15	0	14	0.49166666666666664	0.375
42	T2_yobs	0.3	13	15	0	12	0.49166666666666664	0.375
42	T2_yobs	0.4	9	15	0	8	0.49166666666666664	0.375
42	T2_yobs	0.5	9	15	0	8	0.49166666666666664	0.375
42	T2_yobs	0.6	5	15	0	4	0.49166666666666664	0.375
42	T3_ddiv	0.03	1	15	0	0	0.49166666666666664	0.375
42	T3_ddiv	0.04	1	15	0	0	0.49166666666666664	0.375
42	T3_ddiv	0.05	0	15	0	0	0.49166666666666664	0.375
42	T3_ddiv	0.06	0	15	0	0	0.49166666666666664	0.375
42	T3_ddiv	0.07	0	15	0	0	0.49166666666666664	0.375
42	T_joint		11	15	0	10	0.49166666666666664	0.375
453	T1_zvf	0.5	14	15	0	13	0.6333333333333333	0.4296875
453	T1_zvf	0.6	10	15	0	9	0.6333333333333333	0.4296875
453	T1_zvf	0.7	6	15	0	5	0.6333333333333333	0.4296875
453	T1_zvf	0.8	1	15	0	1	0.6333333333333333	0.4296875
453	T1_zvf	0.9	0	15	0	0	0.6333333333333333	0.4296875
453	T2_yobs	0.2	14	15	0	13	0.6333333333333333	0.4296875
453	T2_yobs	0.3	9	15	0	9	0.6333333333333333	0.4296875
453	T2_yobs	0.4	5	15	0	5	0.6333333333333333	0.4296875
453	T2_yobs	0.5	5	15	0	5	0.6333333333333333	0.4296875
453	T2_yobs	0.6	1	15	0	1	0.6333333333333333	0.4296875
453	T3_ddiv	0.03	0	15	0	0	0.6333333333333333	0.4296875
453	T3_ddiv	0.04	0	15	0	0	0.6333333333333333	0.4296875
453	T3_ddiv	0.05	0	15	0	0	0.6333333333333333	0.4296875
453	T3_ddiv	0.06	0	15	0	0	0.6333333333333333	0.4296875
453	T3_ddiv	0.07	0	15	0	0	0.6333333333333333	0.4296875
453	T_joint		11	15	0	10	0.6333333333333333	0.4296875
590	T1_zvf	0.5	12	15	0	12	0.6083333333333333	0.40625
590	T1_zvf	0.6	10	15	0	10	0.6083333333333333	0.40625
590	T1_zvf	0.7	5	15	0	5	0.6083333333333333	0.40625
590	T1_zvf	0.8	2	15	0	2	0.6083333333333333	0.40625
590	T1_zvf	0.9	0	15	0	0	0.6083333333333333	0.40625
590	T2_yobs	0.2	13	15	0	13	0.6083333333333333	0.40625
590	T2_yobs	0.3	10	15	0	10	0.6083333333333333	0.40625
590	T2_yobs	0.4	5	15	0	5	0.6083333333333333	0.40625
590	T2_yobs	0.5	5	15	0	5	0.6083333333333333	0.40625
590	T2_yobs	0.6	3	15	0	3	0.6083333333333333	0.40625
590	T3_ddiv	0.03	0	15	0	0	0.6083333333333333	0.40625
590	T3_ddiv	0.04	0	15	0	0	0.6083333333333333	0.40625
590	T3_ddiv	0.05	0	15	0	0	0.6083333333333333	0.40625
590	T3_ddiv	0.06	0	15	0	0	0.6083333333333333	0.40625
590	T3_ddiv	0.07	0	15	0	0	0.6083333333333333	0.40625
590	T_joint		10	15	0	10	0.6083333333333333	0.40625
