rho	L_usd	model	tau_star	alert_rate	recall	tp	fp	fn	c_sense	cost_per_dec_usd
2	1.0	XGB-20raw	0.1966	0.0092	0.5417	78	14	66	0.0	0.0112
2	1.0	XGB-24full	0.1751	0.0102	0.6111	88	14	56	0.0035	0.0142
2	1.0	XGB-4sensor	0.1565	0.0008	0.0347	5	3	139	0.0035	0.0178
5	2.5	XGB-20raw	0.116	0.014	0.6736	97	43	47	0.0	0.01875
5	2.5	XGB-24full	0.1147	0.014	0.7014	101	39	43	0.0035	0.02125
5	2.5	XGB-4sensor	0.0866	0.0035	0.0972	14	21	130	0.0035	0.03775
10	5.0	XGB-20raw	0.0723	0.0209	0.7431	107	102	37	0.0	0.02895
10	5.0	XGB-24full	0.0694	0.0216	0.7917	114	102	30	0.0035	0.0293
10	5.0	XGB-4sensor	0.0448	0.0243	0.2708	39	204	105	0.0035	0.06815
20	10.0	XGB-20raw	0.0374	0.043	0.8681	125	305	19	0.0	0.0405
20	10.0	XGB-24full	0.0366	0.0442	0.8958	129	313	15	0.0035	0.0406
20	10.0	XGB-4sensor	0.029	0.0828	0.5903	85	743	59	0.0035	0.1039
50	25.0	XGB-20raw	0.0313	0.0542	0.8958	129	413	15	0.0	0.0646
50	25.0	XGB-24full	0.0366	0.0442	0.8958	129	313	15	0.0035	0.0631
50	25.0	XGB-4sensor	0.0221	0.1688	0.7431	107	1581	37	0.0035	0.1804
100	50.0	XGB-20raw	0.0193	0.105	0.9375	135	915	9	0.0	0.0975
100	50.0	XGB-24full	0.0185	0.1084	0.9583	138	946	6	0.0035	0.0877
100	50.0	XGB-4sensor	0.0141	0.3932	0.9444	136	3796	8	0.0035	0.2401
200	100.0	XGB-20raw	0.0154	0.1416	0.9583	138	1278	6	0.0	0.1308
200	100.0	XGB-24full	0.0185	0.1084	0.9583	138	946	6	0.0035	0.1177
200	100.0	XGB-4sensor	0.0129	0.4429	0.9653	139	4290	5	0.0035	0.27495
500	250.0	XGB-20raw	0.009	0.2794	0.9861	142	2652	2	0.0	0.1897
500	250.0	XGB-24full	0.0142	0.1536	0.9722	140	1396	4	0.0035	0.1803
500	250.0	XGB-4sensor	0.0129	0.4429	0.9653	139	4290	5	0.0035	0.34995
