controller	mean_net	ci_lo	ci_hi	ci_excludes_zero	n
STATIC_G8	0.0	0.0	0.0	0	160
STATIC_G16	0.0273	-0.276	0.2552	0	160
ADAPTIVE_PP	0.3919	0.1667	0.5911	1	160
ADAPTIVE_PP_ORACLE	-0.1973	-0.539	-0.0224	1	160
DUALFORMER_PP	-0.0599	-0.2857	0.256	0	160
